Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/kevinswiber/postman2openapi,133139,postman2openapi,https://github.com/kevinswiber/postman2openapi,https://github.com/kevinswiber/postman2openapi,2874638,postman2openapi,https://github.com/kevinswiber/postman2openapi,git+https://github.com/kevinswiber/postman2openapi.git
github.com/nockbox/iris-rs,194225,iris-wasm,https://nockbox.org,https://github.com/nockbox/iris-rs,2244778,iris-wasm,https://nockbox.org,git+https://github.com/nockbox/iris-rs.git
github.com/segersniels/bndl,185564,bndl_convert,https://github.com/segersniels/bndl/,https://github.com/segersniels/bndl/,1473662,bndl-convert,https://github.com/segersniels/bndl#readme,git+https://github.com/segersniels/bndl.git
github.com/farm-fe/farm,188938,farmfe_plugin_script_meta,https://farmfe.org,https://github.com/farm-fe/farm,3373483,test-corea,https://github.com/farm-fe/farm#readme,git+https://github.com/farm-fe/farm.git
github.com/moq-dev/web-transport,217403,web-transport-ws,,https://github.com/moq-dev/web-transport,734442,@moq/web-transport-ws,https://github.com/moq-dev/web-transport#readme,git+https://github.com/moq-dev/web-transport.git
github.com/zypher-game/uzkge,3050,zmatchmaking,https://zypher.network,https://github.com/zypher-game/uzkge,3519815,uzkge-contracts,https://zypher.network,git+https://github.com/zypher-game/uzkge.git
github.com/bearcove/arborium,217555,arborium-commonlisp,https://github.com/bearcove/arborium,https://github.com/bearcove/arborium,90683,@arborium/zsh,https://github.com/bearcove/arborium,git+https://github.com/bearcove/arborium.git
github.com/globalbusinessadvisors/llm-sentinel,209354,llm-sentinel-core,https://github.com/globalbusinessadvisors/llm-sentinel,https://github.com/globalbusinessadvisors/llm-sentinel,655940,@llm-dev-ops/sentinel-cli-win32-x64,https://github.com/globalbusinessadvisors/llm-sentinel,git+https://github.com/globalbusinessadvisors/llm-sentinel.git
github.com/grafbase/grafbase,195376,grafbase-sdk,https://grafbase.com,https://github.com/grafbase/grafbase,2077663,grafbase,https://grafbase.com,git+https://github.com/grafbase/grafbase.git
github.com/rust-lang/cargo,209800,cargo-credential-macos-keychain,https://github.com/rust-lang/cargo,https://github.com/rust-lang/cargo,103258,@arvid3/hello-wasm,https://github.com/rust-lang/cargo#readme,git+https://github.com/rust-lang/cargo.git
github.com/smol-dot/smoldot,171214,smoldot,,https://github.com/smol-dot/smoldot,3460992,turandot,https://github.com/smol-dot/smoldot,git+https://github.com/smol-dot/smoldot.git
github.com/runmat-org/runmat,208362,runmat-gc-api,https://runmat.org,https://github.com/runmat-org/runmat,3123017,runmat,https://runmat.org,git+https://github.com/runmat-org/runmat.git
github.com/raikusy/cuid2gen,1061,cuid2gen,https://github.com/raikusy/cuid2gen,https://github.com/raikusy/cuid2gen,1683139,cuid2gen-windows-x64,https://github.com/raikusy/cuid2gen#readme,git+https://github.com/raikusy/cuid2gen.git
github.com/alshdavid/mach,17336,mach_bundler_core,,https://github.com/alshdavid/mach,67574,@alshdavid/mach-windows-arm64,https://github.com/alshdavid/mach#readme,git+https://github.com/alshdavid/mach.git
github.com/ipvm-wg/homestar,132640,homestar-wasm,,https://github.com/ipvm-wg/homestar/tree/main/homestar-wasm,2163212,homestar-windows-x64,https://github.com/ipvm-wg/homestar/tree/main/homestar-runtime,git+https://github.com/ipvm-wg/homestar.git
github.com/jdkaplan/squill,142297,squill,https://github.com/jdkaplan/squill,https://github.com/jdkaplan/squill,3265431,squill-cli,https://github.com/jdkaplan/squill,git+https://github.com/jdkaplan/squill.git
github.com/kwonoj/swc-plugin-vanilla-extract,1267,swc-vanilla-extract-visitor,,https://github.com/kwonoj/swc-plugin-vanilla-extract,3323521,swc-plugin-vanilla-extract,https://github.com/kwonoj/swc-plugin-vanilla-extract#readme,git+https://github.com/kwonoj/swc-plugin-vanilla-extract.git
github.com/solana-foundation/solana-keychain,1439,solana-keychain,,https://github.com/solana-foundation/solana-keychain,1019352,@solana/keychain-vault,https://github.com/solana-foundation/solana-keychain#readme,git+https://github.com/solana-foundation/solana-keychain.git
github.com/sunwu51/jtxt,1568,jtxt,,https://www.github.com/sunwu51/jtxt,2314228,jtxt,https://github.com/sunwu51/jtxt#readme,git+https://github.com/sunwu51/jtxt.git
github.com/orbitinghail/sqlsync,45826,sqlsync-reducer,https://sqlsync.dev,https://github.com/orbitinghail/sqlsync,822842,@orbitinghail/sqlsync-worker,https://sqlsync.dev,git+https://github.com/orbitinghail/sqlsync.git
github.com/unicode-org/icu4x,208825,zoneinfo64,https://icu4x.unicode.org,https://github.com/unicode-org/icu4x,2198398,icu4x,https://github.com/unicode-org/icu4x#readme,git+https://github.com/unicode-org/icu4x.git
github.com/localvoid/oveo,1770,oveo,https://github.com/localvoid/oveo,https://github.com/localvoid/oveo,2794142,oveo,https://github.com/localvoid/oveo,git+https://github.com/localvoid/oveo.git
github.com/sile/pagurus,131136,pagurus_windows_system,https://github.com/sile/pagurus,https://github.com/sile/pagurus,2804655,pagurus,https://github.com/sile/pagurus,git+https://github.com/sile/pagurus.git
github.com/wandalen/wtools,215803,wishlist,https://github.com/Wandalen/wTools/tree/master/module/core/wishlist,https://github.com/Wandalen/wTools/tree/master/module/core/wishlist,3663948,wtools.experiment,https://github.com/Wandalen/wTools#readme,git+https://github.com/Wandalen/wTools.git
github.com/don-hicks/svg2png-wasm-rs,1819,svg2png-wasm-rs,https://github.com/don-hicks/svg2png-wasm-rs,https://github.com/don-hicks/svg2png-wasm-rs,3320031,svg2png-wasm-rs,https://github.com/don-hicks/svg2png-wasm-rs#readme,git+https://github.com/don-hicks/svg2png-wasm-rs.git
github.com/kyr0/better-minify-js,1968,better-minify-js,https://github.com/kyr0/better-minify-js,https://github.com/kyr0/better-minify-js,1450983,better-minify-js-node,https://github.com/kyr0/better-minify-js#readme,git+https://github.com/kyr0/better-minify-js.git
github.com/bpowers/resvg-wasm,2103,resvg-wasm,,https://github.com/bpowers/resvg-wasm,3083758,resvg-wasm,https://github.com/bpowers/resvg-wasm#readme,git+https://github.com/bpowers/resvg-wasm.git
github.com/ahaoboy/ansi2,164873,ansi2,,https://github.com/ahaoboy/ansi2,1348287,ansi2,https://github.com/ahaoboy/ansi2,git+https://github.com/ahaoboy/ansi2.git
github.com/secretarium/devsuite-typescript,2255,secretarium,https://secretarium.com,https://github.com/secretarium/devsuite-typescript.git,976233,@secretarium/instrumentation,,https://github.com/secretarium/devsuite-typescript.git
