Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/denzyldick/phanalist,13002,phanalist,,https://github.com/denzyldick/phanalist,89614,denzyl/phanalist,,https://github.com/denzyldick/phanalist
github.com/carthage-software/mago,214411,mago-fingerprint,https://mago.carthage.software,https://github.com/carthage-software/mago,58188,carthage-software/mago,,https://github.com/carthage-software/mago
github.com/askonomm/siena,56317,siena,,https://github.com/askonomm/siena,29826,askonomm/siena,,https://github.com/askonomm/siena
github.com/qy-upup/ai-kissing,61613,ai_kissing,https://supermaker.ai/video/ai-kissing/,https://github.com/qy-upup/ai-kissing,309168,qy-upup/ai-kissing,,https://github.com/qy-upup/ai-kissing
github.com/qy-upup/first-last-frame,61896,first_last_frame,https://supermaker.ai/video/first-last-frame/,https://github.com/qy-upup/first-last-frame,309181,qy-upup/first-last-frame,,https://github.com/qy-upup/first-last-frame
github.com/qy-upup/copyright-free-songs,89302,copyright_free_songs,https://supermaker.ai/music/copyright-free-songs/,https://github.com/qy-upup/copyright-free-songs,309179,qy-upup/copyright-free-songs,,https://github.com/qy-upup/copyright-free-songs
github.com/qy-upup/sora-ai-video,149376,sora_ai_video,https://supermaker.ai/video/sora-ai-video/,https://github.com/qy-upup/sora-ai-video,309189,qy-upup/sora-ai-video,,https://github.com/qy-upup/sora-ai-video
github.com/qy-upup/chat-1,151275,chat_1,https://supermaker.ai/chat/,https://github.com/qy-upup/chat-1,309178,qy-upup/chat-1,,https://github.com/qy-upup/chat-1
github.com/qy-upup/seedance-ai-video,151340,seedance_ai_video,https://supermaker.ai/video/seedance-ai-video/,https://github.com/qy-upup/seedance-ai-video,309186,qy-upup/seedance-ai-video,,https://github.com/qy-upup/seedance-ai-video
github.com/qy-upup/sm-chat,151726,sm_chat,https://supermaker.ai/chat/,https://github.com/qy-upup/sm-chat,309188,qy-upup/sm-chat,,https://github.com/qy-upup/sm-chat
github.com/agnesoft/agdb,178361,agdb_derive,https://github.com/agnesoft/agdb,https://github.com/agnesoft/agdb,8513,agnesoft/agdb_api,,https://github.com/agnesoft/agdb
github.com/qy-upup/veo,152446,veo,https://supermaker.ai/video/veo/,https://github.com/qy-upup/veo,309192,qy-upup/veo,,https://github.com/qy-upup/veo
github.com/qy-upup/nano-banana-2,159586,nano_banana_2,https://supermaker.ai/image/nano-banana-2/,https://github.com/qy-upup/nano-banana-2,309184,qy-upup/nano-banana-2,,https://github.com/qy-upup/nano-banana-2
github.com/qy-upup/ai-soulmate-drawing-generator,172408,qy-soulmate-drawing-generator,https://supermaker.ai/image/ai-soulmate-drawing-generator,https://github.com/qy-upup/ai-soulmate-drawing-generator,309172,qy-upup/ai-soulmate-drawing-generator,,https://github.com/qy-upup/ai-soulmate-drawing-generator
github.com/qy-upup/ai-twerk-video-generator,175409,ai-twerk-video-generator,https://supermaker.ai/video/ai-twerk-video-generator/,https://github.com/qy-upup/ai-twerk-video-generator,309174,qy-upup/ai-twerk-video-generator,,https://github.com/qy-upup/ai-twerk-video-generator
github.com/qy-upup/nano-banana-1,182129,nano-banana-1,https://supermaker.ai/image/nano-banana/,https://github.com/qy-upup/nano-banana-1,309183,qy-upup/nano-banana-1,,https://github.com/qy-upup/nano-banana-1
github.com/qy-upup/ai-minecraft-image,182810,ai_minecraft_image,https://supermaker.ai/image/blog/how-to-turn-your-image-into-minecraft-skin/,https://github.com/qy-upup/ai-minecraft-image,309170,qy-upup/ai-minecraft-image,,https://github.com/qy-upup/ai-minecraft-image
github.com/qy-upup/ai-soulmate-sketch-filter,189766,ai_soulmate_sketch_filter,https://supermaker.ai/image/blog/ai-soulmate-drawing-free-tool-generate-your-soulmate-sketch/,https://github.com/qy-upup/ai-soulmate-sketch-filter,309173,qy-upup/ai-soulmate-sketch-filter,,https://github.com/qy-upup/ai-soulmate-sketch-filter
github.com/yggverse/yoda,204793,Yoda,,https://github.com/YGGverse/Yoda,423783,yggverse/yoda,,https://github.com/YGGverse/Yoda
github.com/aurabx/harmony-dsl,207716,harmony-dsl,https://github.com/aurabx/harmony-dsl,https://github.com/aurabx/harmony-dsl,32267,aurabx/harmony-dsl,,https://github.com/aurabx/harmony-dsl
github.com/qy-upup/ai-baby-generator,210111,ai_baby_generator,https://supermaker.ai/image/ai-baby-generator/,https://github.com/qy-upup/ai-baby-generator,309167,qy-upup/ai-baby-generator,,https://github.com/qy-upup/ai-baby-generator
github.com/qy-upup/bigfoot-video-generator,210123,bigfoot_video_generator,https://supermaker.ai/video/bigfoot-video-generator/,https://github.com/qy-upup/bigfoot-video-generator,309177,qy-upup/bigfoot-video-generator,,https://github.com/qy-upup/bigfoot-video-generator
github.com/qy-upup/ai-make-music,211091,ai_make_music,https://supermaker.ai/music/ai-make-music/,https://github.com/qy-upup/ai-make-music,309169,qy-upup/ai-make-music,,https://github.com/qy-upup/ai-make-music
github.com/qy-upup/makeshot.ai,215746,makeshot_ai,https://makeshot.ai/,https://github.com/qy-upup/makeshot.ai,309182,qy-upup/makeshot.ai,,https://github.com/qy-upup/makeshot.ai
github.com/qy-upup/banana-prompts,216012,banana_prompts,https://bananaproai.com/banana-prompts/,https://github.com/qy-upup/banana-prompts,309175,qy-upup/banana-prompts,,https://github.com/qy-upup/banana-prompts
github.com/qy-upup/diffrhythm.ai,216032,diffrhythm_ai,https://diffrhythm.ai/,https://github.com/qy-upup/diffrhythm.ai,309180,qy-upup/diffrhythm.ai,,https://github.com/qy-upup/diffrhythm.ai
github.com/qy-upup/bananaproai-com,216069,bananaproai-com,https://bananaproai.com/,https://github.com/qy-upup/bananaproai-com,309176,qy-upup/bananaproai-com,,https://github.com/qy-upup/bananaproai-com
github.com/qy-upup/tomusic.ai-1,216277,tomusic_ai_1,https://tomusic.ai/,https://github.com/qy-upup/tomusic.ai-1,309191,qy-upup/tomusic.ai-1,,https://github.com/qy-upup/tomusic.ai-1
github.com/qy-upup/sotavideo.ai,216422,sotavideo_ai,https://sotavideo.ai/,https://github.com/qy-upup/sotavideo.ai,309190,qy-upup/sotavideo.ai,,https://github.com/qy-upup/sotavideo.ai
