Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
211426,gcp-client-rust,,https://github.com/xbill9/gemini-cli-codeassist,97863,mcp_stdio_ruby,https://github.com/xbill9/gemini-cli-codeassist,https://github.com/xbill9/gemini-cli-codeassist/mcp_stdio_ruby
1967,chrono-machines,,https://github.com/seuros/chrono_machines,26487,chrono_machines,https://github.com/seuros/chrono_machines,https://github.com/seuros/chrono_machines
211059,rb-sys-env,https://github.com/oxidize-rb/rb-sys,https://github.com/oxidize-rb/rb-sys,133302,rb_sys1,https://github.com/oxidize-rb/rb-sys,https://github.com/oxidize-rb/rb-sys
151414,twips-ffi,,https://github.com/cubing/twips,174897,twips,https://github.com/cubing/twips,https://github.com/cubing/twips
14801,asciidoctor-client,https://github.com/hybras/asciidoctor-server,https://github.com/hybras/asciidoctor-server,9543,asciidoctor-server,https://github.com/hybras/asciidoctor-server,https://github.com/hybras/asciidoctor-server
175007,libdd-data-pipeline,https://github.com/DataDog/libdatadog/tree/main/libdd-data-pipeline,https://github.com/DataDog/libdatadog/tree/main/libdd-data-pipeline,90057,libdatadog,https://docs.datadoghq.com/tracing/,https://github.com/datadog/libdatadog/tree/main/ruby
180120,pyroscope,https://pyroscope.io/docs/rust,https://github.com/pyroscope-io/pyroscope-rs,126670,pyroscope-ruby33,https://pyroscope.io,https://github.com/pyroscope-io/pyroscope-rs/tree/main/pyroscope_ffi/ruby
46333,ithos,https://github.com/cryptosphere/ithos,https://github.com/cryptosphere/ithos,79037,ithos,https://github.com/cryptosphere/ithos,https://github.com/cryptosphere/ithos
111852,neon_nlp,,https://github.com/neonlaw/codebase,107999,neon_webhooks,https://github.com/neonlaw/codebase,https://github.com/neonlaw/codebase
54596,etsm,,https://github.com/ethiffeault/etsm,48825,etsm,https://github.com/ethiffeault/etsm,https://github.com/ethiffeault/etsm
55284,ssh_bookmarker,,https://github.com/antifuchs/ssh_bookmarker,161102,ssh_bookmarker,https://rubygems.org/gems/ssh_bookmarker,https://github.com/antifuchs/ssh_bookmarker
60151,conjecture,https://github.com/HypothesisWorks/hypothesis/tree/master/conjecture-rust,https://github.com/HypothesisWorks/hypothesis/,74856,hypothesis-specs,https://github.com/HypothesisWorks/hypothesis/tree/master/hypothesis-ruby,https://github.com/HypothesisWorks/hypothesis/tree/master/hypothesis-ruby
61165,enquo-core,https://enquo.org,https://github.com/enquo/enquo-core,47475,enquo-core,https://enquo.org/active_enquo,https://github.com/enquo/enquo-core
61218,repofetch,,https://github.com/spenserblack/repofetch,136398,repofetch,https://github.com/spenserblack/repofetch,https://github.com/spenserblack/repofetch
206732,smbcloud-cli,,https://github.com/smbcloudXYZ/smbcloud-cli,156811,smbcloud-model,https://github.com/smbcloudXYZ/smbcloud-cli/tree/development/gems/model,https://github.com/smbcloudXYZ/smbcloud-cli/tree/development/gems/model
209756,deltalake-lakefs,https://github.com/delta-io/delta.rs,https://github.com/delta-io/delta.rs,38306,deltalake,https://github.com/delta-io/delta.rs,https://github.com/delta-io/delta.rs
73269,jmse,https://jmse.dev,https://github.com/jmse-json/jmse,82565,jmse,https://github.com/jmse-json/jmse/tree/master/ruby/,https://github.com/jmse-json/jmse/tree/master/ruby/
74764,geoq,https://github.com/worace/geoq,https://github.com/worace/geoq,61459,geoq,https://github.com/worace/geoq,https://github.com/worace/geoq
76235,caml,https://tacoda.dev/caml,https://github.com/tacoda/caml,21704,caml,https://github.com/tacoda/caml,https://github.com/tacoda/caml
96060,mothership,https://github.com/seuros/mothership,https://github.com/seuros/mothership,67996,guardship,https://github.com/seuros/mothership,https://github.com/seuros/mothership
105168,bad_idea,https://github.com/steveklabnik/bad_idea/,https://github.com/steveklabnik/bad_idea/,13390,bad_idea,https://github.com/steveklabnik/bad_idea,https://github.com/steveklabnik/bad_idea
105799,probability_to_friendly_string,https://github.com/gregstoll/probabilityToFriendlyString,,124344,probability_to_friendly_string,https://github.com/gregstoll/probabilityToFriendlyString,https://github.com/gregstoll/probabilityToFriendlyString
111835,linux_ip,,https://github.com/mabels/linux-ip-parser.git,90955,linux-ip,https://github.com/mabels/linux-ip-parser,https://github.com/mabels/linux-ip-parser
119686,fylorg,https://github.com/sreedevk/fylorg,https://github.com/sreedevk/fylorg,59427,fylorg,https://sree.dev/,https://github.com/sreedevk/fylorg
128303,confusion,https://github.com/cryptosphere/confusion,https://github.com/cryptosphere/confusion.git,31306,confusion,https://github.com/cryptosphere/confusion,https://github.com/cryptosphere/confusion
145983,asimov-cli,https://cli.asimov.sh,https://github.com/asimov-platform/asimov-cli,9693,asimov-vault-cli,https://cli.asimov.so,https://github.com/asimov-platform/asimov-cli
157278,dyn-thrift,,https://github.com/pages-themes/hacker.git,81516,jekyll-theme-hacker-asb,https://github.com/pages-themes/hacker,https://github.com/pages-themes/hacker
160705,breaker-machines,,https://github.com/seuros/breaker_machines,19161,breaker_machines,https://github.com/seuros/breaker_machines,https://github.com/seuros/breaker_machines
