Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo
546016,gitclone.com/github.com/ethereum/go-ethereum.git,https://gitclone.com/github.com/ethereum/go-ethereum,https://gitclone.com/github.com/ethereum/go-ethereum,187634,org.ethereum:geth,https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum
165271,github.com/envoyproxy/protoc-gen-validate/tests,https://github.com/envoyproxy/protoc-gen-validate,https://github.com/envoyproxy/protoc-gen-validate,425235,io.envoyproxy.protoc-gen-validate:pgv-java,https://github.com/envoyproxy/protoc-gen-validate,https://github.com/envoyproxy/protoc-gen-validate
10144,vitess.io/vitess,https://github.com/vitessio/vitess,https://github.com/vitessio/vitess,299841,io.vitess:vitess-parent,http://vitess.io,https://github.com/vitessio/vitess/tree/master
56316,github.com/apache/pulsar/pulsar-function-go,https://github.com/apache/pulsar,https://github.com/apache/pulsar,305829,io.streamnative:pulsar-bom,https://github.com/apache/pulsar,https://github.com/apache/pulsar
9766,github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,394680,io.github.google-ai-edge:litert,https://tensorflow.org/lite/,https://github.com/tensorflow/tensorflow/tree/master/
974280,github.com/envoyproxy/envoy/contrib/golang/filters/network/test/test_data,https://github.com/envoyproxy/envoy,https://github.com/envoyproxy/envoy,425238,io.envoyproxy.envoymobile:envoy,https://envoymobile.io,https://github.com/envoyproxy/envoy
32687,github.com/mysteriumnetwork/node,https://github.com/mysteriumnetwork/node,https://github.com/mysteriumnetwork/node,260719,network.mysterium:mobile-node,https://github.com/mysteriumnetwork/node,https://github.com/mysteriumnetwork/node
33086,github.com/choerodon/choerodon,https://github.com/choerodon/choerodon,https://github.com/choerodon/choerodon,431627,io.choerodon:choerodon-framework-parent,https://github.com/choerodon/choerodon/choerodon-framework,
33862,github.com/hashgraph/hedera-sdk-java,https://github.com/hashgraph/hedera-sdk-java,https://github.com/hashgraph/hedera-sdk-java,607028,com.hedera.hashgraph:hedera-java-sdk,http://www.hedera.com,http://github.com/hashgraph/hedera-sdk-java
646333,github.com/zeebe-io/zeebe/clients/go/v8,https://github.com/zeebe-io/zeebe,https://github.com/zeebe-io/zeebe,298398,io.zeebe:zeebe-bom,http://zeebe.io/,https://github.com/zeebe-io/zeebe
38210,github.com/sofastack/sofa-ark,https://github.com/sofastack/sofa-ark,https://github.com/sofastack/sofa-ark,716910,com.alipay.sofa:sofa-ark,https://github.com/sofastack/sofa-ark,http://github.com/sofastack/sofa-ark/tree/master
50449,github.com/grpc/grpc-java,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java,574790,com.luhuiguo.grpc:grpc-netty-shaded,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java
53502,github.com/zhangdaiscott/jeecg-boot,https://github.com/zhangdaiscott/jeecg-boot,https://github.com/zhangdaiscott/jeecg-boot,164208,org.jeecgframework.archetype:jeecg-boot-archetype,http://www.jeecg.com,https://github.com/zhangdaiscott/jeecg-boot
61905,github.com/baomidou/dynamic-datasource-spring-boot-starter,https://github.com/baomidou/dynamic-datasource-spring-boot-starter,https://github.com/baomidou/dynamic-datasource-spring-boot-starter,703371,com.baomidou:dynamic-datasource,https://github.com/baomidou/dynamic-datasource-spring-boot-starter,https://github.com/baomidou/dynamic-datasource-spring-boot-starter
72586,github.com/square/okhttp,https://github.com/square/okhttp,https://github.com/square/okhttp,604585,com.huanli233.okhttp3-compat:logging-interceptor,https://square.github.io/okhttp/,https://github.com/square/okhttp
77480,github.com/nlpie/mtap,https://github.com/nlpie/mtap,https://github.com/nlpie/mtap,453568,edu.umn.nlpie:mtap,https://nlpie.github.io/mtap,http://github.com/nlpie/mtap
79089,github.com/palantir/go-java-launcher,https://github.com/palantir/go-java-launcher,https://github.com/palantir/go-java-launcher,551724,com.palantir.launching:go-init,https://github.com/palantir/go-java-launcher,git@github.com:palantir/go-java-launcher.git
83344,github.com/facebook/rocksdb,https://github.com/facebook/rocksdb,https://github.com/facebook/rocksdb,376736,io.github.mirgee:rocksdbjni,https://rocksdb.org,scm:git:https://github.com/facebook/rocksdb.git
84232,github.com/hyperledger/fabric-chaincode-java,https://github.com/hyperledger/fabric-chaincode-java,https://github.com/hyperledger/fabric-chaincode-java,172679,org.hyperledger.fabric-chaincode-java:fabric-chaincode-protos,http://www.hyperledger.org/,https://github.com/hyperledger/fabric-chaincode-java.git
94849,github.com/spinnaker/halyard,https://github.com/spinnaker/halyard,https://github.com/spinnaker/halyard,306786,io.spinnaker.halyard:halyard-backup,https://github.com/spinnaker/halyard,http://github.com/spinnaker/halyard/
108980,github.com/skylot/jadx,https://github.com/skylot/jadx,https://github.com/skylot/jadx,358282,io.github.skylot:jadx-aab-input,https://github.com/skylot/jadx,https://github.com/skylot/jadx
113021,github.com/prometheus/client_java,https://github.com/prometheus/client_java,https://github.com/prometheus/client_java,317413,io.prometheus:client,http://github.com/prometheus/client_java,git@github.com:prometheus/client_java.git
196254,github.com/godaddy/asherah/server/go,https://github.com/godaddy/asherah,https://github.com/godaddy/asherah,616049,com.godaddy.asherah:appencryption,https://github.com/godaddy/asherah,https://github.com/godaddy/asherah
116413,github.com/hyperledger/fabric-gateway-java,https://github.com/hyperledger/fabric-gateway-java,https://github.com/hyperledger/fabric-gateway-java,399351,io.github.ecsoya:fabric-explorer-spring-boot-starter,,https://github.com/hyperledger/fabric-gateway-java
