Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/goreleaser/goreleaser,1957721,6github.com/goreleaser/goreleaser,https://6github.com/goreleaser/goreleaser.git,https://6github.com/goreleaser/goreleaser.git,440184,@goreleaser/goreleaser,https://goreleaser.com,git+https://github.com/goreleaser/goreleaser.git
github.com/moby/buildkit,1943580,6github.com/moby/buildkit,https://6github.com/moby/buildkit.git,https://6github.com/moby/buildkit.git,1501058,buildctl-win32-x64,https://github.com/moby/buildkit,
github.com/bazelbuild/buildtools,803,github.com/bazelbuild/buildtools,https://github.com/bazelbuild/buildtools,https://github.com/bazelbuild/buildtools,135732,@bazel/buildozer,https://github.com/bazelbuild/buildtools#readme,git+https://github.com/bazelbuild/buildtools.git
github.com/btcsuite/btcd,2014571,github.com/btcsuite/btcd/v2transport,https://github.com/btcsuite/btcd,https://github.com/btcsuite/btcd,1496657,btcd-binary,https://github.com/btcsuite/btcd#readme,git+https://github.com/btcsuite/btcd.git
github.com/hashicorp/terraform,2074702,github.com/hashicorp/terraform/internal/backend/remote-state/oci,https://github.com/hashicorp/terraform,https://github.com/hashicorp/terraform,349902,@env0/terraform-linux-amd-64,https://github.com/hashicorp/terraform#readme,git+https://github.com/hashicorp/terraform.git
github.com/prometheus/prometheus,1747541,github.com/prometheus/prometheus/web/ui/mantine-ui/src/promql/tools,https://github.com/prometheus/prometheus,https://github.com/prometheus/prometheus,2191836,hzwwww-lezer-promql,https://github.com/prometheus/prometheus/blob/main/web/ui/module/lezer-promql/README.md,git+https://github.com/prometheus/prometheus.git
github.com/mvdan/sh,2174658,www.github.com/mvdan/sh.git,https://www.github.com/mvdan/sh,https://www.github.com/mvdan/sh,2592604,mvdan-sh,https://github.com/mvdan/sh#readme,git+https://github.com/mvdan/sh.git
github.com/dop251/goja_nodejs,2144,github.com/dop251/goja_nodejs,https://github.com/dop251/goja_nodejs,https://github.com/dop251/goja_nodejs,311015,@dop251/types-goja_nodejs-url,https://github.com/dop251/goja_nodejs#readme,git+https://github.com/dop251/goja_nodejs.git
github.com/lightningnetwork/lnd,1952785,github.com/lightningnetwork/lnd/actor,https://github.com/lightningnetwork/lnd,https://github.com/lightningnetwork/lnd,2431850,lnd,https://github.com/LightningNetwork/lnd#readme,git+https://github.com/LightningNetwork/lnd.git
github.com/junegunn/fzf,4258,github.com/junegunn/fzf,https://github.com/junegunn/fzf,https://github.com/junegunn/fzf,3742898,zsh-fzf,https://github.com/junegunn/fzf,
github.com/tcnksm/ghr,4984,github.com/tcnksm/ghr,https://github.com/tcnksm/ghr,https://github.com/tcnksm/ghr,547190,@install-binary/ghr-linux-x64,https://github.com/tcnksm/ghr,git+https://github.com/tcnksm/ghr.git
github.com/apache/beam,465004,github.com/apache/beam/sdks/v2,https://github.com/apache/beam,https://github.com/apache/beam,1354022,apache-beam-jupyterlab-sidepanel,https://github.com/apache/beam,git+https://github.com/apache/beam.git
github.com/yahoo/athenz,6550,github.com/yahoo/athenz,https://github.com/yahoo/athenz,https://github.com/yahoo/athenz,110055,@athenz/zts-client,http://www.athenz.io,git@github.com/yahoo/athenz.git
github.com/loadimpact/k6,10153,github.com/loadimpact/k6,https://github.com/loadimpact/k6,https://github.com/loadimpact/k6,2322460,k6,https://github.com/loadimpact/k6#readme,git+https://github.com/loadimpact/k6.git
github.com/jpillora/velox,10519,github.com/jpillora/velox,https://github.com/jpillora/velox,https://github.com/jpillora/velox,3533119,veloxjs,https://github.com/jpillora/velox#readme,git+https://github.com/jpillora/velox.git
github.com/jenkinsci/jenkins,10766,github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,2273934,jenkins-js-utils,,github.com:jenkinsci/jenkins.git
github.com/wailsapp/wails,812471,github.com/wailsapp/wails/v3/examples/plugins,https://github.com/wailsapp/wails,https://github.com/wailsapp/wails,1186685,@wailsio/runtime,https://v3.wails.io,git+https://github.com/wailsapp/wails.git
github.com/vmware/harbor,11329,github.com/vmware/harbor,https://github.com/vmware/harbor,https://github.com/vmware/harbor,2124696,harbor-ui-vic,https://github.com/vmware/harbor#readme,git+https://github.com/vmware/harbor.git
github.com/bazelbuild/bazelisk,11802,github.com/bazelbuild/bazelisk,https://github.com/bazelbuild/bazelisk,https://github.com/bazelbuild/bazelisk,135726,@bazel/bazelisk,https://github.com/bazelbuild/bazelisk#readme,git+https://github.com/bazelbuild/bazelisk.git
github.com/jaegertracing/jaeger-ui,13904,github.com/jaegertracing/jaeger-ui,https://github.com/jaegertracing/jaeger-ui,https://github.com/jaegertracing/jaeger-ui,2064586,gloo-jaeger-ui,http://.,git+https://github.com/jaegertracing/jaeger-ui.git
github.com/awslabs/aws-sam-local,15601,github.com/awslabs/aws-sam-local,https://github.com/awslabs/aws-sam-local,https://github.com/awslabs/aws-sam-local,1409713,aws-sam-local,https://github.com/awslabs/aws-sam-local#readme,git+https://github.com/awslabs/aws-sam-local.git
github.com/jgraph/drawio-desktop,19246,github.com/jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,1786314,draw.io-desktop,https://github.com/jgraph/drawio,git+ssh://git@github.com/jgraph/drawio-desktop.git
github.com/lebab/lebab,20038,github.com/lebab/lebab,https://github.com/lebab/lebab,https://github.com/lebab/lebab,2392557,lebab,https://github.com/lebab/lebab,https://github.com/lebab/lebab
github.com/amacneil/dbmate,790400,github.com/amacneil/dbmate/v2,https://github.com/amacneil/dbmate,https://github.com/amacneil/dbmate,1715826,dbmate,https://github.com/amacneil/dbmate#readme,git+https://github.com/amacneil/dbmate.git
github.com/zeit/now,25976,github.com/zeit/now,https://github.com/zeit/now,https://github.com/zeit/now,3415591,timer-now-next,https://zeit.co/docs/runtimes#official-runtimes/next-js,git+https://github.com/zeit/now.git
github.com/hyperledger/aries-framework-go,835632,github.com/hyperledger/aries-framework-go/component/vdr,https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,969529,@scaffoldly/aries-framework-go-for-slygo,https://github.com/hyperledger/aries-framework-go#readme,git://github.com/hyperledger/aries-framework-go.git
github.com/jfrog/jfrog-cli,29134,github.com/jfrog/jfrog-cli,https://github.com/jfrog/jfrog-cli,https://github.com/jfrog/jfrog-cli,2277428,jfrog-cli-v2-jf,https://github.com/jfrog/jfrog-cli,git+https://github.com/jfrog/jfrog-cli.git
github.com/sourcegraph/src-cli,32719,github.com/sourcegraph/src-cli,https://github.com/sourcegraph/src-cli,https://github.com/sourcegraph/src-cli,1023543,@sourcegraph/src,https://github.com/sourcegraph/src-cli#readme,git+ssh://git@github.com/sourcegraph/src-cli.git
github.com/patrikx3/onenote,32903,github.com/patrikx3/onenote,https://github.com/patrikx3/onenote,https://github.com/patrikx3/onenote,2798504,p3x-onenote,https://corifeus.com/onenote,git+https://github.com/patrikx3/onenote.git
github.com/openfaas/faas-cli,33269,github.com/openfaas/faas-cli,https://github.com/openfaas/faas-cli,https://github.com/openfaas/faas-cli,2780021,openfaas-cli,https://github.com/openfaas/faas-cli#readme,git+https://github.com/openfaas/faas-cli.git
github.com/smartcontractkit/chainlink,2166264,github.com/smartcontractkit/chainlink/integration-tests/load,https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,1545839,chainlink-solidity,https://github.com/smartcontractkit/chainlink#readme,git+https://github.com/smartcontractkit/chainlink.git
github.com/nuxt/nuxt.js,37751,github.com/nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,3713373,yuki-test-webpack,https://github.com/nuxt/nuxt.js#readme,git+https://github.com/nuxt/nuxt.js.git
github.com/danielpaulus/go-ios,39834,github.com/danielpaulus/go-ios,https://github.com/danielpaulus/go-ios,https://github.com/danielpaulus/go-ios,2067469,go-ios,https://github.com/danielpaulus/go-ios#readme,git+https://github.com/danielpaulus/go-ios.git
github.com/offchainlabs/arbitrum,45375,github.com/offchainlabs/arbitrum,https://github.com/offchainlabs/arbitrum,https://github.com/offchainlabs/arbitrum,1890139,ethb-arb-provider-ethers,https://offchainlabs.com/,git+https://github.com/offchainlabs/arbitrum.git
github.com/cdr/code-server,48861,github.com/cdr/code-server,https://github.com/cdr/code-server,https://github.com/cdr/code-server,585901,@jsjoeio/code-server,https://github.com/cdr/code-server,https://github.com/cdr/code-server
github.com/tektoncd/dashboard,51522,github.com/tektoncd/dashboard,https://github.com/tektoncd/dashboard,https://github.com/tektoncd/dashboard,1082252,@tektoncd/dashboard-utils,https://github.com/tektoncd/dashboard#readme,git+https://github.com/tektoncd/dashboard.git
github.com/teamsnap/vault-key,765853,github.com/teamsnap/vault-key/pkg/key,https://github.com/teamsnap/vault-key,https://github.com/teamsnap/vault-key,1079248,@teamsnap/vault-key,https://github.com/teamsnap/vault-key#readme,git+https://github.com/teamsnap/vault-key.git
github.com/bufbuild/buf,53493,github.com/bufbuild/buf,https://github.com/bufbuild/buf,https://github.com/bufbuild/buf,172472,@bufbuild/buf-win32-x64,https://github.com/bufbuild/buf#readme,git+https://github.com/bufbuild/buf.git
github.com/kubernetes-sigs/kustomize,2211053,github.com/kubernetes-sigs/kustomize/plugin/builtin/replacementtransformer,https://github.com/kubernetes-sigs/kustomize,https://github.com/kubernetes-sigs/kustomize,2371547,kustomize,https://kustomize.io,git+https://github.com/kubernetes-sigs/kustomize.git
github.com/altipla-consulting/sentry,56193,github.com/altipla-consulting/sentry,https://github.com/altipla-consulting/sentry,https://github.com/altipla-consulting/sentry,68147,@altipla/sentry,https://github.com/altipla-consulting/sentry#readme,git+https://github.com/altipla-consulting/sentry.git
github.com/anycable/anycable-go,58898,github.com/anycable/anycable-go,https://github.com/anycable/anycable-go,https://github.com/anycable/anycable-go,82856,@anycable/anycable-go,https://anycable.io,git+https://github.com/anycable/anycable-go.git
