Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
14207,tools.fastlane:screengrab,https://github.com/fastlane/fastlane,https://github.com/fastlane/fastlane,52325,fastlane-security-patched,https://fastlane.tools,https://github.com/fastlane/fastlane
16118,tech.lity.rea:skatolo,https://github.com/potioc/Skatolo,https://github.com/Rea-lity-Tech/Skatolo,155549,skatolo,https://github.com/Rea-lity-Tech/skatolo,https://github.com/Rea-lity-Tech/skatolo
25997,rubygems:ruby-maven-libs,https://github.com/takari/ruby-maven-libs,https://github.com/takari/ruby-maven-libs,144135,ruby-maven-libs,https://github.com/takari/ruby-maven-libs,https://github.com/takari/ruby-maven-libs
26000,rubygems:rake,https://github.com/ruby/rake,https://github.com/ruby/rake,131815,rake,https://github.com/ruby/rake,https://github.com/ruby/rake
26002,rubygems:psych,http://github.com/tenderlove/psych,http://github.com/tenderlove/psych,125595,psych-shopifork,http://github.com/tenderlove/psych,http://github.com/tenderlove/psych
478340,de.saumya.mojo:maven-tools,http://github.com/torquebox/maven-tools,http://github.com/torquebox/maven-tools,97534,maven-tools,http://github.com/torquebox/maven-tools,http://github.com/torquebox/maven-tools
26008,rubygems:jruby-openssl,https://github.com/jruby/jruby-openssl,https://github.com/jruby/jruby-openssl,83584,jruby-openssl,https://github.com/jruby/jruby-openssl,https://github.com/jruby/jruby-openssl
26009,rubygems:jar-dependencies,https://github.com/mkristian/jar-dependencies,https://github.com/mkristian/jar-dependencies,79706,jar-dependencies,https://github.com/mkristian/jar-dependencies,https://github.com/mkristian/jar-dependencies
719356,com.akeyless-security.auth.swagger:akeyless-auth-api,https://github.com/swagger-api/swagger-codegen,https://github.com/swagger-api/swagger-codegen,188783,zoom_us,https://github.com/swagger-api/swagger-codegen,https://github.com/swagger-api/swagger-codegen
57479,org.webjars.npm:github-com-f-graphql-js,http://webjars.org,https://github.com/f/graphql.js,66689,graphqljs-rails,https://github.com/f/graphql.js,https://github.com/f/graphql.js
69068,org.webjars.bower:bootstrap-tagsinput,http://webjars.org,git://github.com/bootstrap-tagsinput/bootstrap-tagsinput.git,18373,bootstrap_tagsinput_rails,https://github.com/bootstrap-tagsinput/bootstrap-tagsinput,https://github.com/bootstrap-tagsinput/bootstrap-tagsinput
67856,org.webjars.bower:github-com-rails-assets-angular-semver-sort,http://webjars.org,https://github.com/rails-assets/angular-semver-sort,6772,angular-semver-sort-rails,https://github.com/rails-assets/angular-semver-sort,https://github.com/rails-assets/angular-semver-sort
82158,org.sqldroid:sqldroid,https://github.com/SQLDroid/SQLDroid,https://github.com/SQLDroid/SQLDroid,160649,sqldroid,http://sqldroid.org/,https://github.com/SQLDroid/SQLDroid
87151,org.sonatype.pmaven:pmaven,https://docs.sonatype.org/display/PMAVEN,https://github.com/sonatype/polyglot-maven,97512,maven,http://github.com/sonatype/polyglot-maven/tree/maven-gem,http://github.com/sonatype/polyglot-maven/tree/maven-gem
102963,org.realityforge.swung-weave:swung-weave-api,https://github.com/realityforge/swung_weave,git@github.com:realityforge/swung_weave.git,165252,swung-weave-buildr,http://github.com/realityforge/swung_weave,http://github.com/realityforge/swung_weave
131895,org.necula.bond:bond,https://github.com/necula01/bond,https://github.com/necula01/bond,17901,bond-spy,http://github.com/necula01/bond,http://github.com/necula01/bond
142899,org.mirah:shared,http://mirah.org,http://github.com/mirah/mirah,101469,mirah,http://www.mirah.org/,https://github.com/mirah/mirah
560626,com.ning.killbill.ruby:logging-plugin,http://github.com/killbill/killbill-logging-plugin,https://github.com/killbill/killbill-logging-plugin/,86855,klogger,http://killbill.io,http://github.com/killbill/killbill-logging-plugin
158497,org.jruby.warbler:warbler-embedded-jetty,http://github.com/jruby/warbler/,,181580,warbler,https://github.com/jruby/warbler,https://github.com/jruby/warbler
158500,org.jruby.rack:jruby-rack,https://github.com/jruby/jruby-rack/,https://github.com/jruby/jruby-rack/,83599,jruby-rack,http://jruby.org,https://github.com/jruby/jruby-rack
