Normalized_URL,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/0xproject/0x-monorepo,3618129,web3-typescript-typings,https://github.com/0xProject/0x-monorepo/packages/web3-typescript-typings#readme,git+https://github.com/0xProject/0x-monorepo.git,648541,thirdweb-contract-wrappers,https://github.com/0xproject/0x-monorepo/tree/development/python-packages/contract_wrappers,https://github.com/0xproject/0x-monorepo/tree/development/python-packages/contract_wrappers
github.com/casiez/oneeurofilter,4762,1eurofilter,https://github.com/casiez/OneEuroFilter#readme,git+https://github.com/casiez/OneEuroFilter.git,431990,OneEuroFilter,https://pypi.org/project/OneEuroFilter/,https://github.com/casiez/OneEuroFilter/python
github.com/yourusername/your-repo-name,2960005,rc-lib-react,https://github.com/yourusername/your-repo-name#readme,git+https://github.com/yourusername/your-repo-name.git,272536,hyperp,https://github.com/yourusername/your-repo-name,https://github.com/yourusername/your-repo-name
github.com/1yefuwang1/vectorlite,3531978,vectorlite,https://github.com/1yefuwang1/vectorlite,,684246,vectorlite-py,https://github.com/1yefuwang1/vectorlite,https://github.com/1yefuwang1/vectorlite
github.com/git_user_id/git_repo_id,3733944,zi-pilot_3_0_1,https://github.com/GIT_USER_ID/GIT_REPO_ID#readme,git+https://github.com/GIT_USER_ID/GIT_REPO_ID.git,714133,yagroup-pay,https://pypi.org/project/yagroup-pay/,https://github.com/GIT_USER_ID/GIT_REPO_ID
github.com/5cover/mkast,21179,@5cover/mkast,https://github.com/5cover/mkast#readme,git+https://github.com/5cover/mkast.git,362633,mkast,https://pypi.org/project/mkast/,https://github.com/5cover/mkast
github.com/abstra-app/abstra-cli,27034,@abstra.app/abstra-cli,https://github.com/abstra-app/abstra-cli#readme,git+https://github.com/abstra-app/abstra-cli.git,2419,abstra-cli,https://github.com/abstra-app/abstra-cli,https://github.com/abstra-app/abstra-cli
github.com/pmosconi/mongo-client,31423,@actvalue/mongo-client,https://github.com/pmosconi/mongo-client#readme,git+https://github.com/pmosconi/mongo-client.git,4314,actvalue.mongo-client,https://pypi.org/project/actvalue.mongo-client/,https://github.com/pmosconi/mongo-client
github.com/my_name/myextension,3561686,vpjlab23,https://github.com/my_name/myextension,git+https://github.com/my_name/myextension.git,300524,jupyterlab-hai-platform-ext,https://github.com/my_name/myextension,https://github.com/my_name/myextension
github.com/tdlib/td,3350061,tdweb_1.8.44,https://github.com/tdlib/td#readme,git+https://github.com/tdlib/td.git,637239,tdlib,https://github.com/tdlib/td,https://github.com/tdlib/td
github.com/agent-infra/sandbox-sdk,38793,@agent-infra/sandbox,https://github.com/agent-infra/sandbox-sdk#readme,git+https://github.com/agent-infra/sandbox-sdk.git,8731,agent-sandbox,https://pypi.org/project/agent-sandbox/,https://github.com/agent-infra/sandbox-sdk
