PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
835,a2km,https://pypi.org/project/a2km/,https://github.com/minrk/a2km,156,a2km,http://github.com/minrk/a2km,http://github.com/minrk/a2km
124438,cybershuttle-sdk,https://github.com/apache/airavata,https://github.com/apache/airavata,4906,airavata,https://github.com/apache/airavata,https://github.com/apache/airavata
31394,archive-r-python,https://github.com/Raizo-TCS/archive_r,https://github.com/Raizo-TCS/archive_r,8561,archive_r_ruby,https://github.com/raizo-tcs/archive_r,https://github.com/raizo-tcs/archive_r
35662,aspose_pdf_java_for_python,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Python,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Python,9829,asposepdfjava,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Ruby,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Ruby
35667,aspose-slides-java-for-jython,https://github.com/asposeslides/Aspose_Slides_Java/tree/master/Plugins/Aspose-Slides-Java-for-Jython,https://github.com/asposeslides/Aspose_Slides_Java/tree/master/Plugins/Aspose-Slides-Java-for-Jython,9832,asposeslidesjava,https://github.com/asposeslides/Aspose_Slides_Java/tree/master/Plugins/Aspose_Slides_Java_for_Ruby,https://github.com/asposeslides/Aspose_Slides_Java/tree/master/Plugins/Aspose_Slides_Java_for_Ruby
35682,aspose_words_java_for_python,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Python,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Python,9837,asposewordsjavaforruby,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Ruby,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Ruby
44723,aws-architect,https://github.com/wparad/AWS-Architect.git,https://github.com/wparad/AWS-Architect.git,11938,aws-architect,https://github.com/wparad/AWS-Architect,https://github.com/wparad/AWS-Architect
48154,Azure-Sentinel-Utilities,https://github.com/Azure/Azure-Sentinel,https://github.com/Azure/Azure-Sentinel,99904,microsoft-sentinel-logstash-output-plugin,https://github.com/Azure/Azure-Sentinel,https://github.com/Azure/Azure-Sentinel
52812,bayes_on_redis,https://github.com/didip/bayes_on_redis,https://github.com/didip/bayes_on_redis,14384,bayes_on_redis,https://github.com/didip/bayes_on_redis,https://github.com/didip/bayes_on_redis
64190,bnvd,https://github.com/azurejoga/bnvd,https://github.com/azurejoga/bnvd,17702,bnvd_client,https://bnvd.org,https://github.com/azurejoga/bnvd/tree/main/api_clients/ruby
