Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
135041,glicol_parser,,https://github.com/chaosprint/glicol.git,1571503,github.com/chaosprint/glicol,https://github.com/chaosprint/glicol,https://github.com/chaosprint/glicol,2063016,glicol,https://glicol.js.org,git+https://github.com/chaosprint/glicol.git
104753,oro-shim-bin,https://orogene.dev,https://github.com/orogene/orogene,1914121,github.com/orogene/orogene,https://github.com/orogene/orogene,https://github.com/orogene/orogene,2788641,orogene,https://orogene.dev,git+https://github.com/orogene/orogene.git
102462,rustpython-stdlib,,https://github.com/RustPython/RustPython,249905,github.com/rustpython/rustpython,https://github.com/rustpython/rustpython,https://github.com/rustpython/rustpython,3124518,rustpython_wasm,,https://github.com/RustPython/RustPython/tree/master/wasm/lib
984,tree-sitter-jsdoc,,https://github.com/tree-sitter/tree-sitter-jsdoc,928054,github.com/tree-sitter/tree-sitter-jsdoc,https://github.com/tree-sitter/tree-sitter-jsdoc,https://github.com/tree-sitter/tree-sitter-jsdoc,3442857,tree-sitter-jsdoc,https://github.com/tree-sitter/tree-sitter-jsdoc#readme,git+https://github.com/tree-sitter/tree-sitter-jsdoc.git
143015,kaspad,,https://github.com/kaspanet/rusty-kaspa,1549080,github.com/kaspanet/rusty-kaspa,https://github.com/kaspanet/rusty-kaspa,https://github.com/kaspanet/rusty-kaspa,2331156,kaspa-wasm32-sdk,https://github.com/kaspanet/rusty-kaspa#readme,git+https://github.com/kaspanet/rusty-kaspa.git
201672,dioxus-cli-opt,https://dioxuslabs.com,https://github.com/DioxusLabs/dioxus/,1017466,github.com/dioxuslabs/dioxus,https://github.com/dioxuslabs/dioxus,https://github.com/dioxuslabs/dioxus,1588537,coc-dioxus,https://github.com/DioxusLabs/dioxus#readme,git+https://github.com/DioxusLabs/dioxus.git
140333,sidevm-host-runtime,https://github.com/Phala-Network/phala-blockchain,,511099,github.com/phala-network/phala-blockchain,https://github.com/phala-network/phala-blockchain,https://github.com/phala-network/phala-blockchain,847504,@phala/sdk,https://github.com/Phala-Network/phala-blockchain/tree/master/frontend/packages/sdk#readme,git+https://github.com/Phala-Network/phala-blockchain.git
1745,tree-sitter-regex,,https://github.com/tree-sitter/tree-sitter-regex,928058,github.com/tree-sitter/tree-sitter-regex,https://github.com/tree-sitter/tree-sitter-regex,https://github.com/tree-sitter/tree-sitter-regex,3443023,tree-sitter-regex,https://github.com/tree-sitter/tree-sitter-regex#readme,git+https://github.com/tree-sitter/tree-sitter-regex.git
1815,tree-sitter-commonlisp,,https://github.com/theHamsta/tree-sitter-commonlisp,1078919,github.com/thehamsta/tree-sitter-commonlisp,https://github.com/thehamsta/tree-sitter-commonlisp,https://github.com/thehamsta/tree-sitter-commonlisp,3442689,tree-sitter-commonlisp,https://github.com/theHamsta/tree-sitter-commonlisp#readme,git://github.com/theHamsta/tree-sitter-commonlisp.git
86057,web3api-wasm-rs,https://polywrap.io,https://github.com/polywrap/monorepo,1031096,github.com/polywrap/monorepo,https://github.com/polywrap/monorepo,https://github.com/polywrap/monorepo,3365893,temp-http-plugin-js,,https://github.com/polywrap/monorepo.git
2073,tree-sitter-embedded-template,,https://github.com/tree-sitter/tree-sitter-embedded-template,928051,github.com/tree-sitter/tree-sitter-embedded-template,https://github.com/tree-sitter/tree-sitter-embedded-template,https://github.com/tree-sitter/tree-sitter-embedded-template,3442738,tree-sitter-embedded-template,https://github.com/tree-sitter/tree-sitter-embedded-template#readme,git+https://github.com/tree-sitter/tree-sitter-embedded-template.git
192710,anchor-attribute-constant,,https://github.com/coral-xyz/anchor,1357577,github.com/coral-xyz/anchor,https://github.com/coral-xyz/anchor,https://github.com/coral-xyz/anchor,2714643,nofsanchor,https://github.com/coral-xyz/anchor#readme,git+https://github.com/coral-xyz/anchor.git
209142,reflexo,https://myriad-dreamin.github.io/typst.ts/,https://github.com/Myriad-Dreamin/typst.ts,1980869,github.com/myriad-dreamin/typst.ts,https://github.com/myriad-dreamin/typst.ts,https://github.com/myriad-dreamin/typst.ts,2145709,hexo-renderer-typst,https://github.com/Myriad-Dreamin/typst.ts#readme,git+https://github.com/Myriad-Dreamin/typst.ts.git
4153,tree-sitter-glsl,,https://github.com/theHamsta/tree-sitter-glsl,1078925,github.com/thehamsta/tree-sitter-glsl,https://github.com/thehamsta/tree-sitter-glsl,https://github.com/thehamsta/tree-sitter-glsl,3442789,tree-sitter-glsl,https://github.com/theHamsta/tree-sitter-glsl#readme,git://github.com/theHamsta/tree-sitter-glsl.git
205120,tari_crypto,https://tari.com,https://github.com/tari-project/tari,1853965,github.com/tari-project/tari,https://github.com/tari-project/tari,https://github.com/tari-project/tari,3344096,tari_crypto_web,https://tari.com,git+https://github.com/tari-project/tari.git
54044,helius-laserstream-bandwidth,,https://github.com/helius-labs/laserstream,2071432,github.com/helius-labs/laserstream,https://github.com/helius-labs/laserstream,https://github.com/helius-labs/laserstream,2383093,laserstream-core-proto-js,https://github.com/helius-labs/laserstream#readme,git+https://github.com/helius-labs/laserstream.git
73140,jsonpath_lib-fl,,https://github.com/freestrings/jsonpath,1572499,github.com/freestrings/jsonpath,https://github.com/freestrings/jsonpath,https://github.com/freestrings/jsonpath,2309852,jsonpath-wasm,https://github.com/freestrings/jsonpath#readme,git+https://github.com/freestrings/jsonpath.git
5110,gcode,,https://github.com/Michael-F-Bryan/gcode-rs,1574099,github.com/michael-f-bryan/gcode-rs,https://github.com/michael-f-bryan/gcode-rs,https://github.com/michael-f-bryan/gcode-rs,707468,@michael-f-bryan/gcode-wasm,https://github.com/Michael-F-Bryan/gcode-rs,git+https://github.com/Michael-F-Bryan/gcode-rs.git
158884,solana-watchtower,https://solanalabs.com/,https://github.com/solana-labs/solana,583287,github.com/solana-labs/solana,https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,3243322,solana-zk-token-sdk-experimental,https://solanalabs.com/,git+https://github.com/solana-labs/solana.git
138244,prototty_graphical_common,https://github.com/stevebob/prototty.git,https://github.com/stevebob/prototty.git,2039236,github.com/stevebob/prototty,https://github.com/stevebob/prototty,https://github.com/stevebob/prototty,2902090,prototty_storage,https://github.com/stevebob/prototty/tree/master/wasm-storage-js,git://github.com/stevebob/prototty.git
6553,scip,,https://github.com/sourcegraph/scip,2054448,sourcegraph.com/sourcegraph/scip,https://github.com/sourcegraph/scip,https://github.com/sourcegraph/scip,178467,@c4312/scip,,https://github.com/sourcegraph/scip/bindings/typescript
202375,napi-derive,,https://github.com/napi-rs/napi-rs,1558387,github.com/napi-rs/napi-rs,https://github.com/napi-rs/napi-rs,https://github.com/napi-rs/napi-rs,1177543,@vmg-anysphere/napi-rs-cli,https://github.com/napi-rs/napi-rs,git+https://github.com/napi-rs/napi-rs.git
31593,hotg-rune-cli,https://hotg.dev/,https://github.com/hotg-ai/rune,2029965,github.com/hotg-ai/rune,https://github.com/hotg-ai/rune,https://github.com/hotg-ai/rune,480758,@hotg-ai/rune-tflite,,https://github.com/hotg-ai/rune
7043,rtx-cli,https://rtx.jdx.dev,https://github.com/jdx/rtx,1961040,github.com/jdx/rtx,https://github.com/jdx/rtx,https://github.com/jdx/rtx,3119450,rtx-cli-linux-x64,https://github.com/jdx/rtx#readme,git+https://github.com/jdx/rtx.git
179534,biome_console,https://biomejs.dev/,https://github.com/biomejs/biome,1905332,github.com/biomejs/biome,https://github.com/biomejs/biome,https://github.com/biomejs/biome,3401134,the-super-blazing-fast-linter-and-formatter,https://biomejs.dev,git+https://github.com/biomejs/biome.git
113404,pravega-controller-client,,https://github.com/pravega/pravega-client-rust,1023373,github.com/pravega/pravega-client-rust/golang,https://github.com/pravega/pravega-client-rust,https://github.com/pravega/pravega-client-rust,1092254,@thekingofcity/pravega,https://github.com/pravega/pravega-client-rust#readme,git+https://github.com/pravega/pravega-client-rust.git
7389,tree-sitter-sourcepawn,,https://github.com/nilshelmig/tree-sitter-sourcepawn,1078887,github.com/nilshelmig/tree-sitter-sourcepawn,https://github.com/nilshelmig/tree-sitter-sourcepawn,https://github.com/nilshelmig/tree-sitter-sourcepawn,3443066,tree-sitter-sourcepawn,https://github.com/nilshelmig/tree-sitter-sourcepawn#readme,git+https://github.com/nilshelmig/tree-sitter-sourcepawn.git
134403,fdg-sim,,https://github.com/grantshandy/fdg/tree/main/fdg-sim,1587929,github.com/grantshandy/fdg,https://github.com/grantshandy/fdg,https://github.com/grantshandy/fdg,1936337,fdg-wasm,https://github.com/grantshandy/fdg#readme,git+https://github.com/grantshandy/fdg.git
132678,mpl-token-entangler,,https://github.com/metaplex-foundation/metaplex-program-library,1831588,github.com/metaplex-foundation/metaplex-program-library,https://github.com/metaplex-foundation/metaplex-program-library,https://github.com/metaplex-foundation/metaplex-program-library,3243380,solaplex1,https://metaplex.com,git+https://github.com/metaplex-foundation/metaplex-program-library.git
