Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/google/protobuf,2033,github.com/google/protobuf,https://github.com/google/protobuf,https://github.com/google/protobuf,612063,com.google.protobuf.nano:protobuf-javanano,https://developers.google.com/protocol-buffers/,https://github.com/google/protobuf,2072682,google-protocol-compiler,https://github.com/google/protobuf#readme,git+https://github.com/google/protobuf.git
github.com/antlr/antlr4,3051,github.com/antlr/antlr4,https://github.com/antlr/antlr4,https://github.com/antlr/antlr4,507823,com.tunnelvisionlabs:antlr4-master,http://www.antlr.org,https://github.com/antlr/antlr4/tree/master,1350895,antlr4-runtime,https://github.com/antlr/antlr4,git+https://github.com/antlr/antlr4.git
github.com/google/tink,98613,github.com/google/tink/go,https://github.com/google/tink,https://github.com/google/tink,612463,com.google.crypto.tink:parentpom,https://github.com/google/tink,https://github.com/google/tink.git,3416919,tink-crypto,https://github.com/google/tink#readme,git+https://github.com/google/tink.git
github.com/opencv/opencv,18312,github.com/opencv/opencv,https://github.com/opencv/opencv,https://github.com/opencv/opencv,644910,com.github.iwgang:opencvlibrary346,https://opencv.org/,https://github.com/opencv/opencv/tree/3.4.6,2779852,opencv_js_tests,https://github.com/opencv/opencv,git+https://github.com/opencv/opencv.git
github.com/yoheimuta/protolint,1957722,6github.com/yoheimuta/protolint,https://6github.com/yoheimuta/protolint.git,https://6github.com/yoheimuta/protolint.git,345104,io.github.yoheimuta:protoc-gen-protolint,https://github.com/yoheimuta/protolint,https://github.com/yoheimuta/protolint,2901812,protolint,https://github.com/yoheimuta/protolint#readme,git+https://github.com/yoheimuta/protolint.git
github.com/netflix/conductor,31541,github.com/netflix/conductor,https://github.com/netflix/conductor,https://github.com/netflix/conductor,562584,com.netflix.conductor:conductor-annotations,https://github.com/Netflix/conductor,https://github.com/Netflix/conductor,2656435,nf-workflow-ui-dev,https://github.com/Netflix/conductor#readme,git+ssh://git@github.com/Netflix/conductor.git
github.com/babel/babel,33604,github.com/babel/babel,https://github.com/babel/babel,https://github.com/babel/babel,139251,org.mvnpm.at.babel:cli,https://babel.dev/docs/en/next/babel-cli,https://github.com/babel/babel,3517625,utype_flyinox,https://github.com/babel/babel#readme,git+https://github.com/babel/babel.git
github.com/zalando/zally,49046,github.com/zalando/zally/cli/zally,https://github.com/zalando/zally,https://github.com/zalando/zally,33678,org.zalando:zally-core,https://github.com/zalando/zally,https://github.com/zalando/zally/tree/master,1248041,@zalando/zally-web-ui,https://github.com/zalando/zally/web-ui#readme,git+https://github.com/zalando/zally.git
github.com/nats-io/nats.js,66114,github.com/nats-io/nats.js,https://github.com/nats-io/nats.js,https://github.com/nats-io/nats.js,53180,org.webjars.npm:nats,https://www.webjars.org,https://github.com/nats-io/nats.js,3123338,runsa-nats,https://nats.io,git+ssh://git@github.com/nats-io/nats.js.git
github.com/xtermjs/xterm.js,69325,github.com/xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,137066,org.mvnpm.at.xterm:addon-fit,https://github.com/xtermjs/xterm.js/tree/master#readme,https://github.com/xtermjs/xterm.js.git#master,3686375,xterm-headless,https://github.com/xtermjs/xterm.js#readme,git+https://github.com/xtermjs/xterm.js.git
