Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
789087,github.com/tdewolff/minify/bindings/js,https://github.com/tdewolff/minify,https://github.com/tdewolff/minify,1163456,@vastblast/minify-test,https://github.com/tdewolff/minify#readme,git+https://github.com/tdewolff/minify.git,637176,tdewolff-minify,https://github.com/tdewolff/minify,https://github.com/tdewolff/minify
9491,github.com/grpc/grpc,https://github.com/grpc/grpc,https://github.com/grpc/grpc,1544178,cgrpc,http://www.grpc.io/,https://github.com/grpc/grpc.git,252944,grpcio-tools,https://grpc.io,https://github.com/grpc/grpc/tree/master/tools/distrib/python/grpcio_tools
972798,github.com/pulumi/pulumi/cmd/pulumi-test-language,https://github.com/pulumi/pulumi,https://github.com/pulumi/pulumi,884642,@pulumi/pulumi,https://github.com/pulumi/pulumi#readme,git+https://github.com/pulumi/pulumi.git,483585,pulumi,https://pypi.org/project/pulumi/,https://github.com/pulumi/pulumi
10611,github.com/getgauge/gauge,https://github.com/getgauge/gauge,https://github.com/getgauge/gauge,427774,@getgauge/gauge-cli,https://github.com/getgauge/gauge#readme,git+https://github.com/getgauge/gauge.git,238639,getgauge-cli,https://github.com/getgauge/gauge,https://github.com/getgauge/gauge
30320,github.com/anz-bank/sysl,https://github.com/anz-bank/sysl,https://github.com/anz-bank/sysl,83354,@anz-bank/sysl,,https://github.com/anz-bank/sysl,631468,sysl,https://github.com/anz-bank/sysl,https://github.com/anz-bank/sysl
652672,github.com/mongodb/mongodbatlas-cloudformation-resources/cfn-resources,https://github.com/mongodb/mongodbatlas-cloudformation-resources,https://github.com/mongodb/mongodbatlas-cloudformation-resources,731874,@mongodbatlas-awscdk/x509-authentication-database-user,https://github.com/mongodb/mongodbatlas-cloudformation-resources#readme,git+https://github.com/mongodb/mongodbatlas-cloudformation-resources.git,369580,mongodb-cdk-mongodb-cluster-project,https://github.com/mongodb/mongodbatlas-cloudformation-resources.git,https://github.com/mongodb/mongodbatlas-cloudformation-resources.git
161065,github.com/ory/sdk/clients/kratos/go,https://github.com/ory/sdk,https://github.com/ory/sdk,957211,@sacramentix/ory-client-fetch,https://github.com/ory/sdk#readme,git+https://github.com/ory/sdk.git,440795,ory-oathkeeper-client,https://github.com/ory/sdk,https://github.com/ory/sdk
108786,github.com/aliyun/tea-fileform/golang,https://github.com/aliyun/tea-fileform,https://github.com/aliyun/tea-fileform,54315,@alicloud/tea-fileform,https://github.com/aliyun/tea-fileform#readme,git+ssh://git@github.com/aliyun/tea-fileform.git,18765,alibabacloud-tea-fileform-py2,https://github.com/aliyun/tea-fileform/tree/master/python2,https://github.com/aliyun/tea-fileform/tree/master/python2
164664,github.com/openmined/psi,https://github.com/openmined/psi,https://github.com/openmined/psi,817974,@openmined/psi.js,https://github.com/OpenMined/PSI/tree/master#readme,git+https://github.com/OpenMined/PSI.git#master,436136,openmined-psi,https://github.com/OpenMined/PSI,https://github.com/OpenMined/PSI
190305,github.com/jaxxstorm/pulumi-scaleway/sdk,https://github.com/jaxxstorm/pulumi-scaleway,https://github.com/jaxxstorm/pulumi-scaleway,567882,@jaxxstorm/pulumi-scaleway,https://leebriggs.co.uk/projects#pulumi-scaleway,git+https://github.com/jaxxstorm/pulumi-scaleway.git,483791,pulumi-scaleway,https://leebriggs.co.uk/projects#pulumi-scaleway,https://github.com/jaxxstorm/pulumi-scaleway
210374,github.com/returntocorp/semgrep,https://github.com/returntocorp/semgrep,https://github.com/returntocorp/semgrep,979483,@semgrep/languages,,github.com/returntocorp/semgrep,630271,symgrep,https://github.com/returntocorp/semgrep,https://github.com/returntocorp/semgrep
293503,github.com/flyteorg/flyteidl,https://github.com/flyteorg/flyteidl,https://github.com/flyteorg/flyteidl,396912,@flyteorg/flyteidl,https://github.com/flyteorg/flyteidl#readme,git+ssh://git@github.com/flyteorg/flyteidl.git,337524,lyteidl,https://www.github.com/flyteorg/flyteidl,https://www.github.com/flyteorg/flyteidl
616930,github.com/oasisprotocol/oasis-sdk/cli,https://github.com/oasisprotocol/oasis-sdk,https://github.com/oasisprotocol/oasis-sdk,800216,@oasisprotocol/rofl-client,https://github.com/oasisprotocol/oasis-sdk/tree/main/rofl-client/ts,git+https://github.com/oasisprotocol/oasis-sdk.git,407333,oasis-rofl-client-rube,https://pypi.org/project/oasis-rofl-client-rube/,https://github.com/oasisprotocol/oasis-sdk/tree/main/rofl-client/py
317448,github.com/reach-sh/reach-lang,https://github.com/reach-sh/reach-lang,https://github.com/reach-sh/reach-lang,1222709,@xarmian/stdlib,https://github.com/reach-sh/reach-lang#readme,git+https://github.com/reach-sh/reach-lang.git,547766,reach-rpc-client,https://github.com/reach-sh/reach-lang/tree/master/rpc-client/py#reach-rpc-client,https://github.com/reach-sh/reach-lang/tree/master/rpc-client/py#reach-rpc-client
320055,github.com/dyne/zenroom,https://github.com/dyne/zenroom,https://github.com/dyne/zenroom,3726836,zenroom,https://dev.zenroom.org/#/pages/javascript,git+https://github.com/dyne/zenroom.git,721180,zenroom,https://github.com/dyne/Zenroom,https://github.com/dyne/Zenroom
456049,github.com/bitmex/api-connectors,https://github.com/bitmex/api-connectors,https://github.com/bitmex/api-connectors,1463245,bitmex-realtime-api-offix,https://github.com/BitMEX/api-connectors#readme,git+https://github.com/BitMEX/api-connectors.git,60981,bitmex,https://github.com/bitmex/api-Connectors,https://github.com/bitmex/api-Connectors
458450,github.com/trinsic-id/okapi/go,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,1116147,@trinsic/okapi-proto,https://github.com/trinsic-id/okapi#readme,git+https://github.com/trinsic-id/okapi.git,665099,trinsic-sdk,https://github.com/trinsic-id/okapi/,https://github.com/trinsic-id/okapi/
460078,github.com/requests/requests,https://github.com/requests/requests,https://github.com/requests/requests,887798,@pypi/requests,https://github.com/requests/requests#readme,git+https://github.com/requests/requests.git,554704,requests-threads,https://github.com/requests/requests/requests-threads,https://github.com/requests/requests/requests-threads
473371,github.com/metaprov/modelaapi,https://github.com/metaprov/modelaapi,https://github.com/metaprov/modelaapi,2554912,modelaapi,https://github.com/metaprov/modelaapi#readme,git+https://github.com/metaprov/modelaapi.git,367128,modelaapi,http://www.modela.ai,https://github.com/metaprov/modelaapi
491232,github.com/jfhbrook/pyee,https://github.com/jfhbrook/pyee,https://github.com/jfhbrook/pyee,1907623,exposed123,https://github.com/jfhbrook/pyee#readme,git+https://github.com/jfhbrook/pyee.git,496506,pyeecui,https://pypi.org/project/pyeecui/,https://github.com/jfhbrook/pyee
617335,github.com/withfig/autocomplete-tools/integrations/cobra,https://github.com/withfig/autocomplete-tools,https://github.com/withfig/autocomplete-tools,1655371,create-completion-spec,https://github.com/withfig/autocomplete-tools#readme,git+https://github.com/withfig/autocomplete-tools.git,211329,fig-click-completions,https://github.com/withfig/autocomplete-tools,https://github.com/withfig/autocomplete-tools
500081,github.com/bluebrain/brayns,https://github.com/bluebrain/brayns,https://github.com/bluebrain/brayns,1487566,brayns,https://github.com/BlueBrain/Brayns,git+https://github.com/BlueBrain/Brayns.git,69254,brayns,https://github.com/BlueBrain/Brayns,https://github.com/BlueBrain/Brayns
502928,github.com/ericsson/codechecker,https://github.com/ericsson/codechecker,https://github.com/ericsson/codechecker,1593098,codechecker-api-js,https://github.com/Ericsson/codechecker,git+https://github.com/Ericsson/codechecker.git,101182,codechecker-api-shared,https://github.com/Ericsson/codechecker,https://github.com/Ericsson/codechecker/tree/master/web/api
520854,github.com/chardet/chardet,https://github.com/chardet/chardet,https://github.com/chardet/chardet,887794,@pypi/chardet,https://github.com/chardet/chardet#readme,git+https://github.com/chardet/chardet.git,87541,chardet,https://github.com/chardet/chardet,https://github.com/chardet/chardet
539659,github.com/honeycombio/terraform-provider-honeycombio,https://github.com/honeycombio/terraform-provider-honeycombio,https://github.com/honeycombio/terraform-provider-honeycombio,689148,@materializeinc/pulumi-honeycomb,https://github.com/honeycombio/terraform-provider-honeycombio,git+https://github.com/honeycombio/terraform-provider-honeycombio.git,483701,pulumi-honeycomb,https://github.com/honeycombio/terraform-provider-honeycombio,https://github.com/honeycombio/terraform-provider-honeycombio
638647,github.com/pulumi/pulumi-command/provider,https://github.com/pulumi/pulumi-command,https://github.com/pulumi/pulumi-command,884568,@pulumi/command,https://pulumi.com,git+https://github.com/pulumi/pulumi-command.git,483640,pulumi-command,https://pypi.org/project/pulumi-command/,https://github.com/pulumi/pulumi-command
561056,github.com/materializeinc/pulumi-docker-buildkit,https://github.com/materializeinc/pulumi-docker-buildkit,https://github.com/materializeinc/pulumi-docker-buildkit,689147,@materializeinc/pulumi-docker-buildkit,https://github.com/MaterializeInc/pulumi-docker-buildkit#readme,git+https://github.com/MaterializeInc/pulumi-docker-buildkit.git,483662,pulumi-docker-buildkit,https://pypi.org/project/pulumi-docker-buildkit/,https://github.com/MaterializeInc/pulumi-docker-buildkit
1085529,github.com/ydkn/pulumi-k0s/tests,https://github.com/ydkn/pulumi-k0s,https://github.com/ydkn/pulumi-k0s,1237328,@ydkn/pulumi-k0s,https://github.com/ydkn/pulumi-k0s,git+https://github.com/ydkn/pulumi-k0s.git,483707,pulumi-k0s,https://github.com/ydkn/pulumi-k0s,https://github.com/ydkn/pulumi-k0s
623701,github.com/stef/libopaque,https://github.com/stef/libopaque,https://github.com/stef/libopaque,2405423,libopaque,https://github.com/stef/libopaque/tree/master/js,https://github.com/stef/libopaque/tree/master/js,433500,opaque,https://github.com/stef/libopaque,https://github.com/stef/libopaque
588022,github.com/grapl-security/pulumi-hcp/sdk,https://github.com/grapl-security/pulumi-hcp,https://github.com/grapl-security/pulumi-hcp,444997,@grapl/pulumi-hcp,https://pulumi.io,git+https://github.com/grapl-security/pulumi-hcp.git,483700,pulumi-hcp,https://pulumi.io,https://github.com/grapl-security/pulumi-hcp
591079,github.com/chadbohannan/application-layer-network/go/aln,https://github.com/chadbohannan/application-layer-network,https://github.com/chadbohannan/application-layer-network,1323841,aln-nodejs,https://github.com/chadbohannan/application-layer-network#readme,git+https://github.com/chadbohannan/application-layer-network.git,20352,alnmeshpy,https://pypi.org/project/alnmeshpy/,https://github.com/chadbohannan/application-layer-network
609766,github.com/serverless-devs/serverless-devs,https://github.com/serverless-devs/serverless-devs,https://github.com/serverless-devs/serverless-devs,1229548,@xsahxl/s,https://www.serverless-devs.com,git+https://github.com/Serverless-Devs/Serverless-Devs.git,585065,serverless-devs,https://github.com/Serverless-Devs/Serverless-Devs,https://github.com/Serverless-Devs/Serverless-Devs
613673,github.com/cuemby/pulumi-ct,https://github.com/cuemby/pulumi-ct,https://github.com/cuemby/pulumi-ct,258524,@cuemby/ct,https://www.cuemby.com,git+https://github.com/cuemby/pulumi-ct.git,483649,pulumi-ct,https://www.cuemby.com,https://github.com/cuemby/pulumi-ct
2130354,github.com/grapl-security/pulumi-buildkite/provider,https://github.com/grapl-security/pulumi-buildkite,https://github.com/grapl-security/pulumi-buildkite,444996,@grapl/pulumi-buildkite,https://pulumi.io,git+https://github.com/grapl-security/pulumi-buildkite.git,483628,pulumi-buildkite,https://pulumi.io,https://github.com/grapl-security/pulumi-buildkite
626682,github.com/pulumi/pulumi-aws-static-website,https://github.com/pulumi/pulumi-aws-static-website,https://github.com/pulumi/pulumi-aws-static-website,884544,@pulumi/aws-static-website,https://pulumi.com,git+https://github.com/pulumi/pulumi-aws-static-website.git,483614,pulumi-aws-static-website,https://pulumi.com,https://github.com/pulumi/pulumi-aws-static-website
659347,github.com/oasisprotocol/sapphire-paratime/clients/go,https://github.com/oasisprotocol/sapphire-paratime,https://github.com/oasisprotocol/sapphire-paratime,800223,@oasisprotocol/sapphire-wagmi-v2,https://github.com/oasisprotocol/sapphire-paratime/tree/main/integrations/wagmi-v2,git+https://github.com/oasisprotocol/sapphire-paratime.git,407334,oasis-sapphire-py,https://github.com/oasisprotocol/sapphire-paratime,https://github.com/oasisprotocol/sapphire-paratime
639366,github.com/chia-network/bls-signatures,https://github.com/chia-network/bls-signatures,https://github.com/chia-network/bls-signatures,1470967,bls-signatures,https://github.com/Chia-Network/bls-signatures/tree/master/js-bindings,git+ssh://git@github.com/Chia-Network/bls-signatures.git,63209,blspy,https://github.com/Chia-Network/bls-signatures,https://github.com/Chia-Network/bls-signatures
639683,github.com/asciinema/asciinema-player,https://github.com/asciinema/asciinema-player,https://github.com/asciinema/asciinema-player,1379119,asciinema-player,https://github.com/asciinema/asciinema-player,git+https://github.com/asciinema/asciinema-player.git,712789,XStatic-asciinema-player,https://github.com/asciinema/asciinema-player,https://github.com/asciinema/asciinema-player
651011,github.com/awslabs/cdk-serverless-clamscan,https://github.com/awslabs/cdk-serverless-clamscan,https://github.com/awslabs/cdk-serverless-clamscan,2568549,monocdk-serverless-clamscan,https://github.com/awslabs/cdk-serverless-clamscan#readme,git+https://github.com/awslabs/cdk-serverless-clamscan.git,370295,monocdk-serverless-clamscan,https://github.com/awslabs/cdk-serverless-clamscan,https://github.com/awslabs/cdk-serverless-clamscan
1084774,github.com/pulumiverse/pulumi-scaleway/examples/go/server,https://github.com/pulumiverse/pulumi-scaleway,https://github.com/pulumiverse/pulumi-scaleway,884702,@pulumiverse/scaleway,https://www.scaleway.com,git+https://github.com/pulumiverse/pulumi-scaleway.git,483861,pulumiverse-scaleway,https://pypi.org/project/pulumiverse-scaleway/,https://github.com/pulumiverse/pulumi-scaleway
689821,github.com/tencentcloudstack/pulumi-tencentcloud/sdk,https://github.com/tencentcloudstack/pulumi-tencentcloud,https://github.com/tencentcloudstack/pulumi-tencentcloud,1084165,@tencentcloud_iac/pulumi,https://www.pulumi.com,git+https://github.com/tencentcloudstack/pulumi-tencentcloud.git,639706,tencentcloud-iac-pulumi,https://www.pulumi.com,https://github.com/tencentcloudstack/pulumi-tencentcloud
