Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/jekyll/jekyll,141284,github.com/jekyll/jekyll,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll,2273144,jekyll,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll.git,80260,jekyll,https://jekyllrb.com,https://github.com/jekyll/jekyll
github.com/rethinkdb/rethinkdb,179607,github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,3084237,rethinkdb,https://rethinkdb.com,git+https://github.com/rethinkdb/rethinkdb.git,137504,rethinkdb,https://rethinkdb.com,http://github.com/rethinkdb/rethinkdb
github.com/asciidoctor/asciidoctor,314020,github.com/asciidoctor/asciidoctor,https://github.com/asciidoctor/asciidoctor,https://github.com/asciidoctor/asciidoctor,3742891,zsh-asciidoctor,https://github.com/asciidoctor/asciidoctor,,9450,asciidoctor,https://asciidoctor.org,https://github.com/asciidoctor/asciidoctor
github.com/hotwired/turbo-rails,776309,github.com/hotwired/turbo-rails,https://github.com/hotwired/turbo-rails,https://github.com/hotwired/turbo-rails,3461157,turbo-rails-edge,https://github.com/hotwired/turbo-rails,git+https://github.com/hotwired/turbo-rails.git,174479,turbo-rails,https://github.com/hotwired/turbo-rails,https://github.com/hotwired/turbo-rails
github.com/spree/spree,811390,github.com/spree/spree,https://github.com/spree/spree,https://github.com/spree/spree,1800778,dummy-test-core,https://spreecommerce.org/,https://github.com/spree/spree.git,160149,spree_storefront,https://getvendo.com,https://github.com/spree/spree/tree/v5.2.6
github.com/reactjs/react-rails,812962,github.com/reactjs/react-rails,https://github.com/reactjs/react-rails,https://github.com/reactjs/react-rails,3046950,react_ujs,https://github.com/reactjs/react-rails#readme,git+https://github.com/reactjs/react-rails.git,133889,react-rails,https://github.com/reactjs/react-rails,https://github.com/reactjs/react-rails
github.com/rmosolgo/graphql-ruby,813906,github.com/rmosolgo/graphql-ruby,https://github.com/rmosolgo/graphql-ruby,https://github.com/rmosolgo/graphql-ruby,2081054,graphql-ruby-client,https://github.com/rmosolgo/graphql-ruby#readme,git+https://github.com/rmosolgo/graphql-ruby.git,66657,graphql-c_parser,https://graphql-ruby.org,https://github.com/rmosolgo/graphql-ruby
github.com/hatchet-dev/hatchet,827553,github.com/hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,461122,@hatchet-dev/typescript-sdk,https://github.com/hatchet-dev/hatchet#readme,git+https://github.com/hatchet-dev/hatchet.git,69954,hatchet-sdk,https://hatchet.run,https://github.com/hatchet-dev/hatchet/tree/main/sdks/ruby
github.com/bethesque/pact-mock_service,871021,github.com/bethesque/pact-mock_service,https://github.com/bethesque/pact-mock_service,https://github.com/bethesque/pact-mock_service,2802837,pact-mock-service-win32,https://github.com/bethesque/pact-mock-service-npm,git+https://github.com/bethesque/pact-mock_service.git,116857,pact-mock_service,https://github.com/bethesque/pact-mock_service,https://github.com/bethesque/pact-mock_service
github.com/jaxgeller/libmarkov,1038093,github.com/jaxgeller/libmarkov,https://github.com/jaxgeller/libmarkov,https://github.com/jaxgeller/libmarkov,2405302,libmarkov,https://github.com/jaxgeller/libmarkov,git+https://github.com/jaxgeller/libmarkov.git,90136,libmarkov,https://github.com/jaxgeller/libmarkov,https://github.com/jaxgeller/libmarkov
github.com/crowdin/crowdin-cli,1143297,github.com/crowdin/crowdin-cli,https://github.com/crowdin/crowdin-cli,https://github.com/crowdin/crowdin-cli,254376,@crowdin/cli,https://crowdin.github.io/crowdin-cli,git+https://github.com/crowdin/crowdin-cli.git,33565,crowdin-cli,https://github.com/crowdin/crowdin-cli/,https://github.com/crowdin/crowdin-cli/
github.com/bridgetownrb/bridgetown-lit-renderer,1567715,github.com/bridgetownrb/bridgetown-lit-renderer,https://github.com/bridgetownrb/bridgetown-lit-renderer,https://github.com/bridgetownrb/bridgetown-lit-renderer,1489210,bridgetown-lit-renderer,https://www.bridgetownrb.com,git+https://github.com/bridgetownrb/bridgetown-lit-renderer.git,19362,bridgetown-lit-renderer,https://github.com/bridgetownrb/bridgetown-lit-renderer,https://github.com/bridgetownrb/bridgetown-lit-renderer
github.com/jnunemaker/flipper,1578638,github.com/jnunemaker/flipper,https://github.com/jnunemaker/flipper,https://github.com/jnunemaker/flipper,392990,@flippercloud.io/expressions,https://github.com/jnunemaker/flipper#readme,git+https://github.com/jnunemaker/flipper.git,55202,flipper-cache-store,https://github.com/jnunemaker/flipper,https://github.com/jnunemaker/flipper
github.com/shakacode/shakapacker,1579682,github.com/shakacode/shakapacker,https://github.com/shakacode/shakapacker,https://github.com/shakacode/shakapacker,3185739,shakapacker,https://github.com/shakacode/shakapacker,git+https://github.com/shakacode/shakapacker.git,151552,shakapacker,https://github.com/shakacode/shakapacker,https://github.com/shakacode/shakapacker/tree/v9.5.0
github.com/message-db/message-db,1581581,github.com/message-db/message-db,https://github.com/message-db/message-db,https://github.com/message-db/message-db,359938,@eventide/message-db,https://github.com/message-db/message-db,,98996,message-db,https://github.com/message-db/message-db,https://github.com/message-db/message-db
github.com/nathanvda/cocoon,1582320,github.com/nathanvda/cocoon,https://github.com/nathanvda/cocoon,https://github.com/nathanvda/cocoon,1589281,cocoon-rails,https://github.com/nathanvda/cocoon#readme,git+https://github.com/nathanvda/cocoon.git,29060,cocoon,http://github.com/nathanvda/cocoon,http://github.com/nathanvda/cocoon
github.com/elmassimo/vite_ruby,1583872,github.com/elmassimo/vite_ruby,https://github.com/elmassimo/vite_ruby,https://github.com/elmassimo/vite_ruby,3552471,vite-plugin-ruby,https://github.com/ElMassimo/vite_ruby/blob/main/vite-plugin-ruby,git+https://github.com/ElMassimo/vite_ruby.git,180283,vite_ruby-roda,https://rubygems.org/gems/vite_ruby-roda,https://github.com/ElMassimo/vite_ruby/tree/vite_ruby@3.9.2.3/vite_ruby
github.com/terkel/mathsass,1584647,github.com/terkel/mathsass,https://github.com/terkel/mathsass,https://github.com/terkel/mathsass,2495817,mathsass,https://github.com/terkel/mathsass,git://github.com/terkel/mathsass.git,97272,MathSass,https://github.com/terkel/mathsass,https://github.com/terkel/mathsass
github.com/opal/opal,1589381,github.com/opal/opal,https://github.com/opal/opal,https://github.com/opal/opal,811912,@opal/stdlib,https://github.com/opal/opal#readme,git+https://github.com/opal/opal.git,114445,opal,https://opalrb.com/,https://github.com/opal/opal
github.com/netzpirat/haml-coffee,1592280,github.com/netzpirat/haml-coffee,https://github.com/netzpirat/haml-coffee,https://github.com/netzpirat/haml-coffee,2118694,haml-coffee,,git://github.com/netzpirat/haml-coffee.git,68729,haml-coffee-source,https://github.com/netzpirat/haml-coffee/,https://github.com/netzpirat/haml-coffee/
github.com/sstephenson/eco,1592716,github.com/sstephenson/eco,https://github.com/sstephenson/eco,https://github.com/sstephenson/eco,3047664,reactive-eco,https://github.com/sstephenson/eco,http://github.com/sstephenson/eco.git,44903,eco-source,https://github.com/sstephenson/eco/,https://github.com/sstephenson/eco/
github.com/danielguillan/bem-constructor,1599612,github.com/danielguillan/bem-constructor,https://github.com/danielguillan/bem-constructor,https://github.com/danielguillan/bem-constructor,3145412,sass-bem-constructor,https://github.com/danielguillan/bem-constructor,git+https://github.com/danielguillan/bem-constructor.git,15058,bem-constructor,https://github.com/danielguillan/bem-constructor,https://github.com/danielguillan/bem-constructor
github.com/inertiajs/inertia-rails,1609827,github.com/inertiajs/inertia-rails,https://github.com/inertiajs/inertia-rails,https://github.com/inertiajs/inertia-rails,78592,@anjolovic/inertia-rails-mcp,https://github.com/inertiajs/inertia-rails/tree/master/mcp,git+https://github.com/inertiajs/inertia-rails.git,76652,inertia_rails,https://github.com/inertiajs/inertia-rails,https://github.com/inertiajs/inertia-rails
github.com/jhawthorn/fzy.js,1610462,github.com/jhawthorn/fzy.js,https://github.com/jhawthorn/fzy.js,https://github.com/jhawthorn/fzy.js,2003868,fzy.js,http://github.com/jhawthorn/fzy.js,git://github.com/jhawthorn/fzy.js.git,59437,fzy,https://github.com/jhawthorn/fzy.js,https://github.com/jhawthorn/fzy.js
github.com/prettier/plugin-ruby,1612191,github.com/prettier/plugin-ruby,https://github.com/prettier/plugin-ruby,https://github.com/prettier/plugin-ruby,1408072,awesomecode-plugin-ruby,https://github.com/prettier/plugin-ruby#readme,git+https://github.com/prettier/plugin-ruby.git,123937,prettier,https://github.com/prettier/plugin-ruby#readme,https://github.com/prettier/plugin-ruby#readme
github.com/refile/refile,1612664,github.com/refile/refile,https://github.com/refile/refile,https://github.com/refile/refile,3391287,testing-refile-tristanoneil,https://github.com/refile/refile#readme,git+https://github.com/refile/refile.git,135305,refile,https://github.com/refile/refile,https://github.com/refile/refile
github.com/cotes2020/jekyll-theme-chirpy,1619975,github.com/cotes2020/jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy,2273265,jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy#readme,git+https://github.com/cotes2020/jekyll-theme-chirpy.git,81420,jekyll-theme-chirpy-customized-by-alazaroc,https://cotes2020.github.io/chirpy-demo,https://github.com/cotes2020/jekyll-theme-chirpy
