Normalized_URL,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/mottie/keyboard,68548,org.webjars.bower:github-com-Mottie-Keyboard,http://webjars.org,https://github.com/Mottie/Keyboard,3547058,virtual-keyboard,https://github.com/Mottie/Keyboard,git://github.com/Mottie/keyboard.git,251368,mottie/keyboard,,https://github.com/mottie/keyboard
github.com/videojs/video.js,67729,org.webjars.bower:github-com-videojs-video-js,http://webjars.org,https://github.com/videojs/video.js,3706561,yojiang-video.js,https://videojs.com,git+https://github.com/videojs/video.js.git,397931,videojs/video.js,,https://github.com/videojs/video.js
github.com/ttskch/select2-bootstrap4-theme,56707,org.webjars.npm:github-com-ttskch-select2-bootstrap4-theme,http://webjars.org,https://github.com/ttskch/select2-bootstrap4-theme,1122979,@ttskch/select2-bootstrap4-theme,https://github.com/ttskch/select2-bootstrap4-theme#readme,git+ssh://git@github.com/ttskch/select2-bootstrap4-theme.git,387571,ttskch/select2-bootstrap4-theme,,https://github.com/ttskch/select2-bootstrap4-theme
github.com/orchidjs/tom-select,133665,org.mvnpm:tom-select,https://tom-select.js.org,https://github.com/orchidjs/tom-select,3638672,whitedigital-eu-tom-select,https://tom-select.js.org,git+https://github.com/orchidjs/tom-select.git,279082,orchidjs/tom-select,,https://github.com/orchidjs/tom-select
github.com/todc/todc-bootstrap,66397,org.webjars.bower:todc-bootstrap,http://webjars.org,https://github.com/todc/todc-bootstrap,3425901,todc-bootstrap,https://todc.github.com/todc-bootstrap/,git+https://github.com/todc/todc-bootstrap.git,382179,todc/todc-bootstrap,,https://github.com/todc/todc-bootstrap
github.com/mklkj/tinymce-i18n,48902,org.webjars.npm:tinymce-i18n,https://www.webjars.org,https://github.com/mklkj/tinymce-i18n,3419269,tinymce-i18n,https://github.com/mklkj/tinymce-i18n,git+https://github.com/mklkj/tinymce-i18n.git,246633,mklkj/tinymce-i18n,,https://github.com/mklkj/tinymce-i18n
github.com/jonthornton/jquery-timepicker,67400,org.webjars.bower:jquery-timepicker-jt,http://webjars.org,https://github.com/jonthornton/jquery-timepicker,3415488,timepicker-pk,http://jonthornton.github.com/jquery-timepicker/,git+https://github.com/jonthornton/jquery-timepicker.git,187205,jonthornton/jquery-timepicker,,https://github.com/jonthornton/jquery-timepicker
github.com/tempusdominus/core,67783,org.webjars.bower:github-com-tempusdominus-core,http://webjars.org,https://github.com/tempusdominus/core,3367687,tempusdominus-core-tbk,https://github.com/tempusdominus/core,git+https://github.com/tempusdominus/core.git,373334,tempusdominus/core,,https://github.com/tempusdominus/core
github.com/tempusdominus/bootstrap-4,67784,org.webjars.bower:github-com-tempusdominus-bootstrap-4,http://webjars.org,https://github.com/tempusdominus/bootstrap-4,3367684,tempusdominus-bootstrap-4_sdi,https://tempusdominus.github.io/bootstrap-4/,git+https://github.com/tempusdominus/bootstrap-4.git,373333,tempusdominus/bootstrap-4,,https://github.com/tempusdominus/bootstrap-4
github.com/tonix-tuft/tempusdominus-bootstrap,49059,org.webjars.npm:tempusdominus-bootstrap,https://www.webjars.org,https://github.com/tonix-tuft/tempusdominus-bootstrap,3367681,tempusdominus-bootstrap,https://github.com/tonix-tuft/tempusdominus-bootstrap#readme,git+https://github.com/tonix-tuft/tempusdominus-bootstrap.git,383523,tonix-tuft/tempusdominus-bootstrap,,https://github.com/tonix-tuft/tempusdominus-bootstrap
github.com/simple-icons/simple-icons,49932,org.webjars.npm:simple-icons,https://www.webjars.org,https://github.com/simple-icons/simple-icons,3206462,simple-icons,https://simpleicons.org,git+ssh://git@github.com/simple-icons/simple-icons.git,342706,simple-icons/simple-icons,,https://github.com/simple-icons/simple-icons
github.com/semantic-org/semantic-ui,134056,org.mvnpm:semantic-ui,http://www.semantic-ui.com,git://github.com/Semantic-Org/Semantic-UI,3235908,sn-semantic-ui,http://www.semantic-ui.com,git://github.com/Semantic-Org/Semantic-UI.git,334708,semantic/ui,,https://github.com/Semantic-Org/Semantic-UI
github.com/const-se/selectize-bootstrap4-theme,50150,org.webjars.npm:selectize-bootstrap4-theme,http://webjars.org,https://github.com/const-se/selectize-bootstrap4-theme,3167398,selectize-bootstrap4-theme,https://github.com/const-se/selectize-bootstrap4-theme#readme,git+https://github.com/const-se/selectize-bootstrap4-theme.git,73569,const-se/selectize-bootstrap4-theme,,https://github.com/const-se/selectize-bootstrap4-theme
github.com/apalfrey/select2-bootstrap-5-theme,134060,org.mvnpm:select2-bootstrap-5-theme,https://github.com/apalfrey/select2-bootstrap-5-theme#readme,https://github.com/apalfrey/select2-bootstrap-5-theme,3167110,select2-bootstrap-5-theme,https://github.com/apalfrey/select2-bootstrap-5-theme#readme,git+https://github.com/apalfrey/select2-bootstrap-5-theme.git,23527,apalfrey/select2-bootstrap-5-theme,,https://github.com/apalfrey/select2-bootstrap-5-theme
github.com/select2/select2,134061,org.mvnpm:select2,https://select2.org,git://github.com/select2/select2,3242452,sog-select2,https://select2.org,git://github.com/select2/select2.git,334407,select2/select2,,https://github.com/select2/select2
github.com/prismjs/prism,134507,org.mvnpm:prismjs,https://github.com/PrismJS/prism#readme,https://github.com/PrismJS/prism,2888200,prismjs-twilight-theme,https://github.com/PrismJS/prism#readme,git+https://github.com/PrismJS/prism.git,303001,prismjs/prism,,https://github.com/PrismJS/prism
github.com/nicolaskruchten/pivottable,67999,org.webjars.bower:github-com-nicolaskruchten-pivottable,http://webjars.org,https://github.com/nicolaskruchten/pivottable,2847626,pivottable,https://github.com/nicolaskruchten/pivottable,git://github.com/nicolaskruchten/pivottable.git,265710,nicolaskruchten/pivottable,,https://github.com/nicolaskruchten/pivottable
github.com/scottjehl/picturefill,66789,org.webjars.bower:picturefill,http://webjars.org,https://github.com/scottjehl/picturefill,2841656,picturefill,https://scottjehl.github.io/picturefill/,git+ssh://git@github.com/scottjehl/picturefill.git,332573,scottjehl/picturefill,,https://github.com/scottjehl/picturefill
github.com/picocss/pico,138130,org.mvnpm.at.picocss:pico,https://picocss.com,https://github.com/picocss/pico,3611557,wd-pico,https://picocss.com,git+https://github.com/picocss/pico.git,295783,picocss/pico,,https://github.com/picocss/pico
github.com/kartik-v/php-date-formatter,66794,org.webjars.bower:php-date-formatter,http://webjars.org,https://github.com/kartik-v/php-date-formatter,2839159,php-date-formatter,https://github.com/kartik-v/php-date-formatter,git+https://github.com/kartik-v/php-date-formatter.git,194048,kartik-v/php-date-formatter,,https://github.com/kartik-v/php-date-formatter
github.com/benpickles/peity,65893,org.webjars.bowergithub.benpickles:peity,https://www.webjars.org,https://github.com/benpickles/peity,2828253,peity,https://github.com/benpickles/peity,git+https://github.com/benpickles/peity.git,41785,benpickles/peity,,https://github.com/benpickles/peity
github.com/pdfmake/pdfmake,66804,org.webjars.bower:pdfmake-dist,http://webjars.org,https://github.com/pdfmake/pdfmake,2825640,pdfmake-node,http://pdfmake.github.io,git://github.com/pdfmake/pdfmake.git,287261,pdfmake/pdfmake,,https://github.com/pdfmake/pdfmake
github.com/pfefferle/openwebicons,52539,org.webjars.npm:openwebicons,http://webjars.org,https://github.com/pfefferle/openwebicons,2781860,openwebicons,http://pfefferle.github.io/openwebicons/,git+https://github.com/pfefferle/openwebicons.git,289574,pfefferle/openwebicons,,https://github.com/pfefferle/openwebicons
github.com/viglino/ol-ext,52645,org.webjars.npm:ol-ext,https://www.webjars.org,https://github.com/Viglino/ol-ext,3374388,test-ext,"https://github.com/Viglino/ol-ext#,",git+https://github.com/Viglino/ol-ext.git,398152,viglino/ol-ext,,https://github.com/Viglino/ol-ext
github.com/leongersen/nouislider,134853,org.mvnpm:nouislider,https://github.com/leongersen/noUiSlider#readme,git://github.com/leongersen/noUiSlider,3433384,tortway-nouislider,https://github.com/leongersen/noUiSlider#readme,git://github.com/leongersen/noUiSlider.git,212540,leongersen/nouislider,,https://github.com/leongersen/noUiSlider
github.com/mathjax/mathjax,135134,org.mvnpm:mathjax,https://github.com/mathjax/MathJax#readme,git://github.com/mathjax/MathJax,2495680,mathoid-mathjax,https://github.com/mathjax/MathJax#readme,git://github.com/mathjax/MathJax.git,234084,mathjax/mathjax,,https://github.com/mathjax/MathJax
github.com/desandro/masonry,135151,org.mvnpm:masonry-layout,https://masonry.desandro.com,git://github.com/desandro/masonry,2490460,masonry.js,https://github.com/desandro/masonry,git://github.com/desandro/masonry.git,90129,desandro/masonry,,https://github.com/desandro/masonry
github.com/dimsemenov/magnific-popup,67184,org.webjars.bower:magnific-popup,http://webjars.org,https://github.com/dimsemenov/Magnific-Popup,2470254,magnific-popup,http://dimsemenov.com/plugins/magnific-popup/,git+https://github.com/dimsemenov/Magnific-Popup.git,95804,dimsemenov/magnific-popup,,https://github.com/dimsemenov/Magnific-Popup
github.com/vakata/jstree,135381,org.mvnpm:jstree,http://jstree.com,git://github.com/vakata/jstree,2312584,jstree-patch,http://jstree.com,git://github.com/vakata/jstree.git,394407,vakata/jstree,,https://github.com/vakata/jstree
github.com/brinley/jsignature,54994,org.webjars.npm:jsignature,http://webjars.org,https://github.com/brinley/jSignature,2303742,jsignature,https://github.com/brinley/jSignature,git+https://github.com/brinley/jSignature.git,51811,brinley/jsignature,,https://github.com/brinley/jSignature
github.com/maxazan/jquery-treegrid,67395,org.webjars.bower:jquery-treegrid,http://webjars.org,https://github.com/maxazan/jquery-treegrid,2295096,jquery-treegrid-webpack,https://github.com/maxazan/jquery-treegrid,git+https://github.com/maxazan/jquery-treegrid.git,235367,maxazan/jquery-treegrid,,https://github.com/maxazan/jquery-treegrid
github.com/happyworm/jplayer,68178,org.webjars.bower:github-com-happyworm-jPlayer,http://webjars.org,https://github.com/happyworm/jPlayer,2292954,jplayer,http://jplayer.org/,https://github.com/happyworm/jPlayer.git,150424,happyworm/jplayer,,https://github.com/happyworm/jPlayer
github.com/jasny/bootstrap,67502,org.webjars.bower:jasny-bootstrap,http://webjars.org,https://github.com/jasny/bootstrap,2267768,jasny-bootstrap,http://jasny.github.io/bootstrap,git+https://github.com/jasny/bootstrap.git,179304,jasny/bootstrap,,https://github.com/jasny/bootstrap
github.com/mistic100/jquery-querybuilder,135515,org.mvnpm:jQuery-QueryBuilder,https://querybuilder.js.org,git://github.com/mistic100/jQuery-QueryBuilder,2262300,jQuery-QueryBuilder,https://querybuilder.js.org,git://github.com/mistic100/jQuery-QueryBuilder.git,245772,mistic100/jquery-querybuilder,,https://github.com/mistic100/jQuery-QueryBuilder
github.com/andr-04/inputmask-multi,67580,org.webjars.bower:inputmask-multi,http://webjars.org,https://github.com/andr-04/inputmask-multi,2227775,inputmask-multi,https://github.com/andr-04/inputmask-multi,git+https://github.com/andr-04/inputmask-multi.git,19866,andr-04/jquery.inputmask-multi,,https://github.com/andr-04/inputmask-multi
