Normalized_URL,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/facebook/react,136924,org.mvnpm:babel-plugin-react-compiler,https://github.com/facebook/react#readme,https://github.com/facebook/react,3510809,use-sync-external-store,https://github.com/facebook/react#readme,git+https://github.com/facebook/react.git,133911,react-source-fb-cloned,https://github.com/facebook/react,https://github.com/facebook/react
github.com/codeseven/toastr,133670,org.mvnpm:toastr,http://www.toastrjs.com,git://github.com/CodeSeven/toastr,3425295,toastr,http://www.toastrjs.com,git://github.com/CodeSeven/toastr.git,171496,toastr-rails,https://github.com/CodeSeven/toastr,https://github.com/CodeSeven/toastr
github.com/shopify/quilt,50001,org.webjars.npm:shopify__react-compose,http://webjars.org,https://github.com/Shopify/quilt,3194943,shopify-polyfills-beta,https://github.com/Shopify/quilt/blob/master/packages/polyfills/README.md,git+https://github.com/Shopify/quilt.git,127595,quilt_rails,https://github.com/Shopify/quilt/tree/main/gems/quilt_rails,https://github.com/Shopify/quilt/tree/main/gems/quilt_rails
github.com/shopify/polaris-tokens,50002,org.webjars.npm:shopify__polaris-tokens,http://webjars.org,https://github.com/Shopify/polaris-tokens,3311454,superui-tokens,https://github.com/Shopify/polaris-tokens#readme,git+https://github.com/Shopify/polaris-tokens.git,122504,polaris_tokens,https://github.com/Shopify/polaris-tokens#readme,https://github.com/Shopify/polaris-tokens#readme
github.com/louisbarranqueiro/reapop,50792,org.webjars.npm:reapop,http://webjars.org,https://github.com/LouisBarranqueiro/reapop,3052329,reapop,https://github.com/LouisBarranqueiro/reapop#readme,git+https://LouisBarranqueiro@github.com/LouisBarranqueiro/reapop.git,134120,reapop-rails,https://github.com/LouisBarranqueiro/reapop,https://github.com/LouisBarranqueiro/reapop
github.com/rails/rails,51455,org.webjars.npm:rails-ujs,https://www.webjars.org,https://github.com/rails/rails,3546564,vipul_actioncable,http://rubyonrails.org/,https://github.com/rails/rails,131713,railties,https://rubyonrails.org,https://github.com/rails/rails/tree/v8.1.2/railties
github.com/johnalbin/normalize-scss,66920,org.webjars.bower:normalize.scss,http://webjars.org,https://github.com/JohnAlbin/normalize-scss,2719505,normalize-scss,https://github.com/JohnAlbin/normalize-scss,git+https://github.com/JohnAlbin/normalize-scss.git,110110,normalize-scss,https://github.com/JohnAlbin/normalize-scss,https://github.com/JohnAlbin/normalize-scss
github.com/basecamp/local_time,57718,org.webjars.npm:github-com-basecamp-local_time,https://www.webjars.org,https://github.com/basecamp/local_time,2434461,local-time,https://github.com/basecamp/local_time,git+https://github.com/basecamp/local_time.git,92355,local_time,https://github.com/basecamp/local_time,https://github.com/basecamp/local_time
github.com/perliedman/leaflet-control-geocoder,67959,org.webjars.bower:github-com-perliedman-leaflet-control-geocoder,http://webjars.org,https://github.com/perliedman/leaflet-control-geocoder,2390289,leaflet-control-geocoder,https://github.com/perliedman/leaflet-control-geocoder#readme,git://github.com/perliedman/leaflet-control-geocoder.git,89282,leaflet-control-geocoder-rails,https://github.com/perliedman/leaflet-control-geocoder,https://github.com/perliedman/leaflet-control-geocoder
github.com/zurb/tribute,133649,org.mvnpm:tributejs,https://github.com/zurb/tribute#readme,git://github.com/zurb/tribute,3445043,tributejshf,https://github.com/zurb/tribute#readme,git://github.com/zurb/tribute.git,173600,tribute,https://github.com/zurb/tribute,https://github.com/zurb/tribute
github.com/blueimp/javascript-templates,69139,org.webjars.bower:blueimp-tmpl,http://webjars.org,https://github.com/blueimp/JavaScript-Templates,1471760,blueimp-tmpl,https://github.com/blueimp/JavaScript-Templates,git://github.com/blueimp/JavaScript-Templates.git,17485,blueimp-templates-rails,https://github.com/blueimp/JavaScript-Templates,https://github.com/blueimp/JavaScript-Templates
github.com/fezvrasta/bootstrap-material-design,69095,org.webjars.bower:bootstrap-material-design,http://webjars.org,https://github.com/FezVrasta/bootstrap-material-design,3599352,wade-bootstrap-material-design,https://github.com/FezVrasta/bootstrap-material-design,git+https://github.com/FezVrasta/bootstrap-material-design.git,54886,flat-shoes,https://github.com/FezVrasta/bootstrap-material-design,https://github.com/FezVrasta/bootstrap-material-design
github.com/fortawesome/font-awesome-sass,136028,org.mvnpm:font-awesome-sass,https://github.com/FortAwesome/font-awesome-sass#readme,https://github.com/FortAwesome/font-awesome-sass,1975592,font-awesome-sass,https://github.com/FortAwesome/font-awesome-sass#readme,git+https://github.com/FortAwesome/font-awesome-sass.git,57162,font-awesome-sass,https://github.com/FortAwesome/font-awesome-sass,https://github.com/FortAwesome/font-awesome-sass
github.com/cucumber/cucumber,60000,org.webjars.npm:cucumber__query,https://www.webjars.org,https://github.com/cucumber/cucumber,1923760,fake-cucumber,https://github.com/cucumber/cucumber,git://github.com/cucumber/cucumber.git,61915,gherkin,https://github.com/cucumber/gherkin-ruby,https://github.com/cucumber/cucumber/blob/master/gherkin/ruby
github.com/wikiki/bulma-divider,61001,org.webjars.npm:bulma-divider,http://webjars.org,https://github.com/Wikiki/bulma-divider,1502539,bulma-divider,https://github.com/Wikiki/bulma-divider#readme,git+https://github.com/Wikiki/bulma-divider.git,130288,rails-assets-bulma-divider,https://github.com/Wikiki/bulma-divider,https://github.com/Wikiki/bulma-divider
github.com/thoughtbot/neat,67061,org.webjars.bower:neat,http://webjars.org,https://github.com/thoughtbot/neat,3133109,sag-bourbon-neat,http://neat.bourbon.io,git+https://github.com/thoughtbot/neat.git,107768,neat,http://neat.bourbon.io,https://github.com/thoughtbot/neat
