Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
102032,tvm,https://github.com/apache/tvm,https://github.com/apache/tvm,445251,github.com/apache/tvm,https://github.com/apache/tvm,https://github.com/apache/tvm,3463938,tvmjs,https://github.com/apache/tvm/tree/main/web,git+https://github.com/apache/tvm.git#main,669262,tvm-ffi,https://github.com/apache/tvm,https://github.com/apache/tvm
207797,dictgen,,https://github.com/crate-ci/typos,951616,github.com/crate-ci/typos,https://github.com/crate-ci/typos,https://github.com/crate-ci/typos,1652074,crate-ci-typos,https://github.com/crate-ci/typos#readme,git+https://github.com/crate-ci/typos.git,673137,typos,https://pypi.org/project/typos/,https://github.com/crate-ci/typos
206432,oxigraph,https://oxigraph.org/,https://github.com/oxigraph/oxigraph/tree/main/lib/oxigraph,1877423,github.com/oxigraph/oxigraph,https://github.com/oxigraph/oxigraph,https://github.com/oxigraph/oxigraph,2795978,oxigraph,https://github.com/oxigraph/oxigraph/tree/main/js,git+https://github.com/oxigraph/oxigraph.git,511090,pyoxigraph,https://pyoxigraph.readthedocs.io/,https://github.com/oxigraph/oxigraph/tree/main/python
193998,i-slint-renderer-skia,https://slint.dev,https://github.com/slint-ui/slint,1007428,github.com/slint-ui/slint,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,3227927,slint-ui,https://github.com/slint-ui/slint,git+https://github.com/slint-ui/slint.git,599074,slint-compiler,https://pypi.org/project/slint-compiler/,https://github.com/slint-ui/slint
27899,spidery,https://www.spidery.khulnasoft.com/,https://github.com/khulnasoft/spidery,1908502,github.com/khulnasoft/spidery/apps/go-sdk/spidery-go,https://github.com/khulnasoft/spidery,https://github.com/khulnasoft/spidery,607815,@khulnasoft/spidery-js,https://github.com/khulnasoft/spidery#readme,git+https://github.com/khulnasoft/spidery.git,610834,spidery-py,https://github.com/khulnasoft/spidery,https://github.com/khulnasoft/spidery
117141,mz-http-proxy,,https://github.com/MaterializeInc/materialize/tree/main/src/http-proxy,508488,github.com/materializeinc/materialize,https://github.com/materializeinc/materialize,https://github.com/materializeinc/materialize,689150,@materializeinc/sql-pretty,https://github.com/MaterializeInc/materialize#readme,git+https://github.com/MaterializeInc/materialize.git,134209,dbt-materialize,https://github.com/MaterializeInc/materialize/blob/main/misc/dbt-materialize,https://github.com/MaterializeInc/materialize/blob/main/misc/dbt-materialize
163890,prqlc-macros,,https://github.com/PRQL/prql,1678494,github.com/prql/prql,https://github.com/prql/prql,https://github.com/prql/prql,2904234,prqlc,https://prql-lang.org/,git+https://github.com/PRQL/prql.git,480978,prql-python,https://pypi.org/project/prql-python/,https://github.com/PRQL/prql
56062,snitch-protos,https://streamdal.com,https://github.com/streamdal/snitch-protos,855482,github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos,1048202,@streamdal/snitch-protos,https://github.com/streamdal/stitch-protos/build/ts/node,git+https://github.com/streamdal/snitch-protos.git,602721,snitch-protos,https://github.com/streamdal/snitch-protos,https://github.com/streamdal/snitch-protos
64952,evmole,,https://github.com/cdump/evmole,2227742,github.com/cdump/evmole/go,https://github.com/cdump/evmole,https://github.com/cdump/evmole,1896654,evmole,https://github.com/cdump/evmole#readme,git+https://github.com/cdump/evmole.git,196625,evmole,https://pypi.org/project/evmole/,https://github.com/cdump/evmole
91542,cozorocks,https://www.cozodb.org,https://github.com/cozodb/cozo,1571671,github.com/cozodb/cozo,https://github.com/cozodb/cozo,https://github.com/cozodb/cozo,1692560,cyb-cozo-lib-wasm,https://www.cozodb.org,git+https://github.com/cozodb/cozo.git,114780,cozo-embedded,https://www.cozodb.org,https://github.com/cozodb/cozo
