Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
210416,nostr-browser-signer,https://github.com/rust-nostr/nostr,https://github.com/rust-nostr/nostr.git,362080,io.github.rust-nostr:nostr,https://github.com/rust-nostr/nostr,https://github.com/rust-nostr/nostr/tree/master,946090,@rust-nostr/nostr,https://github.com/rust-nostr/nostr,git+https://github.com/rust-nostr/nostr.git,401686,nostr-protocol,https://github.com/rust-nostr/nostr,https://github.com/rust-nostr/nostr
7097,advent-of-code,https://github.com/fornwall/advent-of-code,https://github.com/fornwall/advent-of-code,276716,net.fornwall:advent-of-code,https://github.com/fornwall/advent-of-code,https://github.com/fornwall/advent-of-code/,1296991,advent-of-code-wasm,https://github.com/fornwall/advent-of-code#readme,git+https://github.com/fornwall/advent-of-code.git,6601,advent-of-code,https://github.com/fornwall/advent-of-code,https://github.com/fornwall/advent-of-code
27915,iavl,,https://github.com/your/repo,546148,com.qcloudclass.maven:flutter_debug,https://github.com/your/repo,https://github.com/your/repo/tree/master,3491878,uni-update-check,https://github.com/your/repo#readme,git+https://github.com/your/repo.git,725003,zyn-py-pkg-test-2024-03-13,https://github.com/your/repo,https://github.com/your/repo
35468,nitor-vault,,https://github.com/nitorcreations/vault,560562,com.nitorcreations:aws-vault-parent,http://github.com/NitorCreations/vault,https://github.com/NitorCreations/vault,777011,@nitor/aws-vault,https://github.com/NitorCreations/vault#readme,git://github.com/NitorCreations/vault.git,397136,nitor-vault,https://pypi.org/project/nitor-vault/,https://github.com/NitorCreations/vault
209437,ledger-models,,https://github.com/fintekkers/ledger-models,397197,io.github.fintekkers:ledger-models,https://github.com/fintekkers,https://github.com/fintekkers/ledger-models/tree/main,388075,@fintekkers/ledger-models,https://github.com/FinTekkers/ledger-models#readme,git+https://github.com/FinTekkers/ledger-models.git,213824,fintekkers-ledger-models,https://github.com/fintekkers/ledger-models,https://github.com/fintekkers/ledger-models
132108,terra-proto-rs,https://terra.money,https://github.com/terra-money/terra.proto,284454,money.terra:grpc-java,https://github.com/terra-money/terra.proto,https://github.com/terra-money/terra.proto,1085678,@terra-money/terra.proto,https://github.com/terra-money/terra.proto#readme,git+https://github.com/terra-money/terra.proto.git,641727,terra-proto,https://github.com/terra-money/terra.proto,https://github.com/terra-money/terra.proto
173384,thunkmetrc-wrapper,,https://github.com/thunkmetrc/sdks,353477,io.github.thunkier:thunkmetrc,https://github.com/thunkmetrc/sdks,https://github.com/thunkmetrc/sdks/tree/main,1097790,@thunkier/thunkmetrc-client,https://github.com/thunkmetrc/sdks#readme,git+https://github.com/thunkmetrc/sdks.git,649621,thunkmetrc-client,https://pypi.org/project/thunkmetrc-client/,https://github.com/thunkmetrc/sdks
155567,openlibx402-actix,https://openlib.xyz,https://github.com/openlibx402/openlibx402,370997,io.github.openlibx402:openlibx402-client,https://github.com/openlibx402/openlibx402,https://github.com/openlibx402/openlibx402/tree/main,817850,@openlibx402/privy,https://openlib.xyz,git+https://github.com/openlibx402/openlibx402.git,435916,openlibx402-langgraph,https://pypi.org/project/openlibx402-langgraph/,https://github.com/openlibx402/openlibx402
170456,pv_cobra,https://picovoice.ai/platform/cobra/,https://github.com/Picovoice/cobra,755886,ai.picovoice:cobra-android,https://github.com/picovoice/cobra,https://github.com/picovoice/cobra/tree/main,851393,@picovoice/cobra-node-demo,https://picovoice.ai/platform/cobra/,git+https://github.com/Picovoice/cobra.git,484796,pvcobrademo,https://github.com/Picovoice/cobra,https://github.com/Picovoice/cobra
174118,tree-sitter-dbc-0,,https://github.com/test/test,395058,io.github.git-fudge:test-new-package,https://github.com/git-fudge/maven-testing,https://github.com/test/test,3705788,yns,https://github.com/test/test#readme,git+https://github.com/test/test.git,642147,test279,https://github.com/test/test,https://github.com/test/test
180251,dotslash,https://dotslash-cli.com,https://github.com/facebook/dotslash,136100,org.mvnpm:fb-dotslash,https://dotslash-cli.com/,https://github.com/facebook/dotslash,1934378,fb-dotslash,https://dotslash-cli.com/,git+https://github.com/facebook/dotslash.git,172180,dotslash,https://pypi.org/project/dotslash/,https://github.com/facebook/dotslash
207824,ryugraph,https://ryugraph.io/,https://github.com/predictable-labs/ryugraph,310577,io.ryugraph:ryugraph,http://ryugraph.io,https://github.com/predictable-labs/ryugraph,3127411,ryugraph-wasm,https://ryugraph.io/,git+https://github.com/predictable-labs/ryugraph.git,568311,ryugraph,https://github.com/predictable-labs/ryugraph,https://github.com/predictable-labs/ryugraph
209295,darkstrata-credential-check,,https://github.com/darkstrata/darkstrata-sdks,759198,io.darkstrata:credential-check,https://github.com/darkstrata/darkstrata-sdks/tree/main/java,https://github.com/darkstrata/darkstrata-sdks/tree/main/java,268930,@darkstrata/credential-check,https://github.com/darkstrata/darkstrata-sdks/tree/main/node#readme,git+https://github.com/darkstrata/darkstrata-sdks.git,127433,darkstrata-credential-check,https://pypi.org/project/darkstrata-credential-check/,https://github.com/darkstrata/darkstrata-sdks
