Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
165012,bitwarden-exporters,https://bitwarden.com,https://github.com/bitwarden/sdk,152369,@bitwarden/sdk-napi-win32-x64-msvc,https://github.com/bitwarden/sdk#readme,git+https://github.com/bitwarden/sdk.git,61286,bitwarden-sdk,https://bitwarden.com,https://github.com/bitwarden/sdk,16689,bitwarden-sdk-secrets,https://bitwarden.com/products/secrets-manager/,https://github.com/bitwarden/sdk
174468,graft-kernel,https://github.com/orbitinghail/graft,https://github.com/orbitinghail/graft,3264110,sqlite-graft-windows-x64,https://github.com/orbitinghail/graft#readme,git+https://github.com/orbitinghail/graft.git,614305,sqlite-utils-sqlite-graft,https://github.com/orbitinghail/graft,https://github.com/orbitinghail/graft,160701,sqlite-graft,https://github.com/orbitinghail/graft,https://github.com/orbitinghail/graft
81548,oso,https://www.osohq.com/,https://github.com/osohq/oso,2790395,oso,https://github.com/osohq/oso#readme,git+https://github.com/osohq/oso.git,613570,sqlalchemy-oso-preview,https://pypi.org/project/sqlalchemy-oso-preview/,https://github.com/osohq/oso/tree/main/languages/python/sqlalchemy-oso,116134,oso-oso,https://www.osohq.com/,https://github.com/osohq/oso
25223,cargodoc_xsstest_crate,,https://github.com/example/example,3381071,test-package-crc,http://confluenceexample.com,github.com/example/example,90129,chime-ml-feature-store,http://github.com/example/example,http://github.com/example/example,168962,text_gem,https://rubygems.org/gems/text_gem,https://github.com/example/example
36545,sqlite-robotstxt,https://github.com/asg017/sqlite-robotstxt,https://github.com/asg017/sqlite-robotstxt,3264257,sqlite-robotstxt-windows-x64,https://github.com/asg017/sqlite-robotstxt#readme,git+https://github.com/asg017/sqlite-robotstxt.git,614261,sqlite-robotstxt,https://github.com/asg017/sqlite-robotstxt,https://github.com/asg017/sqlite-robotstxt,160717,sqlite_robotstxt,https://github.com/asg017/sqlite-robotstxt,https://github.com/asg017/sqlite-robotstxt
44332,keyuri,https://miscreant.io,https://github.com/miscreant/keyuri,2339378,keyuri,https://github.com/miscreant/keyuri#readme,git+https://github.com/miscreant/keyuri.git,306485,keyuri,https://github.com/miscreant/keyuri,https://github.com/miscreant/keyuri,86098,keyuri,https://github.com/miscreant/keyuri/,https://github.com/miscreant/keyuri/
54288,asimov-serpapi-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-serpapi-module,1380599,asimov-serpapi-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-serpapi-module.git,35137,asimov-serpapi-module,https://pypi.org/project/asimov-serpapi-module/,https://github.com/asimov-modules/asimov-serpapi-module,9690,asimov-serpapi-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-serpapi-module
55764,asimov-brightdata-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-brightdata-module,1380582,asimov-brightdata-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-brightdata-module.git,35124,asimov-brightdata-module,https://pypi.org/project/asimov-brightdata-module/,https://github.com/asimov-modules/asimov-brightdata-module,9659,asimov-brightdata-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-brightdata-module
56650,asimov-near-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-near-module,1380595,asimov-near-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-near-module.git,35133,asimov-near-module,https://pypi.org/project/asimov-near-module/,https://github.com/asimov-modules/asimov-near-module,9677,asimov-near-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-near-module
56880,asimov-nexus-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-nexus-module,1380596,asimov-nexus-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-nexus-module.git,35134,asimov-nexus-module,https://pypi.org/project/asimov-nexus-module/,https://github.com/asimov-modules/asimov-nexus-module,9679,asimov-nexus-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-nexus-module
81551,sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema,3264152,sqlite-jsonschema-windows-x64,https://github.com/asg017/sqlite-jsonschema#readme,git+https://github.com/asg017/sqlite-jsonschema.git,614209,sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema,160706,sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema,https://github.com/asg017/sqlite-jsonschema
90813,zser,https://www.zcred.org,https://github.com/zcred/zser,3742848,zser,https://github.com/zcred/zser#readme,git+https://github.com/zcred/zser.git,724267,zser,https://github.com/zcred/zser,https://github.com/zcred/zser,188841,zser,https://github.com/zcred/zser/tree/master/ruby/,https://github.com/zcred/zser/tree/master/ruby/
95185,sqlite-fastrand,https://github.com/asg017/sqlite-fastrand,https://github.com/asg017/sqlite-fastrand,3264090,sqlite-fastrand-windows-x64,https://github.com/asg017/sqlite-fastrand#readme,git+https://github.com/asg017/sqlite-fastrand.git,614175,sqlite-fastrand,https://github.com/asg017/sqlite-fastrand,https://github.com/asg017/sqlite-fastrand,160698,sqlite-fastrand,https://github.com/asg017/sqlite-fastrand,https://github.com/asg017/sqlite-fastrand
98660,sqlite-regex,https://github.com/asg017/sqlite-regex,https://github.com/asg017/sqlite-regex,3264243,sqlite-regex-windows-x64,https://github.com/asg017/sqlite-regex#readme,git+https://github.com/asg017/sqlite-regex.git,614258,sqlite-regex,https://github.com/asg017/sqlite-regex,https://github.com/asg017/sqlite-regex,160715,sqlite-regex,https://github.com/asg017/sqlite-regex,https://github.com/asg017/sqlite-regex
108054,jcl,,https://github.com/hemmer-io/jcl,468962,@hemmer-io/jcl,https://hemmer-io.github.io/jcl/,git+https://github.com/hemmer-io/jcl.git,293020,jcl-lang,https://pypi.org/project/jcl-lang/,https://github.com/hemmer-io/jcl,80062,jcl,https://hemmer-io.github.io/jcl/,https://github.com/hemmer-io/jcl
