Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/lionsoul2014/ip2region,636069,github.com/lionsoul2014/ip2region/binding/golang,https://github.com/lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,147163,org.lionsoul:ip2region,https://github.com/lionsoul2014/ip2region,git@github.com:lionsoul2014/ip2region.git,2690993,node-ip2region,https://github.com/lionsoul2014/ip2region,git+https://github.com/lionsoul2014/ip2region.git,709325,XdbSearchIP,https://github.com/lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region
github.com/pulumi/pulumi-aws,2049689,github.com/pulumi/pulumi-aws/sdk/v7,https://github.com/pulumi/pulumi-aws,https://github.com/pulumi/pulumi-aws,546900,com.pulumi:aws,https://github.com/pulumi/pulumi-aws,https://github.com/pulumi/pulumi-aws,884532,@pulumi/aws,https://pulumi.io,git+https://github.com/pulumi/pulumi-aws.git,483603,pulumi-aws,https://pypi.org/project/pulumi-aws/,https://github.com/pulumi/pulumi-aws
github.com/pulumi/pulumi-azure,1697299,github.com/pulumi/pulumi-azure/sdk/v6,https://github.com/pulumi/pulumi-azure,https://github.com/pulumi/pulumi-azure,546896,com.pulumi:azure,https://github.com/pulumi/pulumi-azure,https://github.com/pulumi/pulumi-azure,884547,@pulumi/azure,https://pulumi.io,git+https://github.com/pulumi/pulumi-azure.git,483618,pulumi-azure,https://pypi.org/project/pulumi-azure/,https://github.com/pulumi/pulumi-azure
github.com/pulumi/pulumi-gcp,2133973,github.com/pulumi/pulumi-gcp/sdk/v9,https://github.com/pulumi/pulumi-gcp,https://github.com/pulumi/pulumi-gcp,546869,com.pulumi:gcp,https://github.com/pulumi/pulumi-gcp,https://github.com/pulumi/pulumi-gcp,884593,@pulumi/gcp,https://pulumi.io,git+https://github.com/pulumi/pulumi-gcp.git,483682,pulumi-gcp,https://pypi.org/project/pulumi-gcp/,https://github.com/pulumi/pulumi-gcp
github.com/awslabs/kinesis-aggregation,541021,github.com/awslabs/kinesis-aggregation/go/v2,https://github.com/awslabs/kinesis-aggregation,https://github.com/awslabs/kinesis-aggregation,713978,com.amazonaws:amazon-kinesis-aggregator,https://aws.amazon.com/kinesis,https://github.com/awslabs/kinesis-aggregation.git,1409148,aws-kinesis-agg-temp,http://github.com/awslabs/kinesis-aggregation,http://github.com/awslabs/kinesis-aggregation/node,45655,aws-kinesis-agg,http://github.com/awslabs/kinesis-aggregation,http://github.com/awslabs/kinesis-aggregation
github.com/localstack/localstack,69656,github.com/localstack/localstack,https://github.com/localstack/localstack,https://github.com/localstack/localstack,738898,cloud.localstack:localstack-sdk-parent,http://localstack.cloud,https://github.com/localstack/localstack,173834,@buildwithlayer/localstack-mcp-demo,https://github.com/LocalStack/localstack,git+https://github.com/LocalStack/localstack.git,331766,localstack-core,https://pypi.org/project/localstack-core/,https://github.com/localstack/localstack.git
github.com/pulumi/pulumi-digitalocean,359582,github.com/pulumi/pulumi-digitalocean/sdk/v4,https://github.com/pulumi/pulumi-digitalocean,https://github.com/pulumi/pulumi-digitalocean,546880,com.pulumi:digitalocean,https://github.com/pulumi/pulumi-digitalocean,https://github.com/pulumi/pulumi-digitalocean,884577,@pulumi/digitalocean,https://pulumi.io,git+https://github.com/pulumi/pulumi-digitalocean.git,483656,pulumi-digitalocean,https://pypi.org/project/pulumi-digitalocean/,https://github.com/pulumi/pulumi-digitalocean
github.com/pulumi/pulumi-linode,2052793,github.com/pulumi/pulumi-linode/sdk/v5,https://github.com/pulumi/pulumi-linode,https://github.com/pulumi/pulumi-linode,546851,com.pulumi:linode,https://github.com/pulumi/pulumi-linode,https://github.com/pulumi/pulumi-linode,884619,@pulumi/linode,https://pulumi.io,git+https://github.com/pulumi/pulumi-linode.git,483725,pulumi-linode,https://pypi.org/project/pulumi-linode/,https://github.com/pulumi/pulumi-linode
github.com/tencentyun/qcloud-cos-sts-sdk,94934,github.com/tencentyun/qcloud-cos-sts-sdk,https://github.com/tencentyun/qcloud-cos-sts-sdk,https://github.com/tencentyun/qcloud-cos-sts-sdk,546296,com.qcloud:cos-sts_api,https://github.com/tencentyun/qcloud-cos-sts-sdk/tree/master/java,https://github.com/tencentyun/qcloud-cos-sts-sdk/tree/master/java,2921647,qcloud-cos-sts,https://github.com/tencentyun/qcloud-cos-sts-sdk#readme,git+https://github.com/tencentyun/qcloud-cos-sts-sdk.git,536501,qcloud-python-test,https://github.com/tencentyun/qcloud-cos-sts-sdk,https://github.com/tencentyun/qcloud-cos-sts-sdk
github.com/pulumi/pulumi-vsphere,463757,github.com/pulumi/pulumi-vsphere/sdk/v4,https://github.com/pulumi/pulumi-vsphere,https://github.com/pulumi/pulumi-vsphere,546812,com.pulumi:vsphere,https://github.com/pulumi/pulumi-vsphere,https://github.com/pulumi/pulumi-vsphere,884670,@pulumi/vsphere,https://pulumi.io,git+https://github.com/pulumi/pulumi-vsphere.git,483872,pulumi-vsphere,https://pypi.org/project/pulumi-vsphere/,https://github.com/pulumi/pulumi-vsphere
github.com/vert-x3/vertx-eventbus-bridge-clients,98656,github.com/vert-x3/vertx-eventbus-bridge-clients,https://github.com/vert-x3/vertx-eventbus-bridge-clients,https://github.com/vert-x3/vertx-eventbus-bridge-clients,300172,io.vertx:vertx-eventbus-bridge-client,,git@github.com:vert-x3/vertx-eventbus-bridge-clients.git,1168103,@vertx/eventbus-bridge-client.js,http://vertx.io,git+ssh://git@github.com/vert-x3/vertx-eventbus-bridge-clients.git,685642,vertx-eventbus-client,https://github.com/vert-x3/vertx-eventbus-bridge-clients/tree/master/python,https://github.com/vert-x3/vertx-eventbus-bridge-clients/tree/master/python
github.com/pulumi/pulumi-datadog,462527,github.com/pulumi/pulumi-datadog/sdk/v4,https://github.com/pulumi/pulumi-datadog,https://github.com/pulumi/pulumi-datadog,546882,com.pulumi:datadog,https://github.com/pulumi/pulumi-datadog,https://github.com/pulumi/pulumi-datadog,884575,@pulumi/datadog,https://pulumi.io,git+https://github.com/pulumi/pulumi-datadog.git,483652,pulumi-datadog,https://pypi.org/project/pulumi-datadog/,https://github.com/pulumi/pulumi-datadog
github.com/pulumi/pulumi-random,326315,github.com/pulumi/pulumi-random/sdk/v4,https://github.com/pulumi/pulumi-random,https://github.com/pulumi/pulumi-random,546828,com.pulumi:random,https://github.com/pulumi/pulumi-random,https://github.com/pulumi/pulumi-random,884649,@pulumi/random,https://pulumi.io,git+https://github.com/pulumi/pulumi-random.git,483779,pulumi-random,https://pypi.org/project/pulumi-random/,https://github.com/pulumi/pulumi-random
github.com/pulumi/pulumi-azuread,1714066,github.com/pulumi/pulumi-azuread/sdk/v6,https://github.com/pulumi/pulumi-azuread,https://github.com/pulumi/pulumi-azuread,546894,com.pulumi:azuread,https://github.com/pulumi/pulumi-azuread,https://github.com/pulumi/pulumi-azuread,884554,@pulumi/azuread,https://pulumi.io,git+https://github.com/pulumi/pulumi-azuread.git,483619,pulumi-azuread,https://pypi.org/project/pulumi-azuread/,https://github.com/pulumi/pulumi-azuread
github.com/pulumi/pulumi-aiven,821327,github.com/pulumi/pulumi-aiven/sdk/v6,https://github.com/pulumi/pulumi-aiven,https://github.com/pulumi/pulumi-aiven,546906,com.pulumi:aiven,https://github.com/pulumi/pulumi-aiven,https://github.com/pulumi/pulumi-aiven,884525,@pulumi/aiven,https://pulumi.io,git+https://github.com/pulumi/pulumi-aiven.git,483588,pulumi-aiven,https://pypi.org/project/pulumi-aiven/,https://github.com/pulumi/pulumi-aiven
github.com/pulumi/pulumi-alicloud,989046,github.com/pulumi/pulumi-alicloud/examples/v3,https://github.com/pulumi/pulumi-alicloud,https://github.com/pulumi/pulumi-alicloud,546904,com.pulumi:alicloud,https://github.com/pulumi/pulumi-alicloud,https://github.com/pulumi/pulumi-alicloud,884527,@pulumi/alicloud,https://pulumi.io,git+https://github.com/pulumi/pulumi-alicloud.git,483590,pulumi-alicloud,https://pypi.org/project/pulumi-alicloud/,https://github.com/pulumi/pulumi-alicloud
github.com/pulumi/pulumi-cloudamqp,441171,github.com/pulumi/pulumi-cloudamqp/sdk/v3,https://github.com/pulumi/pulumi-cloudamqp,https://github.com/pulumi/pulumi-cloudamqp,546891,com.pulumi:cloudamqp,https://github.com/pulumi/pulumi-cloudamqp,https://github.com/pulumi/pulumi-cloudamqp,884564,@pulumi/cloudamqp,https://pulumi.io,git+https://github.com/pulumi/pulumi-cloudamqp.git,483635,pulumi-cloudamqp,https://pypi.org/project/pulumi-cloudamqp/,https://github.com/pulumi/pulumi-cloudamqp
github.com/pulumi/pulumi-cloudflare,2206226,github.com/pulumi/pulumi-cloudflare/provider/v6,https://github.com/pulumi/pulumi-cloudflare,https://github.com/pulumi/pulumi-cloudflare,546890,com.pulumi:cloudflare,https://github.com/pulumi/pulumi-cloudflare,https://github.com/pulumi/pulumi-cloudflare,884565,@pulumi/cloudflare,https://pulumi.io,git+https://github.com/pulumi/pulumi-cloudflare.git,483636,pulumi-cloudflare,https://pypi.org/project/pulumi-cloudflare/,https://github.com/pulumi/pulumi-cloudflare
github.com/pulumi/pulumi-consul,108205,github.com/pulumi/pulumi-consul,https://github.com/pulumi/pulumi-consul,https://github.com/pulumi/pulumi-consul,546884,com.pulumi:consul,https://github.com/pulumi/pulumi-consul,https://github.com/pulumi/pulumi-consul,884573,@pulumi/consul,https://pulumi.io,git+https://github.com/pulumi/pulumi-consul.git,483646,pulumi-consul,https://pypi.org/project/pulumi-consul/,https://github.com/pulumi/pulumi-consul
github.com/pulumi/pulumi-dnsimple,2223974,github.com/pulumi/pulumi-dnsimple/sdk/v5,https://github.com/pulumi/pulumi-dnsimple,https://github.com/pulumi/pulumi-dnsimple,546879,com.pulumi:dnsimple,https://github.com/pulumi/pulumi-dnsimple,https://github.com/pulumi/pulumi-dnsimple,884578,@pulumi/dnsimple,https://pulumi.io,git+https://github.com/pulumi/pulumi-dnsimple.git,483659,pulumi-dnsimple,https://pypi.org/project/pulumi-dnsimple/,https://github.com/pulumi/pulumi-dnsimple
github.com/pulumi/pulumi-fastly,2134155,github.com/pulumi/pulumi-fastly/sdk/v11,https://github.com/pulumi/pulumi-fastly,https://github.com/pulumi/pulumi-fastly,546870,com.pulumi:fastly,https://github.com/pulumi/pulumi-fastly,https://github.com/pulumi/pulumi-fastly,884592,@pulumi/fastly,https://pulumi.io,git+https://github.com/pulumi/pulumi-fastly.git,483674,pulumi-fastly,https://pypi.org/project/pulumi-fastly/,https://github.com/pulumi/pulumi-fastly
github.com/pulumi/pulumi-f5bigip,628023,github.com/pulumi/pulumi-f5bigip/sdk/v3,https://github.com/pulumi/pulumi-f5bigip,https://github.com/pulumi/pulumi-f5bigip,546871,com.pulumi:f5bigip,https://github.com/pulumi/pulumi-f5bigip,https://github.com/pulumi/pulumi-f5bigip,884590,@pulumi/f5bigip,https://pulumi.io,git+https://github.com/pulumi/pulumi-f5bigip.git,483673,pulumi-f5bigip,https://pypi.org/project/pulumi-f5bigip/,https://github.com/pulumi/pulumi-f5bigip
github.com/pulumi/pulumi-gitlab,2041555,github.com/pulumi/pulumi-gitlab/sdk/v9,https://github.com/pulumi/pulumi-gitlab,https://github.com/pulumi/pulumi-gitlab,546867,com.pulumi:gitlab,https://github.com/pulumi/pulumi-gitlab,https://github.com/pulumi/pulumi-gitlab,884598,@pulumi/gitlab,https://pulumi.io,git+https://github.com/pulumi/pulumi-gitlab.git,483689,pulumi-gitlab,https://pypi.org/project/pulumi-gitlab/,https://github.com/pulumi/pulumi-gitlab
github.com/pulumi/pulumi-kafka,334243,github.com/pulumi/pulumi-kafka/sdk/v3,https://github.com/pulumi/pulumi-kafka,https://github.com/pulumi/pulumi-kafka,546860,com.pulumi:kafka,https://github.com/pulumi/pulumi-kafka,https://github.com/pulumi/pulumi-kafka,884608,@pulumi/kafka,https://pulumi.io,git+https://github.com/pulumi/pulumi-kafka.git,483708,pulumi-kafka,https://pypi.org/project/pulumi-kafka/,https://github.com/pulumi/pulumi-kafka
github.com/pulumi/pulumi-keycloak,1825588,github.com/pulumi/pulumi-keycloak/sdk/v6,https://github.com/pulumi/pulumi-keycloak,https://github.com/pulumi/pulumi-keycloak,546859,com.pulumi:keycloak,https://github.com/pulumi/pulumi-keycloak,https://github.com/pulumi/pulumi-keycloak,884609,@pulumi/keycloak,https://pulumi.io,git+https://github.com/pulumi/pulumi-keycloak.git,483711,pulumi-keycloak,https://pypi.org/project/pulumi-keycloak/,https://github.com/pulumi/pulumi-keycloak
github.com/pulumi/pulumi-mysql,108215,github.com/pulumi/pulumi-mysql,https://github.com/pulumi/pulumi-mysql,https://github.com/pulumi/pulumi-mysql,546845,com.pulumi:mysql,https://github.com/pulumi/pulumi-mysql,https://github.com/pulumi/pulumi-mysql,884627,@pulumi/mysql,https://pulumi.io,git+https://github.com/pulumi/pulumi-mysql.git,483736,pulumi-mysql,https://pypi.org/project/pulumi-mysql/,https://github.com/pulumi/pulumi-mysql
github.com/pulumi/pulumi-signalfx,1019617,github.com/pulumi/pulumi-signalfx/sdk/v6,https://github.com/pulumi/pulumi-signalfx,https://github.com/pulumi/pulumi-signalfx,546824,com.pulumi:signalfx,https://github.com/pulumi/pulumi-signalfx,https://github.com/pulumi/pulumi-signalfx,884654,@pulumi/signalfx,https://pulumi.io,git+https://github.com/pulumi/pulumi-signalfx.git,483796,pulumi-signalfx,https://pypi.org/project/pulumi-signalfx/,https://github.com/pulumi/pulumi-signalfx
github.com/pulumi/pulumi-spotinst,588944,github.com/pulumi/pulumi-spotinst/sdk/v3,https://github.com/pulumi/pulumi-spotinst,https://github.com/pulumi/pulumi-spotinst,546820,com.pulumi:spotinst,https://github.com/pulumi/pulumi-spotinst,https://github.com/pulumi/pulumi-spotinst,884658,@pulumi/spotinst,https://pulumi.io,git+https://github.com/pulumi/pulumi-spotinst.git,483803,pulumi-spotinst,https://pypi.org/project/pulumi-spotinst/,https://github.com/pulumi/pulumi-spotinst
github.com/pulumi/pulumi-okta,2166239,github.com/pulumi/pulumi-okta/sdk/v6,https://github.com/pulumi/pulumi-okta,https://github.com/pulumi/pulumi-okta,546839,com.pulumi:okta,https://github.com/pulumi/pulumi-okta,https://github.com/pulumi/pulumi-okta,884633,@pulumi/okta,https://pulumi.io,git+https://github.com/pulumi/pulumi-okta.git,483746,pulumi-okta,https://pypi.org/project/pulumi-okta/,https://github.com/pulumi/pulumi-okta
