Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
518568,github.com/basecamp/trix,https://github.com/basecamp/trix,https://github.com/basecamp/trix,66379,org.webjars.bower:trix,http://webjars.org,https://github.com/basecamp/trix,3446501,trix,https://trix-editor.org/,git+https://github.com/basecamp/trix.git,1106,action_text-trix,https://github.com/basecamp/trix,https://github.com/basecamp/trix
551913,github.com/primer/octicons,https://github.com/primer/octicons,https://github.com/primer/octicons,66890,org.webjars.bower:octicons,http://webjars.org,https://github.com/primer/octicons,2760349,octicons_helper,https://github.com/primer/octicons#readme,git+https://github.com/primer/octicons.git,111800,octicons_helper,https://github.com/primer/octicons,https://github.com/primer/octicons
742046,github.com/handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js,135846,org.mvnpm:handlebars,https://www.handlebarsjs.com/,https://github.com/handlebars-lang/handlebars.js,2120583,handlebars-jaylinski,https://www.handlebarsjs.com/,git+https://github.com/handlebars-lang/handlebars.js.git,68951,handlebars-source,https://github.com/handlebars-lang/handlebars.js/,https://github.com/handlebars-lang/handlebars.js/
809229,github.com/jashkenas/backbone,https://github.com/jashkenas/backbone,https://github.com/jashkenas/backbone,136903,org.mvnpm:backbone,https://github.com/jashkenas/backbone#readme,https://github.com/jashkenas/backbone,1424144,backbone-lodashed,https://github.com/jashkenas/backbone,https://github.com/jashkenas/backbone.git,130286,rails-assets-backbone,https://github.com/jashkenas/backbone,https://github.com/jashkenas/backbone
810886,github.com/emberjs/ember.js,https://github.com/emberjs/ember.js,https://github.com/emberjs/ember.js,59158,org.webjars.npm:ember-source,https://www.webjars.org,https://github.com/emberjs/ember.js,1846031,ember-source-machty,https://emberjs.com/,git+https://github.com/emberjs/ember.js.git,46295,ember-template-compiler-source,https://github.com/emberjs/ember.js,https://github.com/emberjs/ember.js
811117,github.com/jasmine/jasmine,https://github.com/jasmine/jasmine,https://github.com/jasmine/jasmine,135509,org.mvnpm:jasmine-core,https://jasmine.github.io,https://github.com/jasmine/jasmine,2522758,meteor-jasmine-core,http://jasmine.github.io,git+https://github.com/jasmine/jasmine.git,79759,jasmine-core,http://jasmine.github.io,https://github.com/jasmine/jasmine
811971,github.com/thoughtbot/bourbon,https://github.com/thoughtbot/bourbon,https://github.com/thoughtbot/bourbon,69040,org.webjars.bower:bourbon,http://webjars.org,https://github.com/thoughtbot/bourbon,1483103,bourbon,https://www.bourbon.io/,git+https://github.com/thoughtbot/bourbon.git,18682,bourbon,https://www.bourbon.io/,https://github.com/thoughtbot/bourbon
811974,github.com/typekit/webfontloader,https://github.com/typekit/webfontloader,https://github.com/typekit/webfontloader,66218,org.webjars.bower:webfontloader,http://webjars.org,https://github.com/typekit/webfontloader,3620885,webfontloader-custom,https://github.com/typekit/webfontloader,git://github.com/typekit/webfontloader.git,182362,webfontloader,http://github.com/typekit/webfontloader,http://github.com/typekit/webfontloader
813815,github.com/rails/webpacker,https://github.com/rails/webpacker,https://github.com/rails/webpacker,51452,org.webjars.npm:rails__webpacker,https://www.webjars.org,https://github.com/rails/webpacker,3626642,webpacker-scripts,https://github.com/rails/webpacker#readme,git+https://github.com/rails/webpacker.git,182577,webpacker-react-on-rails,https://github.com/rails/webpacker,https://github.com/rails/webpacker
840999,github.com/canvg/canvg,https://github.com/canvg/canvg,https://github.com/canvg/canvg,68296,org.webjars.bower:github-com-canvg-canvg,http://webjars.org,https://github.com/canvg/canvg,1523321,canvgforked,https://github.com/canvg/canvg#readme,git+https://github.com/canvg/canvg.git,21987,canvgjs,https://github.com/canvg/canvg,https://github.com/canvg/canvg
928093,github.com/twitter/twitter-text,https://github.com/twitter/twitter-text,https://github.com/twitter/twitter-text,506413,com.twitter.twittertext:twitter-text,https://github.com/twitter/twitter-text,https://github.com/twitter/twitter-text,3466463,twitter-text,https://github.com/twitter/twitter-text,git+https://github.com/twitter/twitter-text.git,175071,twitter-text,http://twitter.com,https://github.com/twitter/twitter-text
1070074,github.com/carbon-for-developers/carbon-sdks,https://github.com/carbon-for-developers/carbon-sdks,https://github.com/carbon-for-developers/carbon-sdks,586428,com.konfigthis.carbonai:carbonai-java-sdk,https://github.com/Carbon-for-Developers/carbon-sdks/tree/main/java,https://github.com/Carbon-for-Developers/carbon-sdks/tree/main/java,1527021,carbon-typescript-sdk,https://github.com/Carbon-for-Developers/carbon-sdks/tree/HEAD/typescript#readme,git+https://github.com/Carbon-for-Developers/carbon-sdks.git,23379,carbon_ruby_sdk,https://rubygems.org/gems/carbon_ruby_sdk,https://github.com/Carbon-for-Developers/carbon-sdks/tree/main/ruby
1584195,github.com/wycats/handlebars.js,https://github.com/wycats/handlebars.js,https://github.com/wycats/handlebars.js,63672,org.webjars.bowergithub.wycats:handlebars.js,http://webjars.org,https://github.com/wycats/handlebars.js,3259994,spm-handlebars-runtime,http://www.handlebarsjs.com/,git+https://github.com/wycats/handlebars.js.git,68952,handlebars-source-machty,https://github.com/wycats/handlebars.js/,https://github.com/wycats/handlebars.js/
1588333,github.com/emberjs/data,https://github.com/emberjs/data,https://github.com/emberjs/data,59161,org.webjars.npm:ember-data,http://webjars.org,https://github.com/emberjs/data,1880459,eslint-plugin-ember-data-best-practices,https://github.com/emberjs/data#readme,git+https://github.com/emberjs/data.git,46246,ember-data-source-irfn,https://github.com/emberjs/data,https://github.com/emberjs/data
1598272,github.com/svgdotjs/svg.js,https://github.com/svgdotjs/svg.js,https://github.com/svgdotjs/svg.js,137605,org.mvnpm.at.svgdotjs:svg.js,https://svgjs.dev/,https://github.com/svgdotjs/svg.js,3320252,svgjs,https://svgdotjs.github.io/,git+https://github.com/svgdotjs/svg.js.git,164802,svgjs-draw,https://github.com/svgdotjs/svg.js,https://github.com/svgdotjs/svg.js
