Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/abdfnx/botway,24135,botway-rs,,https://github.com/abdfnx/botway,612208,github.com/abdfnx/botway,https://github.com/abdfnx/botway,https://github.com/abdfnx/botway,1482808,botway,https://github.com/abdfnx/botway,git+https://github.com/abdfnx/botway.git,67903,botway.py,https://github.com/abdfnx/botway,https://github.com/abdfnx/botway,20807,bwrb,https://github.com/abdfnx/botway,https://rubygems.org/gems/bwrb
github.com/apache/opendal,211367,unftp-sbe-opendal,https://opendal.apache.org/,https://github.com/apache/opendal,1640885,github.com/apache/opendal/bindings/go,https://github.com/apache/opendal,https://github.com/apache/opendal,2779872,opendal,https://github.com/apache/opendal#readme,git+ssh://git@github.com/apache/opendal.git,434699,opendal-min,https://opendal.apache.org/,https://github.com/apache/opendal,114759,opendal,https://opendal.apache.org/,https://github.com/apache/opendal
github.com/tensorzero/tensorzero,50506,tensorzero,,https://github.com/tensorzero/tensorzero,1879125,github.com/tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,3368911,tensorzero,https://www.tensorzero.com,git+https://github.com/tensorzero/tensorzero.git,640795,tensorzero,https://pypi.org/project/tensorzero/,https://github.com/tensorzero/tensorzero,168010,tensorzero,https://rubygems.org/gems/tensorzero,https://github.com/tensorzero/tensorzero
github.com/asg017/sqlite-ulid,69408,sqlite-ulid,https://github.com/asg017/sqlite-ulid,https://github.com/asg017/sqlite-ulid,1031538,github.com/asg017/sqlite-ulid/examples/go,https://github.com/asg017/sqlite-ulid,https://github.com/asg017/sqlite-ulid,3264311,sqlite-ulid-windows-x64,https://github.com/asg017/sqlite-ulid#readme,git+https://github.com/asg017/sqlite-ulid.git,614291,sqlite-ulid,https://github.com/asg017/sqlite-ulid,https://github.com/asg017/sqlite-ulid,160722,sqlite-ulid,https://github.com/asg017/sqlite-ulid,https://github.com/asg017/sqlite-ulid
github.com/asg017/sqlite-assert,89755,sqlite-assert,https://github.com/asg017/sqlite-assert,https://github.com/asg017/sqlite-assert,1010095,github.com/asg017/sqlite-assert,https://github.com/asg017/sqlite-assert,https://github.com/asg017/sqlite-assert,3264021,sqlite-assert-windows-x64,https://github.com/asg017/sqlite-assert#readme,git+https://github.com/asg017/sqlite-assert.git,614128,sqlite-assert,https://github.com/asg017/sqlite-assert,https://github.com/asg017/sqlite-assert,160690,sqlite-assert,https://github.com/asg017/sqlite-assert,https://github.com/asg017/sqlite-assert
github.com/zcred/sivchain,90315,sivchain,https://sivchain.org,https://github.com/zcred/sivchain/tree/master/rust,1034107,github.com/zcred/sivchain,https://github.com/zcred/sivchain,https://github.com/zcred/sivchain,3218366,sivchain,https://github.com/zcred/sivchain/tree/master/js/,git+https://github.com/zcred/sivchain.git,596367,sivchain,https://github.com/zcred/sivchain/tree/master/python/,https://github.com/zcred/sivchain/tree/master/python/,155391,sivchain,https://github.com/zcred/sivchain/tree/master/ruby/,https://github.com/zcred/sivchain/tree/master/ruby/
github.com/asg017/sqlite-vss,91188,sqlite-vss,https://github.com/asg017/sqlite-vss,https://github.com/asg017/sqlite-vss,1023394,github.com/asg017/sqlite-vss/examples/go,https://github.com/asg017/sqlite-vss,https://github.com/asg017/sqlite-vss,3264331,sqlite-vss-linux-x64,https://github.com/asg017/sqlite-vss#readme,git+https://github.com/asg017/sqlite-vss.git,614336,sqlite-vss,https://github.com/asg017/sqlite-vss,https://github.com/asg017/sqlite-vss,160725,sqlite-vss,https://github.com/asg017/sqlite-vss,https://github.com/asg017/sqlite-vss
github.com/zcred/zcred,106071,zcred,https://www.zcred.org,https://github.com/zcred/zcred,990156,github.com/zcred/zcred,https://github.com/zcred/zcred,https://github.com/zcred/zcred,3724307,zcred,https://github.com/zcred/zcred#readme,git+https://github.com/zcred/zcred.git,720550,zcred,https://github.com/zcred/zcred,https://github.com/zcred/zcred,188842,zsession,https://github.com/zcred/zcred/tree/master/ruby/,https://github.com/zcred/zcred/tree/master/ruby/
github.com/tom-draper/api-analytics,172607,actix-analytics,,https://github.com/tom-draper/api-analytics,774555,github.com/tom-draper/api-analytics/analytics/go/gin,https://github.com/tom-draper/api-analytics,https://github.com/tom-draper/api-analytics,2684681,node-api-analytics,https://github.com/tom-draper/api-analytics#readme,git+https://github.com/tom-draper/api-analytics.git,659750,tornado-analytics,https://github.com/tom-draper/api-analytics,https://github.com/tom-draper/api-analytics,7392,api_analytics,https://github.com/tom-draper/api-analytics,https://github.com/tom-draper/api-analytics
github.com/boundaryml/baml,216853,baml-cli,https://github.com/BoundaryML/baml,https://github.com/BoundaryML/baml,1852288,github.com/boundaryml/baml/go,https://github.com/boundaryml/baml,https://github.com/boundaryml/baml,3646146,winterji-temp-baml-linux-x64-musl,https://github.com/BoundaryML/baml#readme,git+https://github.com/BoundaryML/baml.git,50280,baml-py,https://pypi.org/project/baml-py/,https://github.com/BoundaryML/baml,13636,baml-cc,https://github.com/BoundaryML/baml,https://github.com/BoundaryML/baml
