Ecosystem Count,Ecosystems,Package Count,Output File
2,Crates + Go,2128,2_ecosystems/Crates_Go.csv
2,Crates + Maven,39,2_ecosystems/Crates_Maven.csv
2,Crates + NPM,1570,2_ecosystems/Crates_NPM.csv
2,Crates + PHP,30,2_ecosystems/Crates_PHP.csv
2,Crates + PyPI,815,2_ecosystems/Crates_PyPI.csv
2,Crates + Ruby,37,2_ecosystems/Crates_Ruby.csv
2,Go + Maven,2818,2_ecosystems/Go_Maven.csv
2,Go + NPM,13857,2_ecosystems/Go_NPM.csv
2,Go + PHP,2418,2_ecosystems/Go_PHP.csv
2,Go + PyPI,6225,2_ecosystems/Go_PyPI.csv
2,Go + Ruby,2455,2_ecosystems/Go_Ruby.csv
2,Maven + NPM,10729,2_ecosystems/Maven_NPM.csv
2,Maven + PHP,21,2_ecosystems/Maven_PHP.csv
2,Maven + PyPI,212,2_ecosystems/Maven_PyPI.csv
2,Maven + Ruby,64,2_ecosystems/Maven_Ruby.csv
2,NPM + PHP,759,2_ecosystems/NPM_PHP.csv
2,NPM + PyPI,2330,2_ecosystems/NPM_PyPI.csv
2,NPM + Ruby,385,2_ecosystems/NPM_Ruby.csv
2,PHP + PyPI,21,2_ecosystems/PHP_PyPI.csv
2,PHP + Ruby,7,2_ecosystems/PHP_Ruby.csv
2,PyPI + Ruby,66,2_ecosystems/PyPI_Ruby.csv
3,Crates + Go + Maven,14,3_ecosystems/Crates_Go_Maven.csv
3,Crates + Go + NPM,263,3_ecosystems/Crates_Go_NPM.csv
3,Crates + Go + PHP,5,3_ecosystems/Crates_Go_PHP.csv
3,Crates + Go + PyPI,85,3_ecosystems/Crates_Go_PyPI.csv
3,Crates + Go + Ruby,8,3_ecosystems/Crates_Go_Ruby.csv
3,Crates + Maven + NPM,25,3_ecosystems/Crates_Maven_NPM.csv
3,Crates + Maven + PyPI,8,3_ecosystems/Crates_Maven_PyPI.csv
3,Crates + NPM + PHP,3,3_ecosystems/Crates_NPM_PHP.csv
3,Crates + NPM + PyPI,207,3_ecosystems/Crates_NPM_PyPI.csv
3,Crates + NPM + Ruby,10,3_ecosystems/Crates_NPM_Ruby.csv
3,Crates + PHP + PyPI,2,3_ecosystems/Crates_PHP_PyPI.csv
3,Crates + PHP + Ruby,1,3_ecosystems/Crates_PHP_Ruby.csv
3,Crates + PyPI + Ruby,3,3_ecosystems/Crates_PyPI_Ruby.csv
3,Go + Maven + NPM,2733,3_ecosystems/Go_Maven_NPM.csv
3,Go + Maven + PHP,8,3_ecosystems/Go_Maven_PHP.csv
3,Go + Maven + PyPI,84,3_ecosystems/Go_Maven_PyPI.csv
3,Go + Maven + Ruby,14,3_ecosystems/Go_Maven_Ruby.csv
3,Go + NPM + PHP,33,3_ecosystems/Go_NPM_PHP.csv
3,Go + NPM + PyPI,410,3_ecosystems/Go_NPM_PyPI.csv
3,Go + NPM + Ruby,47,3_ecosystems/Go_NPM_Ruby.csv
3,Go + PHP + PyPI,1,3_ecosystems/Go_PHP_PyPI.csv
3,Go + PyPI + Ruby,8,3_ecosystems/Go_PyPI_Ruby.csv
3,Maven + NPM + PHP,155,3_ecosystems/Maven_NPM_PHP.csv
3,Maven + NPM + PyPI,209,3_ecosystems/Maven_NPM_PyPI.csv
3,Maven + NPM + Ruby,23,3_ecosystems/Maven_NPM_Ruby.csv
3,Maven + PHP + PyPI,1,3_ecosystems/Maven_PHP_PyPI.csv
3,Maven + PyPI + Ruby,5,3_ecosystems/Maven_PyPI_Ruby.csv
3,NPM + PHP + PyPI,14,3_ecosystems/NPM_PHP_PyPI.csv
3,NPM + PHP + Ruby,5,3_ecosystems/NPM_PHP_Ruby.csv
3,NPM + PyPI + Ruby,30,3_ecosystems/NPM_PyPI_Ruby.csv
3,PHP + PyPI + Ruby,2,3_ecosystems/PHP_PyPI_Ruby.csv
