Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/paradigmxyz/lbl,35508,lbl-core,https://github.com/paradigmxyz/lbl,https://github.com/paradigmxyz/lbl,318266,lbl-python,https://github.com/paradigmxyz/lbl,https://github.com/paradigmxyz/lbl
github.com/master-of-zen/av1an,200732,av1an-core,,https://github.com/master-of-zen/Av1an,43753,Av1an-minimal,https://github.com/master-of-zen/Av1an,https://github.com/master-of-zen/Av1an
github.com/shunichironomura/capsula,205989,capsula-cwd-context,,https://github.com/shunichironomura/capsula,78831,capsula,https://pypi.org/project/capsula/,https://github.com/shunichironomura/capsula
github.com/ruihe774/polars-readlines,1047,polars-readlines,,https://github.com/ruihe774/polars-readlines,469396,polars-readlines,https://pypi.org/project/polars-readlines/,https://github.com/ruihe774/polars-readlines.git
github.com/steelcake/cherry-core,198222,cherry-cast,https://github.com/steelcake/cherry-core,https://github.com/steelcake/cherry-core,89591,cherry-core,https://github.com/steelcake/cherry-core,https://github.com/steelcake/cherry-core
github.com/naluscientific/naluacq,1840,naluacq,,https://github.com/NaluScientific/naluacq,384851,naluacq,https://pypi.org/project/naluacq/,https://github.com/NaluScientific/naluacq
github.com/ceylonai/ceylon,169677,ceylon-core,,https://github.com/ceylonai/ceylon,85674,ceylonai-next,https://pypi.org/project/ceylonai-next/,https://github.com/ceylonai/ceylon
github.com/gn0/globcmp,2389,pyglobcmp,https://github.com/gn0/globcmp/tree/main/pyglobcmp,https://github.com/gn0/globcmp/tree/main/pyglobcmp,500260,pyglobcmp,https://github.com/gn0/globcmp/tree/main/pyglobcmp,https://github.com/gn0/globcmp/tree/main/pyglobcmp
github.com/aqora-io/xyz-parse,2427,xyz-parse,https://github.com/aqora-io/xyz-parse,https://github.com/aqora-io/xyz-parse,713716,xyz-parse,https://github.com/aqora-io/xyz-parse,https://github.com/aqora-io/xyz-parse
github.com/powei-lin/camera-intrinsic,167401,camera-intrinsic,https://github.com/powei-lin/camera-intrinsic,https://github.com/powei-lin/camera-intrinsic,77724,camera-intrinsic-calibration,https://github.com/powei-lin/camera-intrinsic,https://github.com/powei-lin/camera-intrinsic
github.com/haoxins/parquet2lance,2828,parquet2lance,,https://github.com/haoxins/parquet2lance,449137,parquet2lance,https://pypi.org/project/parquet2lance/,https://github.com/haoxins/parquet2lance
github.com/cfs-energy/cfsem-py,3139,cfsem,https://github.com/cfs-energy/cfsem-py,https://github.com/cfs-energy/cfsem-py,86149,cfsem,https://github.com/cfs-energy/cfsem-py,https://github.com/cfs-energy/cfsem-py
github.com/dbrgn/openair-rs,3253,openair,https://github.com/dbrgn/openair-rs/,https://github.com/dbrgn/openair-rs/,433837,openair-rs-py,https://github.com/dbrgn/openair-rs/,https://github.com/dbrgn/openair-rs/
github.com/ml-energy/zeus,183302,zeusd,https://ml.energy/zeus,https://github.com/ml-energy/zeus,721792,zeus-ml,https://pypi.org/project/zeus-ml/,https://github.com/ml-energy/zeus
github.com/brmmm3/scandir-rs,4612,scandir,https://github.com/brmmm3/scandir-rs,https://github.com/brmmm3/scandir-rs,574103,scandir-rs,https://github.com/brmmm3/scandir-rs,https://github.com/brmmm3/scandir-rs
github.com/jamjamjon/usls,3907,usls,,https://github.com/jamjamjon/usls,680339,usls,https://github.com/jamjamjon/usls,https://github.com/jamjamjon/usls
github.com/ozontech/oze-canopen,3930,oze-canopen,https://github.com/ozontech/oze-canopen,https://github.com/ozontech/oze-canopen,443864,oze-canopen,https://github.com/ozontech/oze-canopen,https://github.com/ozontech/oze-canopen
github.com/openmined/syft-crypto-core,213538,syft-crypto-protocol,,https://github.com/OpenMined/syft-crypto-core,629998,syft-crypto-python,https://pypi.org/project/syft-crypto-python/,https://github.com/OpenMined/syft-crypto-core
