Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/swaggest/swac,895936,github.com/swaggest/swac/examples/go-client,https://github.com/swaggest/swac,https://github.com/swaggest/swac,365042,swaggest/swac,,https://github.com/swaggest/swac
github.com/laravel/laravel,142240,github.com/laravel/laravel,https://github.com/laravel/laravel,https://github.com/laravel/laravel,324627,rubenarakelyan/zomato-api-php,,https://github.com/laravel/laravel
github.com/swaggest/json-cli,161709,github.com/swaggest/json-cli,https://github.com/swaggest/json-cli,https://github.com/swaggest/json-cli,365036,swaggest/json-cli,,https://github.com/swaggest/json-cli
github.com/seldaek/monolog,188714,github.com/seldaek/monolog,https://github.com/seldaek/monolog,https://github.com/seldaek/monolog,249769,monolog/monolog,,https://github.com/Seldaek/monolog
github.com/lcobucci/jwt,190050,github.com/lcobucci/jwt,https://github.com/lcobucci/jwt,https://github.com/lcobucci/jwt,210335,lcobucci/jwt,,https://github.com/lcobucci/jwt
github.com/hyperf/hyperf-skeleton,200171,github.com/hyperf/hyperf-skeleton,https://github.com/hyperf/hyperf-skeleton,https://github.com/hyperf/hyperf-skeleton,161084,hyperf/hyperf-skeleton,,https://github.com/hyperf/hyperf-skeleton
github.com/simplesamlphp/simplesamlphp-module-cdc,217944,github.com/simplesamlphp/simplesamlphp-module-cdc,https://github.com/simplesamlphp/simplesamlphp-module-cdc,https://github.com/simplesamlphp/simplesamlphp-module-cdc,342903,simplesamlphp/simplesamlphp-module-cdc,,https://github.com/simplesamlphp/simplesamlphp-module-cdc
github.com/aldas/modbus-tcp-client,235182,github.com/aldas/modbus-tcp-client,https://github.com/aldas/modbus-tcp-client,https://github.com/aldas/modbus-tcp-client,12174,aldas/modbus-tcp-client,,https://github.com/aldas/modbus-tcp-client
github.com/cloudreve/cloudreve,1926496,github.com/cloudreve/cloudreve/v4,https://github.com/cloudreve/cloudreve,https://github.com/cloudreve/cloudreve,154515,hfo4/cloudreve,,https://github.com/cloudreve/Cloudreve
github.com/justmd5/pinduoduo-sdk,285057,github.com/justmd5/pinduoduo-sdk,https://github.com/justmd5/pinduoduo-sdk,https://github.com/justmd5/pinduoduo-sdk,191211,justmd5/pinduoduo-sdk,,https://github.com/justmd5/pinduoduo-sdk
github.com/symfony/console,291473,github.com/symfony/console,https://github.com/symfony/console,https://github.com/symfony/console,366983,symfony/console,,https://github.com/symfony/console
