Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/google/grpc,13091,github.com/google/grpc,https://github.com/google/grpc,https://github.com/google/grpc,182138,wearefair-grpc,https://github.com/google/grpc/tree/master/src/ruby,https://github.com/google/grpc/tree/master/src/ruby
github.com/shopify/ejson,20458,github.com/shopify/ejson,https://github.com/shopify/ejson,https://github.com/shopify/ejson,45452,ejson,https://github.com/Shopify/ejson,https://github.com/Shopify/ejson
github.com/bettercap/bettercap,714618,www.github.com/bettercap/bettercap.git,https://www.github.com/bettercap/bettercap,https://www.github.com/bettercap/bettercap,15431,bettercap,https://github.com/evilsocket/bettercap,https://github.com/bettercap/bettercap
github.com/akerl/speculate,24211,github.com/akerl/speculate/v2,https://github.com/akerl/speculate,https://github.com/akerl/speculate,159093,speculate,https://github.com/akerl/speculate,https://github.com/akerl/speculate
github.com/jhaals/yopass,34238,github.com/jhaals/yopass,https://github.com/jhaals/yopass,https://github.com/jhaals/yopass,187524,yopass,https://github.com/jhaals/yopass,https://github.com/jhaals/yopass
github.com/bkeepers/dotenv,41779,github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv,42091,dotenv-rails,https://github.com/bkeepers/dotenv,https://github.com/bkeepers/dotenv
github.com/burke/zeus,54146,github.com/burke/zeus,https://github.com/burke/zeus,https://github.com/burke/zeus,188387,zeus,https://github.com/burke/zeus,https://github.com/burke/zeus
github.com/flant/dapp,58305,github.com/flant/dapp,https://github.com/flant/dapp,https://github.com/flant/dapp,35858,dapp,https://github.com/flant/dapp,https://github.com/flant/dapp
github.com/zendesk/ruby-kafka,69139,github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka,143940,ruby-kafka-temp-fork,https://github.com/zendesk/ruby-kafka,https://github.com/zendesk/ruby-kafka
github.com/heroku/force,87491,github.com/heroku/force,https://github.com/heroku/force,https://github.com/heroku/force,57393,force,https://github.com/heroku/force,https://github.com/heroku/force
github.com/elastic/logstash,92795,github.com/elastic/logstash,https://github.com/elastic/logstash,https://github.com/elastic/logstash,117705,paquet,https://github.com/elastic/logstash,https://github.com/elastic/logstash
github.com/percy/percy-client,118148,github.com/percy/percy-client,https://github.com/percy/percy-client,https://github.com/percy/percy-client,119651,percy-client,https://rubygems.org/gems/percy-client,https://github.com/percy/percy-client
github.com/jipiboily/forwardlytics,126095,github.com/jipiboily/forwardlytics,https://github.com/jipiboily/forwardlytics,https://github.com/jipiboily/forwardlytics,58006,forwardlytics,https://github.com/jipiboily/forwardlytics,https://github.com/jipiboily/forwardlytics
github.com/alphagov/plek,135964,github.com/alphagov/plek,https://github.com/alphagov/plek,https://github.com/alphagov/plek,121918,plek,https://rubygems.org/gems/plek,http://github.com/alphagov/plek
github.com/treeder/bump,140690,github.com/treeder/bump,https://github.com/treeder/bump,https://github.com/treeder/bump,20321,bumpz,https://github.com/treeder/bump,https://github.com/treeder/bump
github.com/darthsim/overmind,187882,github.com/darthsim/overmind/v2,https://github.com/darthsim/overmind,https://github.com/darthsim/overmind,116452,overmind,https://github.com/DarthSim/overmind,https://github.com/DarthSim/overmind
github.com/trusche/httplog,189580,github.com/trusche/httplog,https://github.com/trusche/httplog,https://github.com/trusche/httplog,73993,httplog,http://github.com/trusche/httplog,https://github.com/trusche/httplog
github.com/grafana/loki,1728417,github.com/grafana/loki/pkg/logql/log/pattern,https://github.com/grafana/loki,https://github.com/grafana/loki,93657,logstash-output-lokis,https://github.com/grafana/loki/,https://github.com/grafana/loki/
github.com/bsm/pbio,204574,github.com/bsm/pbio,https://github.com/bsm/pbio,https://github.com/bsm/pbio,118917,pbio,https://github.com/bsm/pbio,https://github.com/bsm/pbio
github.com/civo/cli,205685,github.com/civo/cli,https://github.com/civo/cli,https://github.com/civo/cli,27056,civo_cli,https://www.civo.com/api,https://github.com/civo/cli
github.com/rails-api/active_model_serializers,217800,github.com/rails-api/active_model_serializers,https://github.com/rails-api/active_model_serializers,https://github.com/rails-api/active_model_serializers,28335,cm-active_model_serializers,https://github.com/rails-api/active_model_serializers,https://github.com/rails-api/active_model_serializers
github.com/sinatra/sinatra,217801,github.com/sinatra/sinatra,https://github.com/sinatra/sinatra,https://github.com/sinatra/sinatra,154910,sinatra-rack-3-commonlit,http://sinatrarb.com/,https://github.com/sinatra/sinatra
github.com/upfluence/userializer,217831,github.com/upfluence/userializer,https://github.com/upfluence/userializer,https://github.com/upfluence/userializer,177399,userializer,https://github.com/upfluence/userializer,https://github.com/upfluence/userializer
github.com/willnet/gimei,218074,github.com/willnet/gimei,https://github.com/willnet/gimei,https://github.com/willnet/gimei,62132,gimei,https://github.com/willnet/gimei,https://github.com/willnet/gimei
github.com/github/licensed,221784,github.com/github/licensed,https://github.com/github/licensed,https://github.com/github/licensed,90332,licensed,https://github.com/github/licensed,https://github.com/github/licensed
github.com/habitat-sh/habitat,234604,github.com/habitat-sh/habitat/components/docs-chef-io,https://github.com/habitat-sh/habitat,https://github.com/habitat-sh/habitat,68434,habitat-client,https://www.habitat.sh,https://github.com/habitat-sh/habitat
github.com/bdurand/lumberjack,244795,github.com/bdurand/lumberjack,https://github.com/bdurand/lumberjack,https://github.com/bdurand/lumberjack,94625,lumberjack_aziz_light,http://github.com/bdurand/lumberjack,http://github.com/bdurand/lumberjack
github.com/shopify/liquid,257520,github.com/shopify/liquid,https://github.com/shopify/liquid,https://github.com/shopify/liquid,91005,liquid,https://shopify.github.io/liquid/,https://github.com/Shopify/liquid
github.com/puppetlabs/puppet,289547,github.com/puppetlabs/puppet,https://github.com/puppetlabs/puppet,https://github.com/puppetlabs/puppet,125990,puppet,https://github.com/puppetlabs/puppet,http://github.com/puppetlabs/puppet
github.com/airbrake/airbrake,289589,github.com/airbrake/airbrake,https://github.com/airbrake/airbrake,https://github.com/airbrake/airbrake,4928,airbrake,https://airbrake.io,https://github.com/airbrake/airbrake
github.com/gurgeous/httpdisk,297872,github.com/gurgeous/httpdisk,https://github.com/gurgeous/httpdisk,https://github.com/gurgeous/httpdisk,73939,httpdisk,http://github.com/gurgeous/httpdisk,http://github.com/gurgeous/httpdisk
github.com/asciidoctor/asciidoctor-pdf,314023,github.com/asciidoctor/asciidoctor-pdf,https://github.com/asciidoctor/asciidoctor-pdf,https://github.com/asciidoctor/asciidoctor-pdf,9525,asciidoctor-pdf,https://asciidoctor.org/docs/asciidoctor-pdf,https://github.com/asciidoctor/asciidoctor-pdf
github.com/cucumber/cucumber-ruby-core,316170,github.com/cucumber/cucumber-ruby-core,https://github.com/cucumber/cucumber-ruby-core,https://github.com/cucumber/cucumber-ruby-core,34402,cucumber-core,https://cucumber.io,https://github.com/cucumber/cucumber-ruby-core
github.com/cucumber/aruba,316172,github.com/cucumber/aruba,https://github.com/cucumber/aruba,https://github.com/cucumber/aruba,9324,aruba,https://github.com/cucumber/aruba,https://github.com/cucumber/aruba
github.com/mikel/mail,316483,github.com/mikel/mail,https://github.com/mikel/mail,https://github.com/mikel/mail,116257,otherinbox-mail,http://github.com/mikel/mail,http://github.com/mikel/mail
github.com/abonas/kubeclient,326807,github.com/abonas/kubeclient,https://github.com/abonas/kubeclient,https://github.com/abonas/kubeclient,87929,kubeclient,https://github.com/abonas/kubeclient,https://github.com/abonas/kubeclient
github.com/rapid7/recog,334239,github.com/rapid7/recog,https://github.com/rapid7/recog,https://github.com/rapid7/recog,134260,recog-intrigue,https://www.github.com/rapid7/recog,https://www.github.com/rapid7/recog
github.com/tj/terminal-table,339104,github.com/tj/terminal-table,https://github.com/tj/terminal-table,https://github.com/tj/terminal-table,168128,terminal-table,https://github.com/tj/terminal-table,https://github.com/tj/terminal-table
github.com/rsim/oracle-enhanced,344583,github.com/rsim/oracle-enhanced,https://github.com/rsim/oracle-enhanced,https://github.com/rsim/oracle-enhanced,176046,unclebilly-activerecord-oracle_enhanced-adapter,http://github.com/rsim/oracle-enhanced,http://github.com/rsim/oracle-enhanced
github.com/svix/svix-libs,379786,github.com/svix/svix-libs,https://github.com/svix/svix-libs,https://github.com/svix/svix-libs,164831,svix,https://www.svix.com,https://github.com/svix/svix-libs
github.com/pganalyze/pg_query,443196,github.com/pganalyze/pg_query,https://github.com/pganalyze/pg_query,https://github.com/pganalyze/pg_query,120265,pg_query,https://github.com/pganalyze/pg_query,https://github.com/pganalyze/pg_query
github.com/sparklemotion/sqlite3-ruby,453255,github.com/sparklemotion/sqlite3-ruby,https://github.com/sparklemotion/sqlite3-ruby,https://github.com/sparklemotion/sqlite3-ruby,160684,sqlite3-full,https://github.com/sparklemotion/sqlite3-ruby,https://github.com/sparklemotion/sqlite3-ruby
github.com/xaque208/weigh,460651,github.com/xaque208/weigh,https://github.com/xaque208/weigh,https://github.com/xaque208/weigh,182943,weigh,https://github.com/xaque208/weigh,https://github.com/xaque208/weigh
github.com/github/email_reply_parser,473702,github.com/github/email_reply_parser,https://github.com/github/email_reply_parser,https://github.com/github/email_reply_parser,173510,tr_email_reply_parser,http://github.com/github/email_reply_parser,http://github.com/github/email_reply_parser
github.com/ruby/net-http,478951,github.com/ruby/net-http,https://github.com/ruby/net-http,https://github.com/ruby/net-http,108279,net-http,https://github.com/ruby/net-http,https://github.com/ruby/net-http
github.com/brianmario/charlock_holmes,491003,github.com/brianmario/charlock_holmes,https://github.com/brianmario/charlock_holmes,https://github.com/brianmario/charlock_holmes,25280,charlock_holmes_heroku,http://github.com/brianmario/charlock_holmes,http://github.com/brianmario/charlock_holmes
github.com/ohler55/ox,491474,github.com/ohler55/ox,https://github.com/ohler55/ox,https://github.com/ohler55/ox,116571,ox,http://www.ohler.com/ox/,https://github.com/ohler55/ox
github.com/aaronlasseigne/active_interaction,498611,github.com/aaronlasseigne/active_interaction,https://github.com/aaronlasseigne/active_interaction,https://github.com/aaronlasseigne/active_interaction,1632,active_interaction,https://github.com/AaronLasseigne/active_interaction,https://github.com/AaronLasseigne/active_interaction
github.com/actsasparanoid/acts_as_paranoid,498657,github.com/actsasparanoid/acts_as_paranoid,https://github.com/actsasparanoid/acts_as_paranoid,https://github.com/actsasparanoid/acts_as_paranoid,3437,acts_as_paranoid,https://github.com/ActsAsParanoid/acts_as_paranoid,https://github.com/ActsAsParanoid/acts_as_paranoid
github.com/andyobtiva/glimmer,499006,github.com/andyobtiva/glimmer,https://github.com/andyobtiva/glimmer,https://github.com/andyobtiva/glimmer,63574,glimmer,http://github.com/AndyObtiva/glimmer,http://github.com/AndyObtiva/glimmer
github.com/apipie/apipie-rails,499066,github.com/apipie/apipie-rails,https://github.com/apipie/apipie-rails,https://github.com/apipie/apipie-rails,7614,apipie-rails-jq,https://rubygems.org/gems/apipie-rails-jq,https://github.com/Apipie/apipie-rails
github.com/assetsync/asset_sync,499754,github.com/assetsync/asset_sync,https://github.com/assetsync/asset_sync,https://github.com/assetsync/asset_sync,10002,asset_sync,https://github.com/AssetSync/asset_sync,https://github.com/AssetSync/asset_sync
github.com/bbc-news/wraith,499892,github.com/bbc-news/wraith,https://github.com/bbc-news/wraith,https://github.com/bbc-news/wraith,185039,wraith,https://github.com/BBC-News/wraith,https://github.com/BBC-News/wraith
github.com/basesecrete/rorvswild,499944,github.com/basesecrete/rorvswild,https://github.com/basesecrete/rorvswild,https://github.com/basesecrete/rorvswild,140239,rorvswild,https://www.rorvswild.com,https://github.com/BaseSecrete/rorvswild
github.com/bettererrors/better_errors,499992,github.com/bettererrors/better_errors,https://github.com/bettererrors/better_errors,https://github.com/bettererrors/better_errors,15449,better_errors,https://github.com/BetterErrors/better_errors,https://github.com/BetterErrors/better_errors
github.com/hobo/hobo,504707,github.com/hobo/hobo,https://github.com/hobo/hobo,https://github.com/hobo/hobo,71839,hobo,http://hobocentral.net,http://github.com/hobo/hobo
github.com/mange/roadie,508377,github.com/mange/roadie,https://github.com/mange/roadie,https://github.com/mange/roadie,139312,roadie,http://github.com/Mange/roadie,https://github.com/Mange/roadie
github.com/marioruiz/string_pattern,508423,github.com/marioruiz/string_pattern,https://github.com/marioruiz/string_pattern,https://github.com/marioruiz/string_pattern,163121,string_pattern,https://github.com/MarioRuiz/string_pattern,https://github.com/MarioRuiz/string_pattern
github.com/opengems/redis_web_manager,510819,github.com/opengems/redis_web_manager,https://github.com/opengems/redis_web_manager,https://github.com/opengems/redis_web_manager,135002,redis_web_manager,https://github.com/OpenGems/redis_web_manager,https://github.com/OpenGems/redis_web_manager
github.com/railseventstore/rails_event_store,511535,github.com/railseventstore/rails_event_store,https://github.com/railseventstore/rails_event_store,https://github.com/railseventstore/rails_event_store,143490,ruby_event_store-transformations,https://railseventstore.org,https://github.com/RailsEventStore/rails_event_store
github.com/rolifycommunity/rolify,512493,github.com/rolifycommunity/rolify,https://github.com/rolifycommunity/rolify,https://github.com/rolifycommunity/rolify,139863,rolify,https://github.com/RolifyCommunity/rolify,https://github.com/RolifyCommunity/rolify
github.com/sciruby/iruby,512633,github.com/sciruby/iruby,https://github.com/sciruby/iruby,https://github.com/sciruby/iruby,78459,iruby,https://github.com/SciRuby/iruby,https://github.com/SciRuby/iruby
github.com/activerecord-hackery/ransack,514231,github.com/activerecord-hackery/ransack,https://github.com/activerecord-hackery/ransack,https://github.com/activerecord-hackery/ransack,167611,temp_poly,https://github.com/activerecord-hackery/ransack/tree/master/polyamorous,https://github.com/activerecord-hackery/ransack/tree/master/polyamorous
github.com/alexdalitz/dnsruby,515417,github.com/alexdalitz/dnsruby,https://github.com/alexdalitz/dnsruby,https://github.com/alexdalitz/dnsruby,41078,dnsruby,https://github.com/alexdalitz/dnsruby,https://github.com/alexdalitz/dnsruby
github.com/ankane/rollup,516476,github.com/ankane/rollup,https://github.com/ankane/rollup,https://github.com/ankane/rollup,139934,rollups,https://github.com/ankane/rollup,https://github.com/ankane/rollup
github.com/ankane/searchkick,516477,github.com/ankane/searchkick,https://github.com/ankane/searchkick,https://github.com/ankane/searchkick,149026,searchkick-sinneduy,https://github.com/ankane/searchkick,https://github.com/ankane/searchkick
github.com/ankane/trove,516486,github.com/ankane/trove,https://github.com/ankane/trove,https://github.com/ankane/trove,173854,trove,https://github.com/ankane/trove,https://github.com/ankane/trove
github.com/anycable/anycable-rails,516723,github.com/anycable/anycable-rails,https://github.com/anycable/anycable-rails,https://github.com/anycable/anycable-rails,142252,rubocop-anycable-rails,https://anycable.io/,http://github.com/anycable/anycable-rails
github.com/anycable/anycable-rails-jwt,516724,github.com/anycable/anycable-rails-jwt,https://github.com/anycable/anycable-rails-jwt,https://github.com/anycable/anycable-rails-jwt,7206,anycable-rails-jwt,http://github.com/anycable/anycable-rails-jwt,http://github.com/anycable/anycable-rails-jwt
github.com/avo-hq/avo,517740,github.com/avo-hq/avo,https://github.com/avo-hq/avo,https://github.com/avo-hq/avo,11718,avo,https://avohq.io,https://github.com/avo-hq/avo
github.com/aws/aws-sdk-rails,517859,github.com/aws/aws-sdk-rails,https://github.com/aws/aws-sdk-rails,https://github.com/aws/aws-sdk-rails,12477,aws-sdk-rails,https://github.com/aws/aws-sdk-rails,https://github.com/aws/aws-sdk-rails
