Normalized_URL,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/fastlane/fastlane,14207,tools.fastlane:screengrab,https://github.com/fastlane/fastlane,https://github.com/fastlane/fastlane,52325,fastlane-security-patched,https://fastlane.tools,https://github.com/fastlane/fastlane
github.com/rea-lity-tech/skatolo,16118,tech.lity.rea:skatolo,https://github.com/potioc/Skatolo,https://github.com/Rea-lity-Tech/Skatolo,155549,skatolo,https://github.com/Rea-lity-Tech/skatolo,https://github.com/Rea-lity-Tech/skatolo
github.com/takari/ruby-maven-libs,25997,rubygems:ruby-maven-libs,https://github.com/takari/ruby-maven-libs,https://github.com/takari/ruby-maven-libs,144135,ruby-maven-libs,https://github.com/takari/ruby-maven-libs,https://github.com/takari/ruby-maven-libs
github.com/ruby/rake,26000,rubygems:rake,https://github.com/ruby/rake,https://github.com/ruby/rake,131815,rake,https://github.com/ruby/rake,https://github.com/ruby/rake
github.com/tenderlove/psych,26002,rubygems:psych,http://github.com/tenderlove/psych,http://github.com/tenderlove/psych,125595,psych-shopifork,http://github.com/tenderlove/psych,http://github.com/tenderlove/psych
github.com/torquebox/maven-tools,478340,de.saumya.mojo:maven-tools,http://github.com/torquebox/maven-tools,http://github.com/torquebox/maven-tools,97534,maven-tools,http://github.com/torquebox/maven-tools,http://github.com/torquebox/maven-tools
github.com/jruby/jruby-openssl,26008,rubygems:jruby-openssl,https://github.com/jruby/jruby-openssl,https://github.com/jruby/jruby-openssl,83584,jruby-openssl,https://github.com/jruby/jruby-openssl,https://github.com/jruby/jruby-openssl
github.com/mkristian/jar-dependencies,26009,rubygems:jar-dependencies,https://github.com/mkristian/jar-dependencies,https://github.com/mkristian/jar-dependencies,79706,jar-dependencies,https://github.com/mkristian/jar-dependencies,https://github.com/mkristian/jar-dependencies
github.com/swagger-api/swagger-codegen,719356,com.akeyless-security.auth.swagger:akeyless-auth-api,https://github.com/swagger-api/swagger-codegen,https://github.com/swagger-api/swagger-codegen,188783,zoom_us,https://github.com/swagger-api/swagger-codegen,https://github.com/swagger-api/swagger-codegen
github.com/f/graphql.js,57479,org.webjars.npm:github-com-f-graphql-js,http://webjars.org,https://github.com/f/graphql.js,66689,graphqljs-rails,https://github.com/f/graphql.js,https://github.com/f/graphql.js
github.com/bootstrap-tagsinput/bootstrap-tagsinput,69068,org.webjars.bower:bootstrap-tagsinput,http://webjars.org,git://github.com/bootstrap-tagsinput/bootstrap-tagsinput.git,18373,bootstrap_tagsinput_rails,https://github.com/bootstrap-tagsinput/bootstrap-tagsinput,https://github.com/bootstrap-tagsinput/bootstrap-tagsinput
github.com/rails-assets/angular-semver-sort,67856,org.webjars.bower:github-com-rails-assets-angular-semver-sort,http://webjars.org,https://github.com/rails-assets/angular-semver-sort,6772,angular-semver-sort-rails,https://github.com/rails-assets/angular-semver-sort,https://github.com/rails-assets/angular-semver-sort
github.com/sqldroid/sqldroid,82158,org.sqldroid:sqldroid,https://github.com/SQLDroid/SQLDroid,https://github.com/SQLDroid/SQLDroid,160649,sqldroid,http://sqldroid.org/,https://github.com/SQLDroid/SQLDroid
github.com/sonatype/polyglot-maven,87151,org.sonatype.pmaven:pmaven,https://docs.sonatype.org/display/PMAVEN,https://github.com/sonatype/polyglot-maven,97512,maven,http://github.com/sonatype/polyglot-maven/tree/maven-gem,http://github.com/sonatype/polyglot-maven/tree/maven-gem
github.com/realityforge/swung_weave,102963,org.realityforge.swung-weave:swung-weave-api,https://github.com/realityforge/swung_weave,git@github.com:realityforge/swung_weave.git,165252,swung-weave-buildr,http://github.com/realityforge/swung_weave,http://github.com/realityforge/swung_weave
github.com/necula01/bond,131895,org.necula.bond:bond,https://github.com/necula01/bond,https://github.com/necula01/bond,17901,bond-spy,http://github.com/necula01/bond,http://github.com/necula01/bond
github.com/mirah/mirah,142899,org.mirah:shared,http://mirah.org,http://github.com/mirah/mirah,101469,mirah,http://www.mirah.org/,https://github.com/mirah/mirah
github.com/killbill/killbill-logging-plugin,560626,com.ning.killbill.ruby:logging-plugin,http://github.com/killbill/killbill-logging-plugin,https://github.com/killbill/killbill-logging-plugin/,86855,klogger,http://killbill.io,http://github.com/killbill/killbill-logging-plugin
github.com/jruby/jruby-rack,158500,org.jruby.rack:jruby-rack,https://github.com/jruby/jruby-rack/,https://github.com/jruby/jruby-rack/,83599,jruby-rack,http://jruby.org,https://github.com/jruby/jruby-rack
github.com/jruby/jruby-parser,158526,org.jruby:jrubyparser,,https://github.com/jruby/jruby-parser,83589,jruby-parser,http://github.com/jruby/jruby-parser,http://github.com/jruby/jruby-parser
github.com/embulk/embulk-parser-msgpack,188668,org.embulk:embulk-parser-msgpack,https://www.embulk.org/,https://github.com/embulk/embulk-parser-msgpack,46645,embulk-parser-msgpack,https://github.com/embulk/embulk-parser-msgpack,https://github.com/embulk/embulk-parser-msgpack
github.com/embulk/embulk-output-jdbc,188679,org.embulk:embulk-output-jdbc,https://www.embulk.org/,https://github.com/embulk/embulk-output-jdbc,46613,embulk-output-sqlserver,https://github.com/embulk/embulk-output-jdbc,https://github.com/embulk/embulk-output-jdbc
github.com/embulk/embulk-output-sftp,188673,org.embulk:embulk-output-sftp,https://www.embulk.org/,https://github.com/embulk/embulk-output-sftp,46607,embulk-output-sftp,https://github.com/embulk/embulk-output-sftp,https://github.com/embulk/embulk-output-sftp
github.com/embulk/embulk-output-s3,188674,org.embulk:embulk-output-s3,https://www.embulk.org/,https://github.com/embulk/embulk-output-s3,46599,embulk-output-s3,https://github.com/embulk/embulk-output-s3,https://github.com/embulk/embulk-output-s3
github.com/embulk/embulk-output-gcs,188680,org.embulk:embulk-output-gcs,https://www.embulk.org/,https://github.com/embulk/embulk-output-gcs,46564,embulk-output-gcs,https://github.com/embulk/embulk-output-gcs,https://github.com/embulk/embulk-output-gcs
github.com/embulk/embulk-output-elasticsearch,188682,org.embulk:embulk-output-elasticsearch,https://www.embulk.org/,https://github.com/embulk/embulk-output-elasticsearch,46556,embulk-output-elasticsearch,https://github.com/embulk/embulk-output-elasticsearch,https://github.com/embulk/embulk-output-elasticsearch
github.com/embulk/embulk-output-azure_blob_storage,188684,org.embulk:embulk-output-azure_blob_storage,https://www.embulk.org/,https://github.com/embulk/embulk-output-azure_blob_storage,46546,embulk-output-azure_blob_storage,https://github.com/embulk/embulk-output-azure_blob_storage,https://github.com/embulk/embulk-output-azure_blob_storage
github.com/embulk/embulk-input-jdbc,188694,org.embulk:embulk-input-jdbc,https://www.embulk.org/,https://github.com/embulk/embulk-input-jdbc,46524,embulk-input-sqlserver,https://github.com/embulk/embulk-input-jdbc,https://github.com/embulk/embulk-input-jdbc
github.com/embulk/embulk-input-sftp,188687,org.embulk:embulk-input-sftp,https://www.embulk.org/,https://github.com/embulk/embulk-input-sftp,46511,embulk-input-sftp,https://github.com/embulk/embulk-input-sftp,https://github.com/embulk/embulk-input-sftp
github.com/embulk/embulk-input-s3,188689,org.embulk:embulk-input-riak_cs,https://www.embulk.org/,https://github.com/embulk/embulk-input-s3,46504,embulk-input-s3-secure,https://github.com/embulk/embulk-input-s3,https://github.com/embulk/embulk-input-s3
github.com/embulk/embulk-input-mongodb,188693,org.embulk:embulk-input-mongodb,https://www.embulk.org/,https://github.com/embulk/embulk-input-mongodb,46481,embulk-input-mongodb,https://github.com/embulk/embulk-input-mongodb,https://github.com/embulk/embulk-input-mongodb
github.com/embulk/embulk-input-gcs,188695,org.embulk:embulk-input-gcs,https://www.embulk.org/,https://github.com/embulk/embulk-input-gcs,46454,embulk-input-gcs,https://github.com/embulk/embulk-input-gcs,https://github.com/embulk/embulk-input-gcs
github.com/embulk/embulk-input-ftp,188696,org.embulk:embulk-input-ftp,https://www.embulk.org/,https://github.com/embulk/embulk-input-ftp,46453,embulk-input-ftp,https://github.com/embulk/embulk-input-ftp,https://github.com/embulk/embulk-input-ftp
github.com/embulk/embulk-input-command,188699,org.embulk:embulk-input-command,https://www.embulk.org/,https://github.com/embulk/embulk-input-command,46441,embulk-input-command,https://github.com/embulk/embulk-input-command,https://github.com/embulk/embulk-input-command
github.com/embulk/embulk-filter-expand_json,188709,org.embulk:embulk-filter-expand_json,https://github.com/embulk/embulk-filter-expand_json,https://github.com/embulk/embulk-filter-expand_json,46359,embulk-filter-expand_json,https://github.com/embulk/embulk-filter-expand_json,https://github.com/embulk/embulk-filter-expand_json
github.com/embulk/embulk-filter-encrypt,188710,org.embulk:embulk-filter-encrypt,https://www.embulk.org/,https://github.com/embulk/embulk-filter-encrypt,46355,embulk-filter-encrypt,https://github.com/embulk/embulk-filter-encrypt,https://github.com/embulk/embulk-filter-encrypt
github.com/embulk/embulk-filter-decrypt,188711,org.embulk:embulk-filter-decrypt,https://www.embulk.org/,https://github.com/embulk/embulk-filter-decrypt,46353,embulk-filter-decrypt,https://github.com/embulk/embulk-filter-decrypt,https://github.com/embulk/embulk-filter-decrypt
github.com/embulk/embulk-filter-column,188712,org.embulk:embulk-filter-column,https://www.embulk.org/,https://github.com/embulk/embulk-filter-column,46346,embulk-filter-column,https://github.com/embulk/embulk-filter-column,https://github.com/embulk/embulk-filter-column
github.com/embulk/embulk-filter-calcite,188713,org.embulk:embulk-filter-calcite,https://www.embulk.org/,https://github.com/embulk/embulk-filter-calcite,46345,embulk-filter-calcite,https://github.com/embulk/embulk-filter-calcite,https://github.com/embulk/embulk-filter-calcite
github.com/joker1007/embulk-parser-avro,387451,io.github.joker1007:embulk-guess-avro,https://github.com/joker1007/embulk-parser-avro,https://github.com/joker1007/embulk-parser-avro,46625,embulk-parser-avro,https://github.com/joker1007/embulk-parser-avro,https://github.com/joker1007/embulk-parser-avro
github.com/joker1007/embulk-output-kafka,387448,io.github.joker1007:embulk-output-kafka,https://github.com/joker1007/embulk-output-kafka,https://github.com/joker1007/embulk-output-kafka,46576,embulk-output-kafka,https://github.com/joker1007/embulk-output-kafka,https://github.com/joker1007/embulk-output-kafka
github.com/joker1007/embulk-output-cassandra,387449,io.github.joker1007:embulk-output-cassandra,https://github.com/joker1007/embulk-output-cassandra,https://github.com/joker1007/embulk-output-cassandra,46550,embulk-output-cassandra,https://github.com/joker1007/embulk-output-cassandra,https://github.com/joker1007/embulk-output-cassandra
github.com/joker1007/embulk-input-kafka,387450,io.github.joker1007:embulk-input-kafka,https://github.com/joker1007/embulk-input-kafka,https://github.com/joker1007/embulk-input-kafka,46473,embulk-input-kafka,https://github.com/joker1007/embulk-input-kafka,https://github.com/joker1007/embulk-input-kafka
github.com/hiroyuki-sato/embulk-parser-jsonpath,392592,io.github.hiroyuki-sato:embulk-parser-jsonpath,https://github.com/hiroyuki-sato/embulk-parser-jsonpath,https://github.com/hiroyuki-sato/embulk-parser-jsonpath,46642,embulk-parser-jsonpath-secure,https://github.com/hiroyuki-sato/embulk-parser-jsonpath,https://github.com/hiroyuki-sato/embulk-parser-jsonpath
github.com/hiroyuki-sato/embulk-filter-calc,392593,io.github.hiroyuki-sato:embulk-filter-calc,https://github.com/hiroyuki-sato/embulk-filter-calc,https://github.com/hiroyuki-sato/embulk-filter-calc,46344,embulk-filter-calc,https://github.com/hiroyuki-sato/embulk-filter-calc,https://github.com/hiroyuki-sato/embulk-filter-calc
github.com/guchey/embulk-input-ahrefs,393986,io.github.guchey.embulk.input.ahrefs:embulk-input-ahrefs,https://github.com/guchey/embulk-input-ahrefs,https://github.com/guchey/embulk-input-ahrefs,46428,embulk-input-ahrefs,https://github.com/guchey/embulk-input-ahrefs,https://github.com/guchey/embulk-input-ahrefs
github.com/datawire/mdk,427665,io.datawire.mdk:datawire_mdk,http://datawire.github.io/mdk/,git@github.com:datawire/mdk.git,36588,datawire_mdk,https://www.datawire.io,https://github.com/datawire/mdk
github.com/cucumber/gherkin3,440360,info.cukes:gherkin3,https://github.com/cucumber/gherkin3,git://github.com/cucumber/gherkin3.git,61917,gherkin3-pre-alpha,https://github.com/cucumber/gherkin3,https://github.com/cucumber/gherkin3
github.com/treasure-data/embulk-output-td,508789,com.treasuredata.embulk.plugins:embulk-output-td,https://github.com/treasure-data/embulk-output-td,https://github.com/treasure-data/embulk-output-td,46615,embulk-output-td,https://github.com/treasure-data/embulk-output-td,https://github.com/treasure-data/embulk-output-td
github.com/treasure-data/embulk-input-zendesk,508790,com.treasuredata.embulk.plugins:embulk-input-zendesk,https://github.com/treasure-data/embulk-input-zendesk,https://github.com/treasure-data/embulk-input-zendesk,46539,embulk-input-zendesk-all,https://github.com/treasure-data/embulk-input-zendesk,https://github.com/treasure-data/embulk-input-zendesk
github.com/treasure-data/embulk-input-marketo,508791,com.treasuredata.embulk.plugins:embulk-input-marketo,https://www.embulk.org/,https://github.com/treasure-data/embulk-input-marketo,46478,embulk-input-marketo-extended,https://github.com/treasure-data/embulk-input-marketo,https://github.com/treasure-data/embulk-input-marketo
github.com/treasure-data/embulk-input-jira,508792,com.treasuredata.embulk.plugins:embulk-input-jira,https://github.com/treasure-data/embulk-input-jira,https://github.com/treasure-data/embulk-input-jira,46471,embulk-input-jira,https://github.com/treasure-data/embulk-input-jira,https://github.com/treasure-data/embulk-input-jira
github.com/treasure-data/embulk-filter-add_time,508793,com.treasuredata.embulk.plugins:embulk-filter-add_time,https://github.com/treasure-data/embulk-filter-add_time,https://github.com/treasure-data/embulk-filter-add_time,46336,embulk-filter-add_time,https://github.com/treasure-data/embulk-filter-add_time,https://github.com/treasure-data/embulk-filter-add_time
github.com/mguymon/naether,534275,com.slackworks:naether,https://github.com/mguymon/naether,scm:git:git@github.com/mguymon/naether.git,106897,naether,http://github.com/mguymon/naether,http://github.com/mguymon/naether
github.com/raiman/sikulix-2014,536065,com.sikulix:sikulix1tigervnc,http://www.sikulix.com,git@github.com:RaiMan/SikuliX-2014.git,153242,sikulix,http://sikulix.com,https://github.com/RaiMan/SikuliX-2014/tree/master/JRubyGem
github.com/munchads/segnivo-sdk,537431,com.segnivo:segnivo-sdk,https://github.com/munchads/segnivo-sdk,https://github.com/munchads/segnivo-sdk/java-sdk,149439,segnivo_sdk,https://rubygems.org/gems/segnivo_sdk,https://github.com/munchads/segnivo-sdk/sdk-ruby
github.com/dain/galaxy-server,547524,com.proofpoint.galaxy:galaxy-root,http://github.com/dain/galaxy-server,http://github.com/dain/galaxy-server/tree/master,30828,com.proofpoint.galaxy.cli,https://github.com/dain/galaxy-server,https://github.com/dain/galaxy-server
github.com/apakulov/kafka-graphite,552011,com.pakulov.kafka:kafka-graphite-clients,https://github.com/apakulov/kafka-graphite,https://github.com/apakulov/kafka-graphite,85021,kafka-graphite-clients-jars,https://github.com/apakulov/kafka-graphite,https://github.com/apakulov/kafka-graphite
github.com/groupon/message-bus,609868,com.groupon.messagebus:MessageBus,http://engineering.groupon.com,https://github.com/groupon/Message-Bus,97736,mbus,https://github.com/groupon/Message-Bus,https://github.com/groupon/Message-Bus
github.com/mkolisnyk/sirius,635410,com.github.mkolisnyk:sirius.client.core,https://github.com/mkolisnyk/Sirius/tree/master/SiriusJavaClient-Core,https://sirius-platform.googlecode.com/svn/tags/sirius.client.core-2013.4.1.0,155237,sirius-client-win32,http://github.com/mkolisnyk/Sirius,http://github.com/mkolisnyk/Sirius
github.com/koraktor/steam-condenser,640091,com.github.koraktor:steam-condenser,,http://github.com/koraktor/steam-condenser,162184,steam-condenser,http://koraktor.de/steam-condenser,http://github.com/koraktor/steam-condenser
