Normalized_URL,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/basecamp/house-style,19390,@37signals/stylelint-config-scss,https://github.com/basecamp/house-style,git+https://github.com/basecamp/house-style.git,142245,rubocop-37signals,https://github.com/basecamp/house-style,https://github.com/basecamp/house-style
github.com/basecamp/lexxy,19389,@37signals/lexxy,,https://github.com/basecamp/lexxy.git,89960,lexxy,https://github.com/basecamp/lexxy,https://github.com/basecamp/lexxy
github.com/ably/ably-ui,26434,@ably/ui,https://github.com/ably/ably-ui#readme,git+ssh://git@github.com/ably/ably-ui.git,368,ably-ui,https://github.com/ably/ably-ui,https://github.com/ably/ably-ui
github.com/activeadmin/activeadmin,1288354,activeadmin-awesome,https://activeadmin.info,git+https://github.com/activeadmin/activeadmin.git,1160,activeadmin,https://activeadmin.info,https://github.com/activeadmin/activeadmin
github.com/aileron-inc/git-wip,43159,@aileron/git-wip,https://github.com/aileron-inc/git-wip#readme,git+https://github.com/aileron-inc/git-wip.git,63398,git-wip,https://github.com/aileron-inc/git-wip/,https://github.com/aileron-inc/git-wip/
github.com/teamairship/packages,44441,@airship/tsconfig,https://github.com/teamairship/packages#readme,git+https://github.com/teamairship/packages.git,5005,airship-style,https://teamairship.com,https://github.com/teamairship/packages
github.com/alchemycms/alchemy-json_api,49184,@alchemy_cms/json_api,https://github.com/AlchemyCMS/alchemy-json_api#readme,git+https://github.com/AlchemyCMS/alchemy-json_api.git,5342,alchemy-json_api,https://github.com/AlchemyCMS/alchemy-json_api,https://github.com/AlchemyCMS/alchemy-json_api
github.com/ambiki/impulse_view_components,70381,@ambiki/impulse-view-components,https://github.com/Ambiki/impulse_view_components#readme,git+https://github.com/Ambiki/impulse_view_components.git,76395,impulse_view_components,https://github.com/Ambiki/impulse_view_components,https://github.com/Ambiki/impulse_view_components
github.com/asciidoctor/asciidoctor-reducer,104869,@asciidoctor/reducer,https://github.com/asciidoctor/asciidoctor-reducer#readme,git+https://github.com/asciidoctor/asciidoctor-reducer.git,9534,asciidoctor-reducer,https://asciidoctor.org,https://github.com/asciidoctor/asciidoctor-reducer
github.com/asciidoctor/asciidoctor-reveal.js,1379068,asciidoctor-reveal.js,https://github.com/asciidoctor/asciidoctor-reveal.js,git+https://github.com/asciidoctor/asciidoctor-reveal.js.git,9536,asciidoctor-revealjs,https://github.com/asciidoctor/asciidoctor-reveal.js,https://github.com/asciidoctor/asciidoctor-reveal.js
github.com/asciidoctor/asciidoctor-tabs,104871,@asciidoctor/tabs,https://github.com/asciidoctor/asciidoctor-tabs#readme,git+https://github.com/asciidoctor/asciidoctor-tabs.git,9544,asciidoctor-tabs,https://rubygems.org/gems/asciidoctor-tabs,https://github.com/asciidoctor/asciidoctor-tabs
github.com/avo-hq/confsmith,119209,@avo-hq/confsmith,https://github.com/avo-hq/confsmith#readme,git+ssh://git@github.com/avo-hq/confsmith.git,31295,confsmith,https://github.com/avo-hq/confsmith,https://github.com/avo-hq/confsmith
github.com/avo-hq/marksmith,119210,@avo-hq/marksmith,https://github.com/avo-hq/marksmith,git+ssh://git@github.com/avo-hq/marksmith.git,96672,marksmith,https://github.com/avo-hq/marksmith,https://github.com/avo-hq/marksmith
github.com/ayushn21/actiontext-syntax-highlighter,125057,@ayushn21/actiontext-syntax-highlighter,https://github.com/ayushn21/actiontext-syntax-highlighter,git+https://github.com/ayushn21/actiontext-syntax-highlighter,1103,actiontext-syntax-highlighter,https://github.com/ayushn21/actiontext-syntax-highlighter,https://github.com/ayushn21/actiontext-syntax-highlighter
github.com/bookingsync/bootstrap-bookingsync-sass,1841404,ember-cli-bootstrap-bookingsync-sass,https://github.com/BookingSync/bootstrap-bookingsync-sass#readme,git+https://github.com/BookingSync/bootstrap-bookingsync-sass.git,18208,bootstrap-bookingsync-sass,https://github.com/BookingSync/bootstrap-bookingsync-sass,https://github.com/BookingSync/bootstrap-bookingsync-sass
github.com/cloudcannon/bookshop,162364,@bookshop/underscore-engine,https://github.com/cloudcannon/bookshop#readme,git+https://github.com/cloudcannon/bookshop.git,80391,jekyll-bookshop,https://github.com/cloudcannon/bookshop,https://github.com/cloudcannon/bookshop
github.com/buhrmi/actionstore,173134,@buhrmi/actionstore,https://github.com/buhrmi/actionstore#readme,git+https://github.com/buhrmi/actionstore.git,1089,actionstore,https://github.com/buhrmi/actionstore,https://github.com/buhrmi/actionstore
github.com/buoysoftware/anchor_view_components,174706,@buoysoftware/anchor-view-components,https://github.com/BuoySoftware/anchor_view_components#readme,git+https://github.com/BuoySoftware/anchor_view_components.git,6567,anchor_view_components,https://github.com/BuoySoftware/anchor_view_components,https://github.com/BuoySoftware/anchor_view_components
github.com/cableready/element,178831,@cable_ready/element,https://cableready.stimulusreflex.com/,https://github.com/cableready/element,20982,cable_ready-element,https://github.com/cableready/element,https://github.com/cableready/element
github.com/livecomponent/livecomponent,180957,@camertron/live-component,https://github.com/livecomponent/livecomponent#readme,git+https://github.com/livecomponent/livecomponent.git,91909,live_component,http://github.com/livecomponent/livecomponent,http://github.com/livecomponent/livecomponent
github.com/clickfunnels2/refine-rails,220114,@clickfunnels/refine-stimulus,https://rubygems.org/gems/refine-rails,git+https://github.com/clickfunnels2/refine-rails.git,135341,refine-rails,https://rubygems.org/gems/refine-rails,https://github.com/clickfunnels2/refine-rails
github.com/davyjoneslocker/client_side_validations-simple_form,220236,@client-side-validations/simple-form,https://github.com/DavyJonesLocker/client_side_validations-simple_form,git+https://github.com/DavyJonesLocker/client_side_validations-simple_form.git,27625,client_side_validations-simple_form,https://github.com/DavyJonesLocker/client_side_validations-simple_form,https://github.com/DavyJonesLocker/client_side_validations-simple_form
github.com/cmdbrew/adminterface,223915,@cmdbrew/adminterface,,git://github.com/cmdbrew/adminterface.git,4127,adminterface,https://adminterface.io,https://github.com/cmdbrew/adminterface
github.com/kingsley-ijomah/rapid_stack,228191,@codehance/rapid-stack,https://github.com/kingsley-ijomah/rapid_stack#readme,git+https://github.com/kingsley-ijomah/rapid_stack.git,132517,rapid_stack,https://github.com/kingsley-ijomah/rapid_stack,https://github.com/kingsley-ijomah/rapid_stack/tree/v1.0.6
github.com/codevise/activeadmin-searchable_select,230068,@codevise/activeadmin-searchable_select,https://github.com/codevise/activeadmin-searchable_select#readme,git+https://github.com/codevise/activeadmin-searchable_select.git,1300,activeadmin-searchable_select,https://github.com/codevise/activeadmin-searchable_select,https://github.com/codevise/activeadmin-searchable_select
github.com/will-wow/webpacker-svelte,3626643,webpacker-svelte,https://github.com/will-wow/webpacker-svelte,git+https://github.com/will-wow/webpacker-svelte.git,182580,webpacker-svelte,https://github.com/will-wow/webpacker-svelte,https://github.com/will-wow/webpacker-svelte
github.com/commercelayer/commercelayer-cli,234887,@commercelayer/commercelayer-cli-new,https://github.com/commercelayer/commercelayer-cli,git+https://github.com/commercelayer/commercelayer-cli.git,30340,commercelayer-cli,https://github.com/commercelayer/commercelayer-cli,https://github.com/commercelayer/commercelayer-cli
github.com/darkroom-com/dropzone_input,268803,@darkroom-com/dropzone-input,https://github.com/darkroom-com/dropzone_input#readme,git+https://github.com/darkroom-com/dropzone_input.git,42907,dropzone_input,https://github.com/darkroom-com/dropzone_input,https://github.com/darkroom-com/dropzone_input
github.com/davidrunger/vue_rails_model_explorer,276062,@davidrunger/vue-model-explorer,https://github.com/davidrunger/vue_rails_model_explorer/tree/main/vue-model-explorer#readme,git+https://github.com/davidrunger/vue_rails_model_explorer.git,145588,runger_rails_model_explorer,https://github.com/davidrunger/vue_rails_model_explorer/blob/main/runger_rails_model_explorer/README.md,https://github.com/davidrunger/vue_rails_model_explorer/blob/main/runger_rails_model_explorer/README.md
github.com/decidim/decidim,1721202,decidim,https://github.com/decidim/decidim#readme,git+ssh://git@github.com/decidim/decidim.git,37663,decidim-verifications,https://decidim.org,https://github.com/decidim/decidim
github.com/die-antwort/lighter_box,297655,@die-antwort/lighter_box,https://github.com/die-antwort/lighter_box#readme,git+https://github.com/die-antwort/lighter_box.git,90447,lighter_box,https://github.com/die-antwort/lighter_box,https://github.com/die-antwort/lighter_box
github.com/samsaffron/message_bus,2519487,message_bus,https://github.com/SamSaffron/message_bus,git+https://github.com/SamSaffron/message_bus.git,98988,message_bus-http_client,https://github.com/SamSaffron/message_bus,https://github.com/SamSaffron/message_bus
github.com/doabit/semantic-ui-sass,306952,@doabit/semantic-ui-sass,https://github.com/doabit/semantic-ui-sass#readme,git+https://github.com/doabit/semantic-ui-sass.git,149736,semantic-ui-sass,http://github.com/doabit/semantic-ui-sass,http://github.com/doabit/semantic-ui-sass
github.com/entdec/satis,349237,@entdec/satis,,git@github.com:entdec/satis.git,147419,satis,https://github.com/entdec/satis,https://github.com/entdec/satis
github.com/ersync/skeleton-loader,354368,@ersync/skeleton-loader,,git+https://github.com/ersync/skeleton-loader.git,155572,skeleton-loader,https://github.com/ersync/skeleton-loader,https://github.com/ersync/skeleton-loader
github.com/expo/eas-build,1809552,eas-cli-local-build-plugin,https://github.com/expo/eas-build#readme,git+https://github.com/expo/eas-build.git,28888,cocoapods-nexus-plugin,https://github.com/expo/eas-build/tree/main/packages/cocoapods-nexus-plugin,https://github.com/expo/eas-build/tree/main/packages/cocoapods-nexus-plugin
github.com/fernandes/ui,381316,@fernandes/ui,https://github.com/fernandes/ui#readme,git+https://github.com/fernandes/ui.git,53067,fernandes-ui,https://ui.coding.com.br,https://github.com/fernandes/ui
github.com/figurepos/dev-tool-configuration,385632,@figuredev/release-it-react-native,https://github.com/FigurePOS/dev-tool-configuration#readme,git+https://github.com/FigurePOS/dev-tool-configuration.git,51776,fastlane-plugin-figure_release,https://github.com/FigurePOS/dev-tool-configuration,https://github.com/FigurePOS/dev-tool-configuration
github.com/fnando/email-provider-info,397296,@fnando/email-provider-info,https://github.com/fnando/email-provider-info,git+https://github.com/fnando/email-provider-info.git,46074,email-provider-info,https://github.com/fnando/email-provider-info,https://github.com/fnando/email-provider-info/tree/v0.0.1
github.com/fnando/email_data,397297,@fnando/email_data,https://github.com/fnando/email_data,git+https://github.com/fnando/email_data.git,46022,email_data,https://github.com/fnando/email_data,https://github.com/fnando/email_data/tree/v1768091577.0.0
github.com/fnando/password_strength,397307,@fnando/password_strength,https://github.com/fnando/password_strength#readme,git+ssh://git@github.com/fnando/password_strength.git,118352,password_strength,http://github.com/fnando/password_strength,http://github.com/fnando/password_strength
github.com/fnix/activestorage-resumable,397491,@fnix/activestorage-resumable,,https://github.com/fnix/activestorage-resumable,2970,activestorage-resumable,https://github.com/fnix/activestorage-resumable,https://github.com/fnix/activestorage-resumable
github.com/frontierdotbe/formstrap,410584,@frontierdotbe/formstrap,https://github.com/frontierdotbe/formstrap#readme,git+https://github.com/frontierdotbe/formstrap.git,57869,formstrap,https://github.com/frontierdotbe/formstrap,https://github.com/frontierdotbe/formstrap
github.com/geobtaa/geoblacklight_admin,426060,@geoblacklight/admin,https://github.com/geobtaa/geoblacklight_admin#readme,git+https://github.com/geobtaa/geoblacklight_admin.git,61219,geoblacklight_admin,https://github.com/geobtaa/geoblacklight_admin,https://github.com/geobtaa/geoblacklight_admin
github.com/cmrd-senya/markdown-it-html5-embed,2485814,markdown-it-html5-embed,https://github.com/cmrd-senya/markdown-it-html5-embed#readme,git+https://github.com/cmrd-senya/markdown-it-html5-embed.git,96511,markdown-it-html5-embed,https://github.com/cmrd-senya/markdown-it-html5-embed,https://github.com/cmrd-senya/markdown-it-html5-embed
