Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/census-instrumentation/opencensus-proto,88,github.com/census-instrumentation/opencensus-proto,https://github.com/census-instrumentation/opencensus-proto,https://github.com/census-instrumentation/opencensus-proto,322110,io.opencensus:opencensus-proto,https://github.com/census-instrumentation/opencensus-proto,https://github.com/census-instrumentation/opencensus-proto,434399,opencensus-proto,https://github.com/census-instrumentation/opencensus-proto/tree/master/gen-python,https://github.com/census-instrumentation/opencensus-proto/tree/master/gen-python
github.com/prometheus/client_model,172,github.com/prometheus/client_model,https://github.com/prometheus/client_model,https://github.com/prometheus/client_model,317407,io.prometheus.client:model,http://github.com/prometheus/client_model,git@github.com:prometheus/client_model.git,478907,prometheus_client_model,http://github.com/prometheus/client_model,http://github.com/prometheus/client_model
github.com/apple/foundationdb,1843,github.com/apple/foundationdb/bindings/go,https://github.com/apple/foundationdb,https://github.com/apple/foundationdb,183461,org.foundationdb:fdb-java,https://www.foundationdb.org,https://github.com/apple/foundationdb,224391,foundationdb,https://pypi.org/project/foundationdb/,https://github.com/apple/foundationdb
github.com/google/brotli,2048905,github.com/google/brotli/go/brotli,https://github.com/google/brotli,https://github.com/google/brotli,214041,org.brotli:parent,http://brotli.org,https://github.com/google/brotli,70215,Brotli-Ng,https://github.com/google/brotli,https://github.com/google/brotli
github.com/elastic/elasticsearch,5514,github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch,293612,jp.co.bizreach:elasticsearch-parent,,http://github.com/elastic/elasticsearch,186620,elasticsearch-stubs,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch
github.com/google/googleapis,12005,github.com/google/googleapis,https://github.com/google/googleapis,https://github.com/google/googleapis,615243,com.google.api.grpc:grpc-google-cloud-language-v1beta1,https://github.com/googleapis/googleapis,https://github.com/google/googleapis,252912,grpc-google-cloud-speech-v1beta1,https://github.com/google/googleapis,https://github.com/google/googleapis
github.com/pytorch/pytorch,22839,github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,104815,org.pytorch:pytorch_android,https://github.com/pytorch/pytorch/tree/master/android,https://github.com/pytorch/pytorch.git,658438,torch,https://pypi.org/project/torch/,https://github.com/pytorch/pytorch
github.com/python/cpython,90445,github.com/python/cpython,https://github.com/python/cpython,https://github.com/python/cpython,694949,com.chaquo.python:python,https://www.python.org/,https://github.com/python/cpython,699306,whatapackage,https://github.com/python/cpython,https://github.com/python/cpython
github.com/aliyun/alibabacloud-oss-sdk,108785,github.com/aliyun/alibabacloud-oss-sdk/util/golang,https://github.com/aliyun/alibabacloud-oss-sdk,https://github.com/aliyun/alibabacloud-oss-sdk,714821,com.aliyun:oss-baseclient,http://www.aliyun.com,https://github.com/aliyun/alibabacloud-oss-sdk,18554,alibabacloud-oss-util-py2,https://github.com/aliyun/alibabacloud-oss-sdk/tree/master/util/python2,https://github.com/aliyun/alibabacloud-oss-sdk/tree/master/util/python2
github.com/apache/zookeeper,113486,github.com/apache/zookeeper,https://github.com/apache/zookeeper,https://github.com/apache/zookeeper,175486,org.hbasene:zookeeper,http://hadoop.apache.org/zookeeper/,http://github.com/apache/zookeeper,430026,oiozookeeper,https://github.com/apache/zookeeper,https://github.com/apache/zookeeper
