Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/menarasolutions/geographer-data,248700,github.com/menarasolutions/geographer-data,https://github.com/menarasolutions/geographer-data,https://github.com/menarasolutions/geographer-data,2036634,geographer-data,https://github.com/MenaraSolutions/geographer-data#readme,git+https://github.com/MenaraSolutions/geographer-data.git,239037,menarasolutions/geographer-data,,https://github.com/MenaraSolutions/geographer-data
github.com/razorpay/ifsc,461962,github.com/razorpay/ifsc/v2,https://github.com/razorpay/ifsc,https://github.com/razorpay/ifsc,2202866,ifsc,https://github.com/razorpay/ifsc#readme,git+https://github.com/razorpay/ifsc.git,312993,razorpay/ifsc,,https://github.com/razorpay/ifsc
github.com/loganmarchione/homelab-svg-assets,737273,github.com/loganmarchione/homelab-svg-assets,https://github.com/loganmarchione/homelab-svg-assets,https://github.com/loganmarchione/homelab-svg-assets,657957,@loganmarchione/homelab-svg-assets,https://github.com/loganmarchione/homelab-svg-assets#readme,git+https://github.com/loganmarchione/homelab-svg-assets.git,219013,loganmarchione/homelab-svg-assets,,https://github.com/loganmarchione/homelab-svg-assets
github.com/servocoder/richfilemanager,757270,github.com/servocoder/richfilemanager,https://github.com/servocoder/richfilemanager,https://github.com/servocoder/richfilemanager,3092237,rich-filemanager,https://github.com/servocoder/RichFilemanager#readme,git+https://github.com/servocoder/RichFilemanager.git,336116,servocoder/richfilemanager,,https://github.com/servocoder/RichFilemanager
github.com/hkvstore/richfilemanager,759605,github.com/hkvstore/richfilemanager,https://github.com/hkvstore/richfilemanager,https://github.com/hkvstore/richfilemanager,476241,@hkvstore/rich-filemanager,https://github.com/servocoder/RichFilemanager#readme,git+https://github.com/hkvstore/RichFilemanager.git,156049,hkvstore/richfilemanager,,https://github.com/hkvstore/RichFilemanager
github.com/woocommerce/woocommerce,812162,github.com/woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,1215299,@woocommerce/tracks,https://github.com/woocommerce/woocommerce/tree/trunk/packages/js/tracks/README.md,git+https://github.com/woocommerce/woocommerce.git,413869,woocommerce/woocommerce,,https://github.com/woocommerce/woocommerce
github.com/symfony/polyfill-mbstring,812431,github.com/symfony/polyfill-mbstring,https://github.com/symfony/polyfill-mbstring,https://github.com/symfony/polyfill-mbstring,2864795,polyfill-mbstring,https://github.com/symfony,git+https://github.com/symfony/polyfill-mbstring.git,367108,symfony/polyfill-mbstring,,https://github.com/symfony/polyfill-mbstring
github.com/hungarofit/evaluator,859789,github.com/hungarofit/evaluator,https://github.com/hungarofit/evaluator,https://github.com/hungarofit/evaluator,485893,@hungarofit/evaluator-browser,https://hungarofit.hu,git+https://github.com/hungarofit/evaluator.git,160010,hungarofit/evaluator,,https://github.com/hungarofit/evaluator
github.com/guibranco/bancosbrasileiros,950422,github.com/guibranco/bancosbrasileiros,https://github.com/guibranco/bancosbrasileiros,https://github.com/guibranco/bancosbrasileiros,1430160,bancos-brasileiros,https://guilherme.stracini.com.br/BancosBrasileiros/,git+https://github.com/guibranco/BancosBrasileiros.git,147111,guibranco/bancos-brasileiros,,https://github.com/guibranco/BancosBrasileiros
github.com/locutusjs/locutus,1013178,github.com/locutusjs/locutus,https://github.com/locutusjs/locutus,https://github.com/locutusjs/locutus,2436079,locutus,https://locutus.io,git+https://github.com/locutusjs/locutus.git,218877,locutusjs/locutus,,https://github.com/locutusjs/locutus
github.com/monperrus/crawler-user-agents,1049284,github.com/monperrus/crawler-user-agents,https://github.com/monperrus/crawler-user-agents,https://github.com/monperrus/crawler-user-agents,1652293,crawler-user-agents,https://github.com/monperrus/crawler-user-agents#readme,git+https://github.com/monperrus/crawler-user-agents.git,249843,monperrus/crawler-user-agents,,https://github.com/monperrus/crawler-user-agents
github.com/tighten/takeout,1570009,github.com/tighten/takeout,https://github.com/tighten/takeout,https://github.com/tighten/takeout,1099721,@tighten/takeout,https://github.com/tighten/takeout,git+https://github.com/tighten/takeout.git,379449,tightenco/takeout,,https://github.com/tighten/takeout
github.com/innocenzi/laravel-vite,1585985,github.com/innocenzi/laravel-vite,https://github.com/innocenzi/laravel-vite,https://github.com/innocenzi/laravel-vite,3551529,vite-plugin-laravel,https://github.com/innocenzi/laravel-vite#readme,git+https://github.com/innocenzi/laravel-vite.git,169501,innocenzi/laravel-vite,,https://github.com/innocenzi/laravel-vite
github.com/ranks/emojione,1592544,github.com/ranks/emojione,https://github.com/ranks/emojione,https://github.com/ranks/emojione,1850057,emojione_minimal,http://www.emojione.com,git+https://github.com/Ranks/emojione.git,112490,emojione/emojione,,https://github.com/Ranks/emojione
github.com/concisecss/concise.css,1604699,github.com/concisecss/concise.css,https://github.com/concisecss/concise.css,https://github.com/concisecss/concise.css,2626749,nartex.concise.css,http://concisecss.com/,https://github.com/ConciseCSS/concise.css,72888,concisecss/concise.css,,https://github.com/ConciseCSS/concise.css
github.com/mbostock/d3,1629791,github.com/mbostock/d3,https://github.com/mbostock/d3,https://github.com/mbostock/d3,1698002,d3ify,,git://github.com/mbostock/d3.git,236301,mbostock/d3,,https://github.com/mbostock/d3
github.com/samayo/country-json,1724865,github.com/samayo/country-json,https://github.com/samayo/country-json,https://github.com/samayo/country-json,1641278,country-json,https://github.com/samayo/country-json#readme,git+https://github.com/samayo/country-json.git,328335,samayo/country-json,,https://github.com/samayo/country-json
github.com/clankdev/rtf-converter,1832315,github.com/clankdev/rtf-converter,https://github.com/clankdev/rtf-converter,https://github.com/clankdev/rtf-converter,3118926,rtf-converter,https://github.com/ClankDev/RTF-Converter#readme,git+https://github.com/ClankDev/RTF-Converter.git,65192,clank-ai/rtf-converter,,https://github.com/ClankDev/RTF-Converter
github.com/kenangundogan/fontisto,1942891,github.com/kenangundogan/fontisto,https://github.com/kenangundogan/fontisto,https://github.com/kenangundogan/fontisto,1976065,fontisto,http://www.fontisto.com,git+https://github.com/kenangundogan/fontisto.git,195866,kenangundogan/fontisto,,https://github.com/kenangundogan/fontisto
github.com/tighten/ziggy,1945770,github.com/tighten/ziggy,https://github.com/tighten/ziggy,https://github.com/tighten/ziggy,3734240,ziggy-js,https://github.com/tighten/ziggy,git+https://github.com/tighten/ziggy.git,379452,tightenco/ziggy,,https://github.com/tighten/ziggy
github.com/joypixels/emoji-assets,1957755,github.com/joypixels/emoji-assets,https://github.com/joypixels/emoji-assets,https://github.com/joypixels/emoji-assets,1848260,emoji-assets,https://www.joypixels.com,git+https://github.com/joypixels/emoji-assets.git,188599,joypixels/assets,,https://github.com/joypixels/emoji-assets
github.com/symfony/ux-chartjs,1961377,github.com/symfony/ux-chartjs,https://github.com/symfony/ux-chartjs,https://github.com/symfony/ux-chartjs,1063762,@symfony/ux-chartjs,https://ux.symfony.com/chartjs,git+https://github.com/symfony/ux-chartjs.git,367213,symfony/ux-chartjs,,https://github.com/symfony/ux-chartjs
github.com/learninglocker/learninglocker,1993845,github.com/learninglocker/learninglocker,https://github.com/learninglocker/learninglocker,https://github.com/learninglocker/learninglocker,2392226,learning_locker,https://github.com/LearningLocker/learninglocker,git+https://github.com/LearningLocker/learninglocker.git,211028,learninglocker/learninglocker,,https://github.com/LearningLocker/learninglocker
github.com/metowolf/meting,2000386,github.com/metowolf/meting,https://github.com/metowolf/meting,https://github.com/metowolf/meting,705047,@meting/core,https://github.com/metowolf/Meting,git+https://github.com/metowolf/Meting.git,240220,metowolf/meting,,https://github.com/metowolf/Meting
github.com/mpdf/mpdf,2000394,github.com/mpdf/mpdf,https://github.com/mpdf/mpdf,https://github.com/mpdf/mpdf,2576706,mpdf,,https://github.com/mpdf/mpdf,252153,mpdf/mpdf,,https://github.com/mpdf/mpdf
github.com/stefangabos/world_countries,2000511,github.com/stefangabos/world_countries,https://github.com/stefangabos/world_countries,https://github.com/stefangabos/world_countries,3657998,world_countries_lists,https://github.com/stefangabos/world_countries#readme,git+https://github.com/stefangabos/world_countries.git,358923,stefangabos/world_countries,,https://github.com/stefangabos/world_countries
github.com/phonon-framework/phonon,2007153,github.com/phonon-framework/phonon,https://github.com/phonon-framework/phonon,https://github.com/phonon-framework/phonon,2838537,phonon,https://phonon-framework.github.io,git+https://github.com/phonon-framework/phonon.git,291266,phonon-framework/phonon,,https://github.com/phonon-framework/phonon
github.com/web-auth/webauthn-framework,2009667,github.com/web-auth/webauthn-framework,https://github.com/web-auth/webauthn-framework,https://github.com/web-auth/webauthn-framework,1195352,@web-auth/webauthn-stimulus,https://github.com/web-auth/webauthn-framework/tree/5.3.x/src/stimulus,git+https://github.com/web-auth/webauthn-framework.git,405680,web-auth/webauthn-framework,,https://github.com/web-auth/webauthn-framework
github.com/googlei18n/myanmar-tools,2016934,github.com/googlei18n/myanmar-tools,https://github.com/googlei18n/myanmar-tools,https://github.com/googlei18n/myanmar-tools,2605335,myanmar-tools,https://github.com/googlei18n/myanmar-tools#readme,git+https://github.com/googlei18n/myanmar-tools.git,143565,googlei18n/myanmar-tools,,https://github.com/googlei18n/myanmar-tools
