Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/parcel-bundler/lightningcss,182791,parcel_selectors,,https://github.com/parcel-bundler/lightningcss,1601691,github.com/parcel-bundler/lightningcss,https://github.com/parcel-bundler/lightningcss,https://github.com/parcel-bundler/lightningcss,135304,org.mvnpm:lightningcss,https://github.com/parcel-bundler/lightningcss#readme,https://github.com/parcel-bundler/lightningcss,2409703,lightningcss.android-arm64.node,https://github.com/parcel-bundler/lightningcss#readme,git+https://github.com/parcel-bundler/lightningcss.git,324497,lightningcss-cli,https://pypi.org/project/lightningcss-cli/,https://github.com/parcel-bundler/lightningcss
github.com/unascribed/flexver,6492,flexver-rs,,https://github.com/unascribed/FlexVer,706424,github.com/unascribed/flexver/go/flexver,https://github.com/unascribed/flexver,https://github.com/unascribed/flexver,503483,com.unascribed:flexver-java,https://github.com/unascribed/FlexVer,https://github.com/unascribed/FlexVer,1966864,flexver,https://github.com/unascribed/FlexVer#readme,git+https://github.com/unascribed/FlexVer.git,220059,flexver,https://github.com/unascribed/FlexVer,https://github.com/unascribed/FlexVer
github.com/tursodatabase/turso,175558,turso_sync_sdk_kit,,https://github.com/tursodatabase/turso,2215243,turso.tech/database/tursogo,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,360231,io.github.seonwkim:turso,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,1124993,@tursodatabase/wasm-runtime,https://github.com/tursodatabase/turso#readme,git+https://github.com/tursodatabase/turso.git,532533,pyturso,https://pypi.org/project/pyturso/,https://github.com/tursodatabase/turso
github.com/trailbaseio/trailbase,208109,trailbase-sqlvalue,https://trailbase.io,https://github.com/trailbaseio/trailbase,1879339,github.com/trailbaseio/trailbase,https://github.com/trailbaseio/trailbase,https://github.com/trailbaseio/trailbase,301603,io.trailbase:trailbase-client,https://trailbase.io,https://github.com/trailbaseio/trailbase,3438222,trailbase-wasm,https://trailbase.io,git+https://github.com/trailbaseio/trailbase.git,662357,trailbase,https://trailbase.io,https://github.com/trailbaseio/trailbase
github.com/figroc/tensorflow-serving-client,37344,tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,98434,github.com/figroc/tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,318988,io.opil:tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,3368879,tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client,git+https://github.com/figroc/tensorflow-serving-client.git,640529,tensorflow-serving-client-grpc,https://github.com/figroc/tensorflow-serving-client,https://github.com/figroc/tensorflow-serving-client
github.com/picovoice/porcupine,42116,pv_porcupine,https://picovoice.ai/platform/porcupine/,https://github.com/Picovoice/porcupine,902468,github.com/picovoice/porcupine/binding/go/v3,https://github.com/picovoice/porcupine,https://github.com/picovoice/porcupine,755875,ai.picovoice:porcupine-android,https://github.com/picovoice/porcupine,https://github.com/picovoice/porcupine/tree/master,851471,@picovoice/porcupine_manager,https://github.com/Picovoice/Porcupine#readme,git+https://github.com/Picovoice/Porcupine.git,484912,pvporcupinedemo,https://github.com/Picovoice/porcupine,https://github.com/Picovoice/porcupine
github.com/iotaledger/wallet.rs,95439,iota-wallet,https://www.iota.org/,https://github.com/iotaledger/wallet.rs,2058691,github.com/iotaledger/wallet.rs,https://github.com/iotaledger/wallet.rs,https://github.com/iotaledger/wallet.rs,170418,org.iota:iota-wallet,https://github.com/iotaledger/wallet.rs,https://github.com/iotaledger/wallet.rs,3601172,wallet-stardust-alpha,https://github.com/iotaledger/wallet.rs#readme,git+https://github.com/iotaledger/wallet.rs.git,286328,iota-wallet,https://www.iota.org/,https://github.com/iotaledger/wallet.rs
github.com/apache/arrow,126139,datafusion-arrow,https://github.com/apache/arrow,https://github.com/apache/arrow,1647946,github.com/apache/arrow/go/v18,https://github.com/apache/arrow,https://github.com/apache/arrow,598238,com.intel.arrow:arrow-java-root,https://arrow.apache.org/,https://github.com/apache/arrow,1375419,arrow-light-deps,https://github.com/apache/arrow/blob/main/js/README.md,git+https://github.com/apache/arrow.git,487470,pyarrow-cramjam,https://arrow.apache.org/,https://github.com/apache/arrow
github.com/icedland/iced,191884,closure-ffi-iced-x86,https://github.com/icedland/iced,https://github.com/icedland/iced,786214,github.com/icedland/iced,https://github.com/icedland/iced,https://github.com/icedland/iced,391410,io.github.icedland.iced:iced-x86,https://github.com/icedland/iced,https://github.com/icedland/iced,2196534,iced-x86,https://github.com/icedland/iced,git+https://github.com/icedland/iced.git,274219,iced-x86,https://github.com/icedland/iced/tree/master/src/rust/iced-x86-py,https://github.com/icedland/iced/tree/master/src/rust/iced-x86-py
github.com/picovoice/leopard,135548,pv_leopard,https://picovoice.ai/platform/leopard/,https://github.com/Picovoice/leopard,913305,github.com/picovoice/leopard/binding/go/v2,https://github.com/picovoice/leopard,https://github.com/picovoice/leopard,755882,ai.picovoice:leopard-android,https://github.com/picovoice/leopard,https://github.com/picovoice/leopard/tree/master,851406,@picovoice/leopard-react-native,https://github.com/Picovoice/leopard/#readme,git+https://github.com/Picovoice/leopard.git,484860,pvleoparddemo,https://github.com/Picovoice/leopard,https://github.com/Picovoice/leopard
