name,root_url,ecosystems,separator,found_repos
wasmer,https://github.com/wasmerio/wasmer,"Crates, Go",-,"wasmer-go, wasmer-java, wasmer-js, wasmer-ocaml, wasmer-php, wasmer-python, wasmer-ruby"
uplink-rust,https://github.com/storj-thirdparty/uplink-rust,"Crates, Go",-,"uplink-js, uplink-nodejs, uplink-php, uplink-python, uplink-ruby, uplink-rust, uplink-swift"
rapier,https://github.com/dimforge/rapier,"Crates, Go",.,"rapier.js, rapier.rs"
azure-sdk-for-rust,https://github.com/azure/azure-sdk-for-rust,"Crates, Go",-,"azure-sdk-for-c, azure-sdk-for-cpp, azure-sdk-for-go, azure-sdk-for-java, azure-sdk-for-js, azure-sdk-for-net, azure-sdk-for-node, azure-sdk-for-php, azure-sdk-for-python, azure-sdk-for-ruby, azure-sdk-for-rust"
workers-rs,https://github.com/cloudflare/workers-rs,"Crates, Go",-,"workers-py, workers-rs"
duckdb-rs,https://github.com/duckdb/duckdb-rs,"Crates, Go",-,"duckdb-go, duckdb-java, duckdb-node, duckdb-python, duckdb-r, duckdb-rs, duckdb-swift"
plugin-sdk-rs,https://github.com/falcosecurity/plugin-sdk-rs,"Crates, Go",-,"plugin-sdk-cpp, plugin-sdk-go, plugin-sdk-rs"
qdrant,https://github.com/qdrant/qdrant,"Crates, Go",-,"qdrant-dotnet, qdrant-js"
opentelemetry-rust,https://github.com/open-telemetry/opentelemetry-rust,"Crates, Go",-,"opentelemetry-cpp, opentelemetry-dotnet, opentelemetry-erlang, opentelemetry-go, opentelemetry-java, opentelemetry-js, opentelemetry-kotlin, opentelemetry-php, opentelemetry-python, opentelemetry-ruby, opentelemetry-rust, opentelemetry-swift"
nats.rs,https://github.com/nats-io/nats.rs,"Crates, Go",.,"nats.c, nats.ex, nats.go, nats.java, nats.js, nats.net, nats.node, nats.py, nats.py2, nats.rb, nats.rs, nats.swift, nats.ts"
openlimits,https://github.com/nash-io/openlimits,"Crates, Go",-,"openlimits-csharp, openlimits-java, openlimits-python"
sdk-rust,https://github.com/restatedev/sdk-rust,"Crates, Go",-,"sdk-go, sdk-java, sdk-python, sdk-rust, sdk-typescript"
client-rust,https://github.com/tikv/client-rust,"Crates, Go",-,"client-c, client-cpp, client-go, client-java, client-node, client-py, client-rust"
meilisearch-rust,https://github.com/meilisearch/meilisearch-rust,"Crates, Go",-,"meilisearch-dart, meilisearch-dotnet, meilisearch-flutter, meilisearch-go, meilisearch-java, meilisearch-js, meilisearch-php, meilisearch-python, meilisearch-ruby, meilisearch-rust, meilisearch-swift"
partiql-lang-rust,https://github.com/partiql/partiql-lang-rust,"Crates, Go",-,"partiql-lang-kotlin, partiql-lang-rust"
dubbo-rust,https://github.com/apache/dubbo-rust,"Crates, Go",-,"dubbo-erlang, dubbo-go, dubbo-js, dubbo-python, dubbo-python2, dubbo-rust"
webapp.rs,https://github.com/saschagrunert/webapp.rs,"Crates, Go",.,"webapp.hs, webapp.rs"
starkware-crypto-rs,https://github.com/xjonathanlei/starkware-crypto-rs,"Crates, Go",-,"starkware-crypto-cpp, starkware-crypto-rs"
cedar,https://github.com/cedar-policy/cedar,"Crates, Go",-,"cedar-go, cedar-java"
budoux-rs,https://github.com/sg0hsmt/budoux-rs,"Crates, Go",-,"budoux-go, budoux-rs"
rust-raknet,https://github.com/b23r0/rust-raknet,"Crates, Go",-,"raknet-node, raknet-python"
reshape,https://github.com/fabianlindfors/reshape,"Crates, Go",-,"reshape-python, reshape-ruby"
iceberg-rust,https://github.com/apache/iceberg-rust,"Crates, Go",-,"iceberg-cpp, iceberg-go, iceberg-python, iceberg-rust"
google-cloud-rust,https://github.com/googleapis/google-cloud-rust,"Crates, Go",-,"google-cloud-cpp, google-cloud-dart, google-cloud-dotnet, google-cloud-go, google-cloud-java, google-cloud-node, google-cloud-php, google-cloud-python, google-cloud-ruby, google-cloud-rust"
libsql,https://github.com/tursodatabase/libsql,"Crates, Go",-,"libsql-c, libsql-js, libsql-php, libsql-python, libsql-ruby, libsql-swift"
